g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.009548187255859375,128,5.575503409271931e-05,True
1,1,0.03408002853393555,256,2.850146164679046e-05,True
2,1,0.10368800163269043,512,8.338023118614757e-06,True
3,1,0.30072999000549316,1024,6.508281846784314e-06,True
4,1,1.03202486038208,2048,3.8319083190963e-06,True
5,1,3.33829402923584,4096,3.4712191474550735e-06,True
6,1,7.564783811569214,8192,3.4208210633046576e-06,True
7,1,0.0016171932220458984,16384,3.3802288053053076e-06,True
0,4,0.008662939071655273,256,5.70946969888908e-05,True
1,4,0.03937411308288574,512,2.9090852136093304e-05,True
2,4,0.06596803665161133,1024,6.125339913731764e-06,True
3,4,0.1874842643737793,2048,5.297975659734888e-06,True
4,4,0.6345150470733643,4096,3.632111775342395e-06,True
5,4,1.5844080448150635,8192,3.3049504721827105e-06,True
6,4,0.0008499622344970703,16384,3.3802288053053076e-06,True
7,4,0.0010080337524414062,16384,3.3802288053053076e-06,True
0,16,0.006783008575439453,512,5.2238943825555495e-05,True
1,16,0.03244495391845703,1024,1.1594600225928176e-05,True
2,16,0.058837890625,2048,4.373230654941551e-06,True
3,16,0.1444411277770996,4096,4.23922475478733e-06,True
4,16,0.2551281452178955,8192,3.2768910551705943e-06,True
5,16,0.00127410888671875,16384,3.3802288053053076e-06,True
6,16,0.0009248256683349609,16384,3.3802288053053076e-06,True
7,16,0.0008790493011474609,16384,3.3802288053053076e-06,True
0,32,0.003437042236328125,512,0.00010080938487821989,True
1,32,0.01036691665649414,1024,6.435219760603239e-05,True
2,32,0.02059197425842285,2048,1.7678869217219173e-05,True
3,32,0.03714394569396973,4096,1.381675996237064e-05,True
4,32,0.0006399154663085938,8192,1.3637331517601936e-05,True
5,32,0.0005168914794921875,8192,1.3637331517601936e-05,True
6,32,0.0007719993591308594,8192,1.3637331517601936e-05,True
7,32,0.0005240440368652344,8192,1.3637331517601936e-05,True
0,64,0.0062541961669921875,1024,4.708175498802092e-05,True
1,64,0.016621112823486328,2048,1.4581005373104361e-05,True
2,64,0.037017822265625,4096,4.25444915563844e-06,True
3,64,0.0643460750579834,8192,3.6727427490390596e-06,True
4,64,0.0012791156768798828,16384,3.3802288053053076e-06,True
5,64,0.0011019706726074219,16384,3.3802288053053076e-06,True
6,64,0.0008707046508789062,16384,3.3802288053053076e-06,True
7,64,0.001271963119506836,16384,3.3802288053053076e-06,True
0,128,0.0027718544006347656,1024,3.704143626359624e-05,True
1,128,0.0064280033111572266,2048,3.29367995315355e-05,True
2,128,0.009482383728027344,4096,1.537082349711838e-05,True
3,128,0.0004832744598388672,8192,1.3637331517601936e-05,True
4,128,0.0005099773406982422,8192,1.3637331517601936e-05,True
5,128,0.00046896934509277344,8192,1.3637331517601936e-05,True
6,128,0.0007081031799316406,8192,1.3637331517601936e-05,True
7,128,0.0005521774291992188,8192,1.3637331517601936e-05,True
0,256,0.005200862884521484,2048,3.848886902590998e-05,True
1,256,0.011102914810180664,4096,5.219754793728271e-06,True
2,256,0.017881155014038086,8192,5.388272310113962e-06,True
3,256,0.0010559558868408203,16384,3.3802288053053076e-06,True
4,256,0.0010662078857421875,16384,3.3802288053053076e-06,True
5,256,0.0008711814880371094,16384,3.3802288053053076e-06,True
6,256,0.0008950233459472656,16384,3.3802288053053076e-06,True
7,256,0.0013151168823242188,16384,3.3802288053053076e-06,True
