g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.007308244705200195,64,0.016062492543163706,True
1,1,0.02697300910949707,128,0.007682513864645548,True
2,1,0.0857541561126709,256,0.004603180548486532,True
3,1,0.2595508098602295,512,0.003205714077812368,True
4,1,0.5705978870391846,1024,0.0026540823661794707,True
5,1,1.0412039756774902,2048,0.0031394320455941545,True
6,1,0.0009000301361083984,4096,0.00012662292035586775,True
7,1,0.0008959770202636719,4096,0.00012662292035586775,True
0,4,0.007072925567626953,128,0.007466825056063702,True
1,4,0.027554750442504883,256,0.0043830803269952635,True
2,4,0.0693819522857666,512,0.001718914414486187,True
3,4,0.20142698287963867,1024,0.0010181206005960876,True
4,4,0.3048980236053467,2048,0.0006882510357959417,True
5,4,0.0009891986846923828,4096,0.00012662292035586775,True
6,4,0.00086212158203125,4096,0.00012662292035586775,True
7,4,0.0008618831634521484,4096,0.00012662292035586775,True
0,16,0.005331277847290039,256,0.004156885121532297,True
1,16,0.012975215911865234,512,0.0018449633258054796,True
2,16,0.045858144760131836,1024,0.0008976752359708441,True
3,16,0.08434677124023438,2048,0.00039147713701614614,True
4,16,0.0009810924530029297,4096,0.00012662292035586775,True
5,16,0.0009219646453857422,4096,0.00012662292035586775,True
6,16,0.0008959770202636719,4096,0.00012662292035586775,True
7,16,0.0008492469787597656,4096,0.00012662292035586775,True
0,32,0.011536121368408203,512,0.0017211456381489108,True
1,32,0.036429643630981445,1024,0.0009954063398240984,True
2,32,0.08286523818969727,2048,0.0004278088566725558,True
3,32,0.15422892570495605,4096,0.0001923113632111926,True
4,32,0.0017368793487548828,8192,2.022458670696524e-05,True
5,32,0.001322031021118164,8192,2.022458670696524e-05,True
6,32,0.0013909339904785156,8192,2.022458670696524e-05,True
7,32,0.0013530254364013672,8192,2.022458670696524e-05,True
0,64,0.00403285026550293,512,0.0019328350549584622,True
1,64,0.009546041488647461,1024,0.0007437404542291696,True
2,64,0.02702498435974121,2048,0.00037071817289290737,True
3,64,0.0013408660888671875,4096,0.00012662292035586775,True
4,64,0.0009169578552246094,4096,0.00012662292035586775,True
5,64,0.0008459091186523438,4096,0.00012662292035586775,True
6,64,0.0009050369262695312,4096,0.00012662292035586775,True
7,64,0.0009338855743408203,4096,0.00012662292035586775,True
0,128,0.008565902709960938,1024,0.000835435995450608,True
1,128,0.026870012283325195,2048,0.00046117711859711315,True
2,128,0.04771995544433594,4096,0.0001527405683093945,True
3,128,0.0014488697052001953,8192,2.022458670696524e-05,True
4,128,0.0014348030090332031,8192,2.022458670696524e-05,True
5,128,0.0016040802001953125,8192,2.022458670696524e-05,True
6,128,0.0013301372528076172,8192,2.022458670696524e-05,True
7,128,0.0014929771423339844,8192,2.022458670696524e-05,True
0,256,0.002972126007080078,1024,0.0008154032203458676,True
1,256,0.008022069931030273,2048,0.00032635877889659014,True
2,256,0.0019598007202148438,4096,0.00012662292035586775,True
3,256,0.0008687973022460938,4096,0.00012662292035586775,True
4,256,0.0008299350738525391,4096,0.00012662292035586775,True
5,256,0.000858306884765625,4096,0.00012662292035586775,True
6,256,0.0008392333984375,4096,0.00012662292035586775,True
7,256,0.0008909702301025391,4096,0.00012662292035586775,True
