g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.009097099304199219,128,0.00017746968544796182,True
1,1,0.0651252269744873,256,5.232248121278538e-05,True
2,1,0.14455914497375488,512,1.3955734847748147e-05,True
3,1,0.3791830539703369,1024,5.035477702808322e-06,True
4,1,1.1666510105133057,2048,6.9126222292936745e-06,True
5,1,3.4963810443878174,4096,5.205761746784887e-06,True
6,1,7.717972993850708,8192,4.802495542355345e-06,True
7,1,0.0005962848663330078,16384,4.923294489422858e-06,True
0,4,0.008837223052978516,256,7.921702668212127e-05,True
1,4,0.039361000061035156,512,1.5618177388709853e-05,True
2,4,0.09626293182373047,1024,9.681173217535033e-06,True
3,4,0.25015830993652344,2048,8.200361069299333e-06,True
4,4,0.6931507587432861,4096,5.184200562169394e-06,True
5,4,1.673922061920166,8192,4.992663907410488e-06,True
6,4,0.0006430149078369141,16384,4.923294489422858e-06,True
7,4,0.0006489753723144531,16384,4.923294489422858e-06,True
0,16,0.008070945739746094,512,5.531326141561266e-05,True
1,16,0.03234982490539551,1024,1.379576004545413e-05,True
2,16,0.06727409362792969,2048,7.204609792976768e-06,True
3,16,0.1596078872680664,4096,6.9793732204725956e-06,True
4,16,0.28810882568359375,8192,5.002641314533207e-06,True
5,16,0.0007598400115966797,16384,4.923294489422858e-06,True
6,16,0.0005850791931152344,16384,4.923294489422858e-06,True
7,16,0.0006940364837646484,16384,4.923294489422858e-06,True
0,32,0.0035119056701660156,512,0.00012461215206194254,True
1,32,0.015146255493164062,1024,3.088392998651379e-05,True
2,32,0.024014711380004883,2048,1.0686658438840979e-05,True
3,32,0.04420614242553711,4096,1.4045657886097018e-05,True
4,32,0.00037598609924316406,8192,1.3884269704389496e-05,True
5,32,0.0004038810729980469,8192,1.3884269704389496e-05,True
6,32,0.0003688335418701172,8192,1.3884269704389496e-05,True
7,32,0.0003941059112548828,8192,1.3884269704389496e-05,True
0,64,0.00690007209777832,1024,3.334473763239032e-05,True
1,64,0.019742965698242188,2048,2.4272277936887576e-05,True
2,64,0.04444408416748047,4096,7.888880217743477e-06,True
3,64,0.07776880264282227,8192,4.62028472481002e-06,True
4,64,0.0006630420684814453,16384,4.923294489422858e-06,True
5,64,0.0008447170257568359,16384,4.923294489422858e-06,True
6,64,0.0006699562072753906,16384,4.923294489422858e-06,True
7,64,0.0006649494171142578,16384,4.923294489422858e-06,True
0,128,0.0030908584594726562,1024,5.1170370432673806e-05,True
1,128,0.0069768428802490234,2048,2.4640885662563505e-05,True
2,128,0.010529041290283203,4096,1.0243038968571483e-05,True
3,128,0.0003857612609863281,8192,1.3884269704389496e-05,True
4,128,0.00037598609924316406,8192,1.3884269704389496e-05,True
5,128,0.00042700767517089844,8192,1.3884269704389496e-05,True
6,128,0.0005009174346923828,8192,1.3884269704389496e-05,True
7,128,0.0005602836608886719,8192,1.3884269704389496e-05,True
0,256,0.007937908172607422,2048,3.85474200381708e-05,True
1,256,0.01528477668762207,4096,1.560421946633639e-05,True
2,256,0.02755570411682129,8192,8.18808446712005e-06,True
3,256,0.0015718936920166016,16384,4.923294489422858e-06,True
4,256,0.0012538433074951172,16384,4.923294489422858e-06,True
5,256,0.0006330013275146484,16384,4.923294489422858e-06,True
6,256,0.0006320476531982422,16384,4.923294489422858e-06,True
7,256,0.0008919239044189453,16384,4.923294489422858e-06,True
