g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.0005319118499755859,32,0.0007095031794654982,True
1,1,0.003638029098510742,64,0.0004256808084646124,True
2,1,0.0030519962310791016,128,0.00022097739479076672,True
3,1,0.008388996124267578,256,0.00018107150969970398,True
4,1,0.026094913482666016,512,0.0001580788306312364,True
5,1,0.0001919269561767578,1024,0.00016480910444438557,True
6,1,0.0002799034118652344,1024,0.00016480910444438557,True
7,1,0.00029206275939941406,1024,0.00016480910444438557,True
0,4,0.0013189315795898438,64,0.0007849056045774461,True
1,4,0.0011560916900634766,128,0.00044510899801553094,True
2,4,0.006143093109130859,256,0.00015271584960352413,True
3,4,0.004223823547363281,512,0.00016238774444454762,True
4,4,0.00014495849609375,1024,0.00016480910444438557,True
5,4,0.0002162456512451172,1024,0.00016480910444438557,True
6,4,0.0001270771026611328,1024,0.00016480910444438557,True
7,4,0.00015997886657714844,1024,0.00016480910444438557,True
0,16,0.0005939006805419922,128,0.0004966854997261461,True
1,16,0.0019440650939941406,256,0.00020316516180884925,True
2,16,0.0018570423126220703,512,0.00017655039194131028,True
3,16,0.00012111663818359375,1024,0.00016480910444438557,True
4,16,0.0004458427429199219,1024,0.00016480910444438557,True
5,16,0.0003261566162109375,1024,0.00016480910444438557,True
6,16,0.00014209747314453125,1024,0.00016480910444438557,True
7,16,0.00020694732666015625,1024,0.00016480910444438557,True
0,32,0.0009000301361083984,256,0.0002036895065005151,True
1,32,0.0035250186920166016,512,5.94801111173382e-05,True
2,32,0.002157926559448242,1024,2.1338573286122653e-05,True
3,32,0.00038504600524902344,2048,1.742035041996104e-05,True
4,32,0.00019097328186035156,2048,1.742035041996104e-05,True
5,32,0.0003769397735595703,2048,1.742035041996104e-05,True
6,32,0.00019288063049316406,2048,1.742035041996104e-05,True
7,32,0.0002830028533935547,2048,1.742035041996104e-05,True
0,64,0.0005478858947753906,256,0.00046925813140807904,True
1,64,0.0014050006866455078,512,0.0002687195996158298,True
2,64,0.00013899803161621094,1024,0.00016480910444438557,True
3,64,0.0004069805145263672,1024,0.00016480910444438557,True
4,64,0.0005507469177246094,1024,0.00016480910444438557,True
5,64,0.0003368854522705078,1024,0.00016480910444438557,True
6,64,0.0001418590545654297,1024,0.00016480910444438557,True
7,64,0.0002892017364501953,1024,0.00016480910444438557,True
0,128,0.0014948844909667969,512,0.00013060599518910365,True
1,128,0.0022668838500976562,1024,2.706389998863301e-05,True
2,128,0.00042891502380371094,2048,1.742035041996104e-05,True
3,128,0.0001747608184814453,2048,1.742035041996104e-05,True
4,128,0.0001678466796875,2048,1.742035041996104e-05,True
5,128,0.0003859996795654297,2048,1.742035041996104e-05,True
6,128,0.0003039836883544922,2048,1.742035041996104e-05,True
7,128,0.0005168914794921875,2048,1.742035041996104e-05,True
0,256,0.0005271434783935547,512,0.00017119143316013385,True
1,256,0.0001399517059326172,1024,0.00016480910444438557,True
2,256,0.0004608631134033203,1024,0.00016480910444438557,True
3,256,0.0002522468566894531,1024,0.00016480910444438557,True
4,256,0.0002288818359375,1024,0.00016480910444438557,True
5,256,0.00026297569274902344,1024,0.00016480910444438557,True
6,256,0.00014281272888183594,1024,0.00016480910444438557,True
7,256,0.00015211105346679688,1024,0.00016480910444438557,True
