g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.015803098678588867,128,0.0006919471135442556,True
1,1,0.07318782806396484,256,0.0002011301558559886,True
2,1,0.17320895195007324,512,0.00017926854029504113,True
3,1,0.5405151844024658,1024,4.68737365868499e-05,True
4,1,1.9186360836029053,2048,3.2527283768013504e-05,True
5,1,6.311294078826904,4096,1.2089493654610095e-05,True
6,1,13.371184825897217,8192,3.881451504428313e-06,True
7,1,0.0011060237884521484,16384,5.811708636560553e-07,True
0,4,0.014002084732055664,256,0.0001641557342808575,True
1,4,0.056197166442871094,512,9.409886811084789e-05,True
2,4,0.13819527626037598,1024,5.576476866342439e-05,True
3,4,0.3770906925201416,2048,2.527950848074667e-05,True
4,4,1.148263931274414,4096,1.817111593704901e-05,True
5,4,3.229231119155884,8192,4.262885830330632e-06,True
6,4,0.0011529922485351562,16384,5.811708636560553e-07,True
7,4,0.0011701583862304688,16384,5.811708636560553e-07,True
0,16,0.011565208435058594,512,0.00018288680646105782,True
1,16,0.051300048828125,1024,6.838876965931107e-05,True
2,16,0.09112286567687988,2048,2.2232890215523327e-05,True
3,16,0.24083971977233887,4096,5.262268670813697e-06,True
4,16,0.4893488883972168,8192,3.748240116951962e-06,True
5,16,0.0011527538299560547,16384,5.811708636560553e-07,True
6,16,0.0014109611511230469,16384,5.811708636560553e-07,True
7,16,0.001168966293334961,16384,5.811708636560553e-07,True
0,32,0.005232095718383789,512,9.497216361764593e-05,True
1,32,0.0268552303314209,1024,5.220413072071217e-05,True
2,32,0.0314478874206543,2048,2.495735034324653e-05,True
3,32,0.0608057975769043,4096,7.01794280888457e-06,True
4,32,0.0006859302520751953,8192,3.9454865365939895e-06,True
5,32,0.0006000995635986328,8192,3.9454865365939895e-06,True
6,32,0.0006182193756103516,8192,3.9454865365939895e-06,True
7,32,0.0007259845733642578,8192,3.9454865365939895e-06,True
0,64,0.009930849075317383,1024,4.431746696198502e-05,True
1,64,0.024505138397216797,2048,2.0346628439860126e-05,True
2,64,0.06096696853637695,4096,1.1565721802275775e-05,True
3,64,0.17094993591308594,8192,5.2455142833807145e-06,True
4,64,0.0011250972747802734,16384,5.811708636560553e-07,True
5,64,0.0014629364013671875,16384,5.811708636560553e-07,True
6,64,0.001180887222290039,16384,5.811708636560553e-07,True
7,64,0.0012090206146240234,16384,5.811708636560553e-07,True
0,128,0.004138946533203125,1024,5.0566711294663946e-05,True
1,128,0.008479118347167969,2048,3.117417744213924e-05,True
2,128,0.015820741653442383,4096,1.6513020429931302e-05,True
3,128,0.0006568431854248047,8192,3.9454865365939895e-06,True
4,128,0.0007538795471191406,8192,3.9454865365939895e-06,True
5,128,0.0006091594696044922,8192,3.9454865365939895e-06,True
6,128,0.0007722377777099609,8192,3.9454865365939895e-06,True
7,128,0.0008661746978759766,8192,3.9454865365939895e-06,True
0,256,0.009652853012084961,2048,2.4188503331856737e-05,True
1,256,0.022661209106445312,4096,1.576309166995138e-05,True
2,256,0.03672528266906738,8192,4.025393976814229e-06,True
3,256,0.0011479854583740234,16384,5.811708636560553e-07,True
4,256,0.0017859935760498047,16384,5.811708636560553e-07,True
5,256,0.0011870861053466797,16384,5.811708636560553e-07,True
6,256,0.001180887222290039,16384,5.811708636560553e-07,True
7,256,0.0011861324310302734,16384,5.811708636560553e-07,True
