g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.0008919239044189453,32,0.00032598083173929204,True
1,1,0.0015952587127685547,64,0.00015520761772824798,True
2,1,0.0050449371337890625,128,5.380713325342512e-05,True
3,1,0.012794256210327148,256,3.7798686814749516e-05,True
4,1,0.02269268035888672,512,4.561515172274433e-05,True
5,1,0.0001983642578125,1024,4.158507332974182e-05,True
6,1,0.0015478134155273438,1024,4.158507332974182e-05,True
7,1,0.00036716461181640625,1024,4.158507332974182e-05,True
0,4,0.001664876937866211,64,0.00023579181562149998,True
1,4,0.001107931137084961,128,0.00011532925515322923,True
2,4,0.0037686824798583984,256,5.6638576973355725e-05,True
3,4,0.016386985778808594,512,4.143793989608291e-05,True
4,4,0.00036907196044921875,1024,4.158507332974182e-05,True
5,4,0.0004317760467529297,1024,4.158507332974182e-05,True
6,4,0.0003757476806640625,1024,4.158507332974182e-05,True
7,4,0.00030732154846191406,1024,4.158507332974182e-05,True
0,16,0.0016131401062011719,128,0.00029227788991925685,True
1,16,0.0020160675048828125,256,9.588195466059268e-05,True
2,16,0.0013742446899414062,512,3.6574219923979356e-05,True
3,16,0.0006928443908691406,1024,4.158507332974182e-05,True
4,16,0.00026607513427734375,1024,4.158507332974182e-05,True
5,16,0.00041866302490234375,1024,4.158507332974182e-05,True
6,16,0.00016188621520996094,1024,4.158507332974182e-05,True
7,16,0.0001690387725830078,1024,4.158507332974182e-05,True
0,32,0.0024940967559814453,256,0.00010179918524189091,True
1,32,0.0041179656982421875,512,5.1880583669561275e-05,True
2,32,0.0038869380950927734,1024,1.183694507522759e-05,True
3,32,0.0005829334259033203,2048,9.666302140054484e-06,True
4,32,0.000225067138671875,2048,9.666302140054484e-06,True
5,32,0.0002391338348388672,2048,9.666302140054484e-06,True
6,32,0.0005061626434326172,2048,9.666302140054484e-06,True
7,32,0.00019621849060058594,2048,9.666302140054484e-06,True
0,64,0.0009768009185791016,256,0.00012760890896390542,True
1,64,0.0019330978393554688,512,5.9560749049447637e-05,True
2,64,0.00018262863159179688,1024,4.158507332974182e-05,True
3,64,0.0003712177276611328,1024,4.158507332974182e-05,True
4,64,0.00026488304138183594,1024,4.158507332974182e-05,True
5,64,0.00016307830810546875,1024,4.158507332974182e-05,True
6,64,0.00039386749267578125,1024,4.158507332974182e-05,True
7,64,0.00048089027404785156,1024,4.158507332974182e-05,True
0,128,0.0016198158264160156,512,6.068277231241481e-05,True
1,128,0.00090789794921875,1024,1.6154180571659182e-05,True
2,128,0.0006310939788818359,2048,9.666302140054484e-06,True
3,128,0.0006868839263916016,2048,9.666302140054484e-06,True
4,128,0.00061798095703125,2048,9.666302140054484e-06,True
5,128,0.00021600723266601562,2048,9.666302140054484e-06,True
6,128,0.00028896331787109375,2048,9.666302140054484e-06,True
7,128,0.0002110004425048828,2048,9.666302140054484e-06,True
0,256,0.0003387928009033203,512,9.464838334971581e-05,True
1,256,0.00015306472778320312,1024,4.158507332974182e-05,True
2,256,0.00016307830810546875,1024,4.158507332974182e-05,True
3,256,0.00047278404235839844,1024,4.158507332974182e-05,True
4,256,0.0005397796630859375,1024,4.158507332974182e-05,True
5,256,0.00046634674072265625,1024,4.158507332974182e-05,True
6,256,0.00034308433532714844,1024,4.158507332974182e-05,True
7,256,0.00017881393432617188,1024,4.158507332974182e-05,True
