g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.00032901763916015625,16,0.012915323456758054,True
1,1,0.0010089874267578125,32,0.005416961159432132,True
2,1,0.0012249946594238281,64,0.002061660697526113,True
3,1,0.002368927001953125,128,0.0011176596761304225,True
4,1,0.00028204917907714844,256,0.000613268311078885,True
5,1,0.001026153564453125,256,0.000613268311078885,True
6,1,0.00018596649169921875,256,0.000613268311078885,True
7,1,0.0002830028533935547,256,0.000613268311078885,True
0,4,0.0003681182861328125,32,0.006859649367357834,True
1,4,0.0004780292510986328,64,0.0028354507752290647,True
2,4,0.0011022090911865234,128,0.0010721945593021864,True
3,4,0.0005328655242919922,256,0.000613268311078885,True
4,4,0.00028395652770996094,256,0.000613268311078885,True
5,4,0.0001900196075439453,256,0.000613268311078885,True
6,4,0.0006968975067138672,256,0.000613268311078885,True
7,4,0.00023293495178222656,256,0.000613268311078885,True
0,16,0.0008111000061035156,64,0.00256950593882066,True
1,16,0.0002918243408203125,128,0.001174379639941936,True
2,16,0.0009438991546630859,256,0.000613268311078885,True
3,16,0.00023221969604492188,256,0.000613268311078885,True
4,16,0.00020503997802734375,256,0.000613268311078885,True
5,16,0.0007059574127197266,256,0.000613268311078885,True
6,16,0.000286102294921875,256,0.000613268311078885,True
7,16,0.0005810260772705078,256,0.000613268311078885,True
0,32,0.0005180835723876953,128,0.0012340594719786324,True
1,32,0.0006079673767089844,256,0.0005906050245263472,True
2,32,0.0005748271942138672,512,0.00020341414237701194,True
3,32,0.00034308433532714844,512,0.00020341414237701194,True
4,32,0.00023674964904785156,512,0.00020341414237701194,True
5,32,0.0003571510314941406,512,0.00020341414237701194,True
6,32,0.000331878662109375,512,0.00020341414237701194,True
7,32,0.0008382797241210938,512,0.00020341414237701194,True
0,64,0.0006647109985351562,128,0.0011625294432742184,True
1,64,0.0007622241973876953,256,0.000613268311078885,True
2,64,0.0005261898040771484,256,0.000613268311078885,True
3,64,0.0003681182861328125,256,0.000613268311078885,True
4,64,0.00040721893310546875,256,0.000613268311078885,True
5,64,0.00030422210693359375,256,0.000613268311078885,True
6,64,0.0006608963012695312,256,0.000613268311078885,True
7,64,0.0002739429473876953,256,0.000613268311078885,True
0,128,0.0007169246673583984,256,0.0005811359264773497,True
1,128,0.0005078315734863281,512,0.00020341414237701194,True
2,128,0.001859903335571289,512,0.00020341414237701194,True
3,128,0.005253791809082031,512,0.00020341414237701194,True
4,128,0.00029730796813964844,512,0.00020341414237701194,True
5,128,0.00030803680419921875,512,0.00020341414237701194,True
6,128,0.0005309581756591797,512,0.00020341414237701194,True
7,128,0.0005309581756591797,512,0.00020341414237701194,True
0,256,0.0003230571746826172,256,0.000613268311078885,True
1,256,0.0003600120544433594,256,0.000613268311078885,True
2,256,0.0005230903625488281,256,0.000613268311078885,True
3,256,0.00017881393432617188,256,0.000613268311078885,True
4,256,0.0007479190826416016,256,0.000613268311078885,True
5,256,0.00035691261291503906,256,0.000613268311078885,True
6,256,0.00035500526428222656,256,0.000613268311078885,True
7,256,0.00016164779663085938,256,0.000613268311078885,True
