g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.02901005744934082,128,0.0016246329561266926,True
1,1,0.13462400436401367,256,0.0008006533471884847,True
2,1,0.311525821685791,512,0.0004901214939476706,True
3,1,0.9428260326385498,1024,0.0003262533835417525,True
4,1,2.8793957233428955,2048,0.00022850122405260187,True
5,1,8.610965967178345,4096,0.00011636058657327197,True
6,1,18.51321291923523,8192,5.878791917512949e-05,True
7,1,0.003144979476928711,16384,2.1459698000825256e-06,True
0,4,0.0272219181060791,256,0.0009353224612711486,True
1,4,0.11144709587097168,512,0.000348578228694274,True
2,4,0.25073909759521484,1024,0.0002481037575807754,True
3,4,0.6900351047515869,2048,0.00014862652987135405,True
4,4,1.8864929676055908,4096,4.6943605441773784e-05,True
5,4,4.285594940185547,8192,1.4545827212941731e-05,True
6,4,0.0034399032592773438,16384,2.1459698000825256e-06,True
7,4,0.003120899200439453,16384,2.1459698000825256e-06,True
0,16,0.02205634117126465,512,0.0004024736102954396,True
1,16,0.06163787841796875,1024,0.0002571194062690463,True
2,16,0.17288899421691895,2048,0.00010728004633175914,True
3,16,0.45714616775512695,4096,3.88393969255052e-05,True
4,16,0.9222128391265869,8192,1.1489236534822922e-05,True
5,16,0.0032377243041992188,16384,2.1459698000825256e-06,True
6,16,0.003103971481323242,16384,2.1459698000825256e-06,True
7,16,0.0035059452056884766,16384,2.1459698000825256e-06,True
0,32,0.009702920913696289,512,0.00040261117570494775,True
1,32,0.03777003288269043,1024,0.00033938505792430185,True
2,32,0.05886507034301758,2048,0.0001042579795820231,True
3,32,0.11576294898986816,4096,3.4941526215082064e-05,True
4,32,0.0021941661834716797,8192,1.5452318594899594e-05,True
5,32,0.0018279552459716797,8192,1.5452318594899594e-05,True
6,32,0.0019199848175048828,8192,1.5452318594899594e-05,True
7,32,0.002034902572631836,8192,1.5452318594899594e-05,True
0,64,0.018301010131835938,1024,0.0002768917808528837,True
1,64,0.04670310020446777,2048,0.00010773017798126894,True
2,64,0.11672115325927734,4096,5.174717629752301e-05,True
3,64,0.23029685020446777,8192,1.4621882062471059e-05,True
4,64,0.0033860206604003906,16384,2.1459698000825256e-06,True
5,64,0.0035190582275390625,16384,2.1459698000825256e-06,True
6,64,0.0031058788299560547,16384,2.1459698000825256e-06,True
7,64,0.003113985061645508,16384,2.1459698000825256e-06,True
0,128,0.007918119430541992,1024,0.00013869093985063863,True
1,128,0.016860246658325195,2048,0.00012867806683325433,True
2,128,0.030761003494262695,4096,5.2159087807091e-05,True
3,128,0.001961231231689453,8192,1.5452318594899594e-05,True
4,128,0.0019588470458984375,8192,1.5452318594899594e-05,True
5,128,0.0019001960754394531,8192,1.5452318594899594e-05,True
6,128,0.0018968582153320312,8192,1.5452318594899594e-05,True
7,128,0.002044200897216797,8192,1.5452318594899594e-05,True
0,256,0.015035152435302734,2048,9.155142974726083e-05,True
1,256,0.03249406814575195,4096,7.147042137933823e-05,True
2,256,0.06012582778930664,8192,1.583275279126717e-05,True
3,256,0.0031638145446777344,16384,2.1459698000825256e-06,True
4,256,0.0034232139587402344,16384,2.1459698000825256e-06,True
5,256,0.003187894821166992,16384,2.1459698000825256e-06,True
6,256,0.003173828125,16384,2.1459698000825256e-06,True
7,256,0.0032150745391845703,16384,2.1459698000825256e-06,True
