g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.003028392791748047,64,0.0021600447147858137,True
1,1,0.016727924346923828,128,0.0016902306243966603,True
2,1,0.04459643363952637,256,0.0009717785142127067,True
3,1,0.13526701927185059,512,0.0009979209325456928,True
4,1,0.3218498229980469,1024,0.0006946257239739406,True
5,1,0.7100439071655273,2048,0.0001837054057522991,True
6,1,0.0003070831298828125,4096,1.836588165682329e-05,True
7,1,0.0003299713134765625,4096,1.836588165682329e-05,True
0,4,0.0029790401458740234,128,0.0008751430604023724,True
1,4,0.0082550048828125,256,0.0006366522303138389,True
2,4,0.03167390823364258,512,0.0003498903589356228,True
3,4,0.09143185615539551,1024,0.00019054005287189035,True
4,4,0.17834877967834473,2048,5.588335985162729e-05,True
5,4,0.0008080005645751953,4096,1.836588165682329e-05,True
6,4,0.0003421306610107422,4096,1.836588165682329e-05,True
7,4,0.0003199577331542969,4096,1.836588165682329e-05,True
0,16,0.002783060073852539,256,0.0004842547445489398,True
1,16,0.006144046783447266,512,0.00032034955416615496,True
2,16,0.029373884201049805,1024,0.0001718888416417652,True
3,16,0.05356788635253906,2048,2.5130417123486737e-05,True
4,16,0.00030922889709472656,4096,1.836588165682329e-05,True
5,16,0.0003209114074707031,4096,1.836588165682329e-05,True
6,16,0.0003421306610107422,4096,1.836588165682329e-05,True
7,16,0.00028014183044433594,4096,1.836588165682329e-05,True
0,32,0.005372285842895508,512,0.00020916092356926264,True
1,32,0.014831781387329102,1024,5.24499346017393e-05,True
2,32,0.04311800003051758,2048,3.4728161104835564e-05,True
3,32,0.0682520866394043,4096,7.068203209970036e-05,True
4,32,0.0004661083221435547,8192,3.986727283855629e-06,True
5,32,0.0004379749298095703,8192,3.986727283855629e-06,True
6,32,0.0007240772247314453,8192,3.986727283855629e-06,True
7,32,0.0009169578552246094,8192,3.986727283855629e-06,True
0,64,0.0019106864929199219,512,0.0002683880601261901,True
1,64,0.00921177864074707,1024,0.00017083983106536138,True
2,64,0.012941122055053711,2048,4.61243075882134e-05,True
3,64,0.0003077983856201172,4096,1.836588165682329e-05,True
4,64,0.0002989768981933594,4096,1.836588165682329e-05,True
5,64,0.0003037452697753906,4096,1.836588165682329e-05,True
6,64,0.00032520294189453125,4096,1.836588165682329e-05,True
7,64,0.0003216266632080078,4096,1.836588165682329e-05,True
0,128,0.004232168197631836,1024,0.0001227520218334277,True
1,128,0.01670241355895996,2048,2.7499547325504636e-05,True
2,128,0.020540952682495117,4096,1.874309780425243e-05,True
3,128,0.0009849071502685547,8192,3.986727283855629e-06,True
4,128,0.0008549690246582031,8192,3.986727283855629e-06,True
5,128,0.0007271766662597656,8192,3.986727283855629e-06,True
6,128,0.00046706199645996094,8192,3.986727283855629e-06,True
7,128,0.0004699230194091797,8192,3.986727283855629e-06,True
0,256,0.0017020702362060547,1024,3.974563403974507e-05,True
1,256,0.005182981491088867,2048,2.909422665697825e-05,True
2,256,0.00031495094299316406,4096,1.836588165682329e-05,True
3,256,0.0003032684326171875,4096,1.836588165682329e-05,True
4,256,0.00034809112548828125,4096,1.836588165682329e-05,True
5,256,0.0003368854522705078,4096,1.836588165682329e-05,True
6,256,0.0003161430358886719,4096,1.836588165682329e-05,True
7,256,0.0003399848937988281,4096,1.836588165682329e-05,True
