g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.00026679039001464844,16,0.0022494381476589886,True
1,1,0.00034999847412109375,32,0.0009171304166106786,True
2,1,0.0023479461669921875,64,0.0008215911747244675,True
3,1,0.004376888275146484,128,0.00031360786630352244,True
4,1,8.702278137207031e-05,256,0.0002906740564216914,True
5,1,8.416175842285156e-05,256,0.0002906740564216914,True
6,1,9.393692016601562e-05,256,0.0002906740564216914,True
7,1,0.00010395050048828125,256,0.0002906740564216914,True
0,4,0.0006279945373535156,32,0.004122606082447966,True
1,4,0.00029397010803222656,64,0.0003439985311246563,True
2,4,0.00045800209045410156,128,0.0002601930640122596,True
3,4,7.581710815429688e-05,256,0.0002906740564216914,True
4,4,0.00020194053649902344,256,0.0002906740564216914,True
5,4,8.797645568847656e-05,256,0.0002906740564216914,True
6,4,0.00039887428283691406,256,0.0002906740564216914,True
7,4,0.0002391338348388672,256,0.0002906740564216914,True
0,16,0.00021028518676757812,64,0.0006748158239302526,True
1,16,0.00025200843811035156,128,0.0008482267705087754,True
2,16,0.00019097328186035156,256,0.0002906740564216914,True
3,16,9.799003601074219e-05,256,0.0002906740564216914,True
4,16,7.796287536621094e-05,256,0.0002906740564216914,True
5,16,0.00012183189392089844,256,0.0002906740564216914,True
6,16,8.797645568847656e-05,256,0.0002906740564216914,True
7,16,7.224082946777344e-05,256,0.0002906740564216914,True
0,32,0.0007679462432861328,128,0.00043885825661393874,True
1,32,0.0003540515899658203,256,0.0002148661086422976,True
2,32,8.96453857421875e-05,512,0.00011078631092664715,True
3,32,0.00019407272338867188,512,0.00011078631092664715,True
4,32,0.022828102111816406,512,0.00011078631092664715,True
5,32,0.0001289844512939453,512,0.00011078631092664715,True
6,32,0.0002009868621826172,512,0.00011078631092664715,True
7,32,0.0003757476806640625,512,0.00011078631092664715,True
0,64,0.0007750988006591797,128,0.0009628846060270035,True
1,64,8.130073547363281e-05,256,0.0002906740564216914,True
2,64,8.606910705566406e-05,256,0.0002906740564216914,True
3,64,0.00010704994201660156,256,0.0002906740564216914,True
4,64,0.00023293495178222656,256,0.0002906740564216914,True
5,64,9.012222290039062e-05,256,0.0002906740564216914,True
6,64,9.298324584960938e-05,256,0.0002906740564216914,True
7,64,0.00022602081298828125,256,0.0002906740564216914,True
0,128,0.0002238750457763672,256,0.0001843411156376984,True
1,128,0.00011301040649414062,512,0.00011078631092664715,True
2,128,0.00027298927307128906,512,0.00011078631092664715,True
3,128,0.0002868175506591797,512,0.00011078631092664715,True
4,128,0.00023221969604492188,512,0.00011078631092664715,True
5,128,0.001050710678100586,512,0.00011078631092664715,True
6,128,0.0007009506225585938,512,0.00011078631092664715,True
7,128,0.00025916099548339844,512,0.00011078631092664715,True
0,256,0.0005459785461425781,256,0.0002906740564216914,True
1,256,9.989738464355469e-05,256,0.0002906740564216914,True
2,256,0.00019097328186035156,256,0.0002906740564216914,True
3,256,0.0002009868621826172,256,0.0002906740564216914,True
4,256,8.296966552734375e-05,256,0.0002906740564216914,True
5,256,0.0001068115234375,256,0.0002906740564216914,True
6,256,9.894371032714844e-05,256,0.0002906740564216914,True
7,256,9.775161743164062e-05,256,0.0002906740564216914,True
