g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.008919000625610352,128,7.174567324730319e-05,True
1,1,0.04377293586730957,256,3.627559946939307e-05,True
2,1,0.11417126655578613,512,1.0651876635625612e-05,True
3,1,0.3217599391937256,1024,4.260958364143974e-06,True
4,1,1.0506019592285156,2048,1.9221214824227673e-06,True
5,1,3.390059232711792,4096,1.5050198618471455e-06,True
6,1,7.584743022918701,8192,1.3227043562658025e-06,True
7,1,0.0009150505065917969,16384,1.3296502285875533e-06,True
0,4,0.00837087631225586,256,0.00010451379421416718,True
1,4,0.0315089225769043,512,1.6606889649883882e-05,True
2,4,0.0773930549621582,1024,4.487925800322756e-06,True
3,4,0.19595789909362793,2048,2.6950257896452e-06,True
4,4,0.6481709480285645,4096,1.2551320429654567e-06,True
5,4,1.6104252338409424,8192,1.3872536976933247e-06,True
6,4,0.0008802413940429688,16384,1.3296502285875533e-06,True
7,4,0.0009818077087402344,16384,1.3296502285875533e-06,True
0,16,0.007063150405883789,512,3.276254081230334e-05,True
1,16,0.03232884407043457,1024,1.0705362088803128e-05,True
2,16,0.09765887260437012,2048,4.374477525548315e-06,True
3,16,0.1271059513092041,4096,2.0299967600223567e-06,True
4,16,0.2595059871673584,8192,1.7325792698308362e-06,True
5,16,0.0009591579437255859,16384,1.3296502285875533e-06,True
6,16,0.0009987354278564453,16384,1.3296502285875533e-06,True
7,16,0.0009999275207519531,16384,1.3296502285875533e-06,True
0,32,0.003170013427734375,512,8.521301649744295e-05,True
1,32,0.007086992263793945,1024,2.4155686251692288e-05,True
2,32,0.016376018524169922,2048,8.838364522700815e-06,True
3,32,0.032398223876953125,4096,1.3952769336134097e-05,True
4,32,0.0006299018859863281,8192,1.2357957844377765e-05,True
5,32,0.0005030632019042969,8192,1.2357957844377765e-05,True
6,32,0.00047206878662109375,8192,1.2357957844377765e-05,True
7,32,0.000759124755859375,8192,1.2357957844377765e-05,True
0,64,0.0059931278228759766,1024,2.0125516599911464e-05,True
1,64,0.01351618766784668,2048,1.9450978110402417e-05,True
2,64,0.03212785720825195,4096,3.173182808735575e-06,True
3,64,0.0646979808807373,8192,1.2273895773073917e-06,True
4,64,0.001055002212524414,16384,1.3296502285875533e-06,True
5,64,0.001239776611328125,16384,1.3296502285875533e-06,True
6,64,0.0009660720825195312,16384,1.3296502285875533e-06,True
7,64,0.0009760856628417969,16384,1.3296502285875533e-06,True
0,128,0.0028460025787353516,1024,4.6867982590015345e-05,True
1,128,0.004826068878173828,2048,2.914775842799422e-05,True
2,128,0.00838613510131836,4096,1.1873271622109272e-05,True
3,128,0.0005419254302978516,8192,1.2357957844377765e-05,True
4,128,0.0005140304565429688,8192,1.2357957844377765e-05,True
5,128,0.0004961490631103516,8192,1.2357957844377765e-05,True
6,128,0.00057220458984375,8192,1.2357957844377765e-05,True
7,128,0.0007200241088867188,8192,1.2357957844377765e-05,True
0,256,0.0050067901611328125,2048,3.22690648613122e-05,True
1,256,0.009420633316040039,4096,6.4239431856183415e-06,True
2,256,0.016716718673706055,8192,9.062493464551125e-07,True
3,256,0.0010073184967041016,16384,1.3296502285875533e-06,True
4,256,0.0009541511535644531,16384,1.3296502285875533e-06,True
5,256,0.001010894775390625,16384,1.3296502285875533e-06,True
6,256,0.0010199546813964844,16384,1.3296502285875533e-06,True
7,256,0.0009570121765136719,16384,1.3296502285875533e-06,True
