g,num_bins,execution_time_sec,compressed_size,mmd_score,success
0,1,0.010589122772216797,128,3.9480910467792896e-05,True
1,1,0.04967093467712402,256,1.3533415289757045e-05,True
2,1,0.13893580436706543,512,5.239900726428104e-06,True
3,1,0.340770959854126,1024,2.174497201634651e-06,True
4,1,1.1313958168029785,2048,1.300864292508308e-06,True
5,1,3.5555031299591064,4096,1.1241986381804736e-06,True
6,1,7.811437129974365,8192,1.1480317860801392e-06,True
7,1,0.0012962818145751953,16384,1.1709944249815862e-06,True
0,4,0.011018991470336914,256,2.087762716285191e-05,True
1,4,0.033664703369140625,512,8.934566138707467e-06,True
2,4,0.10172581672668457,1024,3.5277450420867495e-06,True
3,4,0.23481297492980957,2048,1.4240385142194611e-06,True
4,4,0.7039339542388916,4096,1.2753428226819352e-06,True
5,4,1.7040488719940186,8192,1.0454230001677445e-06,True
6,4,0.0013737678527832031,16384,1.1709944249815862e-06,True
7,4,0.0017180442810058594,16384,1.1709944249815862e-06,True
0,16,0.008738040924072266,512,2.4967609074444397e-05,True
1,16,0.03070211410522461,1024,5.863446908227488e-06,True
2,16,0.07732701301574707,2048,2.948608804231867e-06,True
3,16,0.17281079292297363,4096,1.396468876757595e-06,True
4,16,0.3169128894805908,8192,1.2375034028622167e-06,True
5,16,0.0014832019805908203,16384,1.1709944249815862e-06,True
6,16,0.0016140937805175781,16384,1.1709944249815862e-06,True
7,16,0.001699209213256836,16384,1.1709944249815862e-06,True
0,32,0.004038095474243164,512,3.886726469115587e-05,True
1,32,0.01565384864807129,1024,1.3393722603227687e-05,True
2,32,0.02549600601196289,2048,5.113524782274226e-06,True
3,32,0.04651498794555664,4096,3.3683339748513674e-06,True
4,32,0.0006711483001708984,8192,2.987998900305655e-06,True
5,32,0.0010221004486083984,8192,2.987998900305655e-06,True
6,32,0.000993967056274414,8192,2.987998900305655e-06,True
7,32,0.0009920597076416016,8192,2.987998900305655e-06,True
0,64,0.007784843444824219,1024,3.150180763378252e-05,True
1,64,0.023084640502929688,2048,4.909934862684651e-06,True
2,64,0.046955108642578125,4096,2.0932578259635903e-06,True
3,64,0.08187103271484375,8192,1.591190050165281e-06,True
4,64,0.0015022754669189453,16384,1.1709944249815862e-06,True
5,64,0.0016901493072509766,16384,1.1709944249815862e-06,True
6,64,0.001447916030883789,16384,1.1709944249815862e-06,True
7,64,0.0017809867858886719,16384,1.1709944249815862e-06,True
0,128,0.003580331802368164,1024,2.397928571840069e-05,True
1,128,0.008460044860839844,2048,7.159709763948641e-06,True
2,128,0.013216018676757812,4096,3.5765131707332642e-06,True
3,128,0.0008890628814697266,8192,2.987998900305655e-06,True
4,128,0.0006787776947021484,8192,2.987998900305655e-06,True
5,128,0.0008590221405029297,8192,2.987998900305655e-06,True
6,128,0.000701904296875,8192,2.987998900305655e-06,True
7,128,0.0007190704345703125,8192,2.987998900305655e-06,True
0,256,0.0063817501068115234,2048,1.9018393628167374e-05,True
1,256,0.013484001159667969,4096,3.6443781741279935e-06,True
2,256,0.022004127502441406,8192,2.35711136742367e-06,True
3,256,0.0015490055084228516,16384,1.1709944249815862e-06,True
4,256,0.0014977455139160156,16384,1.1709944249815862e-06,True
5,256,0.0014028549194335938,16384,1.1709944249815862e-06,True
6,256,0.0014960765838623047,16384,1.1709944249815862e-06,True
7,256,0.0015168190002441406,16384,1.1709944249815862e-06,True
