mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.0021843653536496132,1.0,74.79520392417908,128,1.5829323245508675e-05,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,20.542808055877686
0.0008620967052338309,1.0,153.88297843933105,256,7.948378034861037e-06,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-1.0,5.094074726104736
0.001020466644803084,1.0,261.76483154296875,512,3.6322914913622384e-06,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-2.0,5.241513967514038
0.004425202557685167,1.0,48.31958603858948,128,0.000775883710647074,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,24.055867433547974
0.003737772452416741,1.0,108.64211320877075,256,0.00034138212927725675,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-1.0,5.994752645492554
0.0020139359991511252,1.0,224.68462443351746,512,7.556937491859372e-05,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-2.0,5.781644821166992
0.0009409318447146934,1.0,72.6186306476593,128,6.497737636168566e-06,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,18.967219829559326
0.0008296819258950124,1.0,124.80670070648193,256,6.022635470781523e-06,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-1.0,4.757135629653931
0.000620156232506385,1.0,291.0727903842926,512,3.7261298091451067e-06,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-2.0,4.752745866775513
0.0008799964577619398,1.0,78.91507482528687,128,8.22517287413227e-06,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,20.132084846496582
0.0018149507572599566,1.0,104.41592931747437,256,6.9106046585165615e-06,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-1.0,5.078021049499512
0.0011626104723160941,1.0,234.71347904205322,512,3.6035108599286048e-06,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-2.0,5.069674968719482
