dataset,repeat,method,time_explanation,time_sample_choose,n_original,n_sample,g
compas,0,cte_shap_kernel,19.240105867385864,0.0036377906799316406,1235,64,1
compas,0,cte_shap_permutation,14.979462146759033,0.0036377906799316406,1235,64,1
compas,0,cte_sage_kernel,15.876827716827393,0.0036377906799316406,1235,64,1
compas,0,cte_sage_permutation,26.30826187133789,0.0036377906799316406,1235,64,1
compas,0,cte_with_predictions_shap_kernel,22.129898071289062,0.0012750625610351562,1235,64,1
compas,0,cte_with_predictions_shap_permutation,14.247643232345581,0.0012750625610351562,1235,64,1
compas,0,cte_with_predictions_sage_kernel,21.55886721611023,0.0012750625610351562,1235,64,1
compas,0,cte_with_predictions_sage_permutation,38.59911894798279,0.0012750625610351562,1235,64,1
compas,0,cte_stratified_shap_kernel,18.32926297187805,0.0005371570587158203,1235,48,1
compas,0,cte_stratified_shap_permutation,13.1133131980896,0.0005371570587158203,1235,48,1
compas,0,cte_stratified_sage_kernel,19.662378072738647,0.0005371570587158203,1235,48,1
compas,0,cte_stratified_sage_permutation,38.35025382041931,0.0005371570587158203,1235,48,1
compas,0,iid_shap_kernel,24.00551414489746,0.0008761882781982422,1235,64,1
compas,0,iid_shap_permutation,15.603931903839111,0.0008761882781982422,1235,64,1
compas,0,iid_sage_kernel,19.098638772964478,0.0008761882781982422,1235,64,1
compas,0,iid_sage_permutation,35.33904981613159,0.0008761882781982422,1235,64,1
compas,1,cte_shap_kernel,24.387701988220215,0.0016467571258544922,1235,64,1
compas,1,cte_shap_permutation,16.019526958465576,0.0016467571258544922,1235,64,1
compas,1,cte_sage_kernel,20.012009859085083,0.0016467571258544922,1235,64,1
compas,1,cte_sage_permutation,33.47074294090271,0.0016467571258544922,1235,64,1
compas,1,cte_with_predictions_shap_kernel,24.54323101043701,0.001748800277709961,1235,64,1
compas,1,cte_with_predictions_shap_permutation,16.109644889831543,0.001748800277709961,1235,64,1
compas,1,cte_with_predictions_sage_kernel,26.955231189727783,0.001748800277709961,1235,64,1
compas,1,cte_with_predictions_sage_permutation,45.24105787277222,0.001748800277709961,1235,64,1
compas,1,cte_stratified_shap_kernel,19.148009061813354,0.0005791187286376953,1235,48,1
compas,1,cte_stratified_shap_permutation,14.79256010055542,0.0005791187286376953,1235,48,1
compas,1,cte_stratified_sage_kernel,15.74236011505127,0.0005791187286376953,1235,48,1
compas,1,cte_stratified_sage_permutation,23.721288919448853,0.0005791187286376953,1235,48,1
compas,1,iid_shap_kernel,24.966166973114014,5.125999450683594e-05,1235,64,1
compas,1,iid_shap_permutation,16.710973739624023,5.125999450683594e-05,1235,64,1
compas,1,iid_sage_kernel,26.130393981933594,5.125999450683594e-05,1235,64,1
compas,1,iid_sage_permutation,45.895217180252075,5.125999450683594e-05,1235,64,1
compas,2,cte_shap_kernel,25.289408206939697,0.0016701221466064453,1235,64,1
compas,2,cte_shap_permutation,16.683574676513672,0.0016701221466064453,1235,64,1
compas,2,cte_sage_kernel,13.895574808120728,0.0016701221466064453,1235,64,1
compas,2,cte_sage_permutation,21.92112636566162,0.0016701221466064453,1235,64,1
compas,2,cte_with_predictions_shap_kernel,25.08243989944458,0.0020568370819091797,1235,64,1
compas,2,cte_with_predictions_shap_permutation,16.730091094970703,0.0020568370819091797,1235,64,1
compas,2,cte_with_predictions_sage_kernel,26.113604068756104,0.0020568370819091797,1235,64,1
compas,2,cte_with_predictions_sage_permutation,41.29926609992981,0.0020568370819091797,1235,64,1
compas,2,cte_stratified_shap_kernel,19.58480405807495,0.0005810260772705078,1235,48,1
compas,2,cte_stratified_shap_permutation,14.798332929611206,0.0005810260772705078,1235,48,1
compas,2,cte_stratified_sage_kernel,13.99931812286377,0.0005810260772705078,1235,48,1
compas,2,cte_stratified_sage_permutation,25.870745182037354,0.0005810260772705078,1235,48,1
compas,2,iid_shap_kernel,25.25828790664673,5.698204040527344e-05,1235,64,1
compas,2,iid_shap_permutation,16.758654832839966,5.698204040527344e-05,1235,64,1
compas,2,iid_sage_kernel,13.5294349193573,5.698204040527344e-05,1235,64,1
compas,2,iid_sage_permutation,20.53572392463684,5.698204040527344e-05,1235,64,1
compas,3,cte_shap_kernel,25.110738039016724,0.0018291473388671875,1235,64,1
compas,3,cte_shap_permutation,16.876792907714844,0.0018291473388671875,1235,64,1
compas,3,cte_sage_kernel,33.16927695274353,0.0018291473388671875,1235,64,1
compas,3,cte_sage_permutation,57.038949966430664,0.0018291473388671875,1235,64,1
compas,3,cte_with_predictions_shap_kernel,25.567520141601562,0.0019910335540771484,1235,64,1
compas,3,cte_with_predictions_shap_permutation,17.205514907836914,0.0019910335540771484,1235,64,1
compas,3,cte_with_predictions_sage_kernel,14.577266216278076,0.0019910335540771484,1235,64,1
compas,3,cte_with_predictions_sage_permutation,27.606584787368774,0.0019910335540771484,1235,64,1
compas,3,cte_stratified_shap_kernel,19.641705989837646,0.0005350112915039062,1235,48,1
compas,3,cte_stratified_shap_permutation,15.639350891113281,0.0005350112915039062,1235,48,1
compas,3,cte_stratified_sage_kernel,13.582944869995117,0.0005350112915039062,1235,48,1
compas,3,cte_stratified_sage_permutation,25.539970874786377,0.0005350112915039062,1235,48,1
compas,3,iid_shap_kernel,25.334484100341797,4.982948303222656e-05,1235,64,1
compas,3,iid_shap_permutation,17.622128009796143,4.982948303222656e-05,1235,64,1
compas,3,iid_sage_kernel,32.8802011013031,4.982948303222656e-05,1235,64,1
compas,3,iid_sage_permutation,57.29998016357422,4.982948303222656e-05,1235,64,1
compas,4,cte_shap_kernel,27.637516021728516,0.0019450187683105469,1235,64,1
compas,4,cte_shap_permutation,17.472517013549805,0.0019450187683105469,1235,64,1
compas,4,cte_sage_kernel,29.88779592514038,0.0019450187683105469,1235,64,1
compas,4,cte_sage_permutation,60.12083101272583,0.0019450187683105469,1235,64,1
compas,4,cte_with_predictions_shap_kernel,25.619686126708984,0.00203704833984375,1235,64,1
compas,4,cte_with_predictions_shap_permutation,17.81607413291931,0.00203704833984375,1235,64,1
compas,4,cte_with_predictions_sage_kernel,18.350372791290283,0.00203704833984375,1235,64,1
compas,4,cte_with_predictions_sage_permutation,30.44522213935852,0.00203704833984375,1235,64,1
compas,4,cte_stratified_shap_kernel,19.833789110183716,0.0005402565002441406,1235,48,1
compas,4,cte_stratified_shap_permutation,15.389001846313477,0.0005402565002441406,1235,48,1
compas,4,cte_stratified_sage_kernel,18.705790042877197,0.0005402565002441406,1235,48,1
compas,4,cte_stratified_sage_permutation,36.59920883178711,0.0005402565002441406,1235,48,1
compas,4,iid_shap_kernel,25.304327964782715,4.982948303222656e-05,1235,64,1
compas,4,iid_shap_permutation,17.85473108291626,4.982948303222656e-05,1235,64,1
compas,4,iid_sage_kernel,14.036005973815918,4.982948303222656e-05,1235,64,1
compas,4,iid_sage_permutation,26.527116060256958,4.982948303222656e-05,1235,64,1
compas,0,cte_shap_kernel,49.62229299545288,0.004688739776611328,1235,128,2
compas,0,cte_shap_permutation,25.98384714126587,0.004688739776611328,1235,128,2
compas,0,cte_sage_kernel,47.259337425231934,0.004688739776611328,1235,128,2
compas,0,cte_sage_permutation,90.0899760723114,0.004688739776611328,1235,128,2
compas,0,cte_with_predictions_shap_kernel,50.406392097473145,0.004647970199584961,1235,128,2
compas,0,cte_with_predictions_shap_permutation,26.346442461013794,0.004647970199584961,1235,128,2
compas,0,cte_with_predictions_sage_kernel,43.455897092819214,0.004647970199584961,1235,128,2
compas,0,cte_with_predictions_sage_permutation,93.50167989730835,0.004647970199584961,1235,128,2
compas,0,cte_stratified_shap_kernel,38.32019925117493,0.0013248920440673828,1235,96,2
compas,0,cte_stratified_shap_permutation,21.906158924102783,0.0013248920440673828,1235,96,2
compas,0,cte_stratified_sage_kernel,33.47998404502869,0.0013248920440673828,1235,96,2
compas,0,cte_stratified_sage_permutation,68.70578408241272,0.0013248920440673828,1235,96,2
compas,0,iid_shap_kernel,49.97980499267578,5.2928924560546875e-05,1235,128,2
compas,0,iid_shap_permutation,27.24559998512268,5.2928924560546875e-05,1235,128,2
compas,0,iid_sage_kernel,55.9832398891449,5.2928924560546875e-05,1235,128,2
compas,0,iid_sage_permutation,105.61249613761902,5.2928924560546875e-05,1235,128,2
compas,1,cte_shap_kernel,50.52098989486694,0.004927158355712891,1235,128,2
compas,1,cte_shap_permutation,28.062625885009766,0.004927158355712891,1235,128,2
compas,1,cte_sage_kernel,49.79345917701721,0.004927158355712891,1235,128,2
compas,1,cte_sage_permutation,83.74263596534729,0.004927158355712891,1235,128,2
compas,1,cte_with_predictions_shap_kernel,51.19350790977478,0.0051898956298828125,1235,128,2
compas,1,cte_with_predictions_shap_permutation,27.87559986114502,0.0051898956298828125,1235,128,2
compas,1,cte_with_predictions_sage_kernel,51.92008090019226,0.0051898956298828125,1235,128,2
compas,1,cte_with_predictions_sage_permutation,94.40181303024292,0.0051898956298828125,1235,128,2
compas,1,cte_stratified_shap_kernel,39.64867615699768,0.0014388561248779297,1235,96,2
compas,1,cte_stratified_shap_permutation,22.905934810638428,0.0014388561248779297,1235,96,2
compas,1,cte_stratified_sage_kernel,29.369696140289307,0.0014388561248779297,1235,96,2
compas,1,cte_stratified_sage_permutation,57.80557608604431,0.0014388561248779297,1235,96,2
compas,1,iid_shap_kernel,51.385042905807495,5.3882598876953125e-05,1235,128,2
compas,1,iid_shap_permutation,27.287653923034668,5.3882598876953125e-05,1235,128,2
compas,1,iid_sage_kernel,57.3275990486145,5.3882598876953125e-05,1235,128,2
compas,1,iid_sage_permutation,88.31272768974304,5.3882598876953125e-05,1235,128,2
compas,2,cte_shap_kernel,52.237459897994995,0.005343914031982422,1235,128,2
compas,2,cte_shap_permutation,27.39694905281067,0.005343914031982422,1235,128,2
compas,2,cte_sage_kernel,43.08703398704529,0.005343914031982422,1235,128,2
compas,2,cte_sage_permutation,84.79606604576111,0.005343914031982422,1235,128,2
compas,2,cte_with_predictions_shap_kernel,51.38221287727356,0.0050640106201171875,1235,128,2
compas,2,cte_with_predictions_shap_permutation,26.978219032287598,0.0050640106201171875,1235,128,2
compas,2,cte_with_predictions_sage_kernel,31.746562004089355,0.0050640106201171875,1235,128,2
compas,2,cte_with_predictions_sage_permutation,66.70455503463745,0.0050640106201171875,1235,128,2
compas,2,cte_stratified_shap_kernel,39.16708278656006,0.0012500286102294922,1235,96,2
compas,2,cte_stratified_shap_permutation,21.37117314338684,0.0012500286102294922,1235,96,2
compas,2,cte_stratified_sage_kernel,35.38670492172241,0.0012500286102294922,1235,96,2
compas,2,cte_stratified_sage_permutation,69.83837985992432,0.0012500286102294922,1235,96,2
compas,2,iid_shap_kernel,50.85300016403198,5.507469177246094e-05,1235,128,2
compas,2,iid_shap_permutation,26.914281129837036,5.507469177246094e-05,1235,128,2
compas,2,iid_sage_kernel,55.67685294151306,5.507469177246094e-05,1235,128,2
compas,2,iid_sage_permutation,107.9155421257019,5.507469177246094e-05,1235,128,2
compas,3,cte_shap_kernel,51.233718156814575,0.004884004592895508,1235,128,2
compas,3,cte_shap_permutation,26.59305691719055,0.004884004592895508,1235,128,2
compas,3,cte_sage_kernel,47.595226764678955,0.004884004592895508,1235,128,2
compas,3,cte_sage_permutation,87.44859504699707,0.004884004592895508,1235,128,2
compas,3,cte_with_predictions_shap_kernel,50.808449029922485,0.005099058151245117,1235,128,2
compas,3,cte_with_predictions_shap_permutation,27.744222402572632,0.005099058151245117,1235,128,2
compas,3,cte_with_predictions_sage_kernel,70.86253905296326,0.005099058151245117,1235,128,2
compas,3,cte_with_predictions_sage_permutation,125.26327228546143,0.005099058151245117,1235,128,2
compas,3,cte_stratified_shap_kernel,38.846593141555786,0.0013689994812011719,1235,96,2
compas,3,cte_stratified_shap_permutation,22.334864139556885,0.0013689994812011719,1235,96,2
compas,3,cte_stratified_sage_kernel,30.61516809463501,0.0013689994812011719,1235,96,2
compas,3,cte_stratified_sage_permutation,65.20270895957947,0.0013689994812011719,1235,96,2
compas,3,iid_shap_kernel,50.530515909194946,4.887580871582031e-05,1235,128,2
compas,3,iid_shap_permutation,27.365684986114502,4.887580871582031e-05,1235,128,2
compas,3,iid_sage_kernel,45.8560791015625,4.887580871582031e-05,1235,128,2
compas,3,iid_sage_permutation,100.82832312583923,4.887580871582031e-05,1235,128,2
compas,4,cte_shap_kernel,50.67997860908508,0.004918813705444336,1235,128,2
compas,4,cte_shap_permutation,26.393718004226685,0.004918813705444336,1235,128,2
compas,4,cte_sage_kernel,62.18727898597717,0.004918813705444336,1235,128,2
compas,4,cte_sage_permutation,111.90659618377686,0.004918813705444336,1235,128,2
compas,4,cte_with_predictions_shap_kernel,50.58494997024536,0.005054950714111328,1235,128,2
compas,4,cte_with_predictions_shap_permutation,26.209205865859985,0.005054950714111328,1235,128,2
compas,4,cte_with_predictions_sage_kernel,36.70314002037048,0.005054950714111328,1235,128,2
compas,4,cte_with_predictions_sage_permutation,76.00908279418945,0.005054950714111328,1235,128,2
compas,4,cte_stratified_shap_kernel,38.52607703208923,0.0012068748474121094,1235,96,2
compas,4,cte_stratified_shap_permutation,21.385392904281616,0.0012068748474121094,1235,96,2
compas,4,cte_stratified_sage_kernel,32.501205921173096,0.0012068748474121094,1235,96,2
compas,4,cte_stratified_sage_permutation,66.55808305740356,0.0012068748474121094,1235,96,2
compas,4,iid_shap_kernel,50.353676080703735,5.2928924560546875e-05,1235,128,2
compas,4,iid_shap_permutation,26.113906860351562,5.2928924560546875e-05,1235,128,2
compas,4,iid_sage_kernel,32.138242959976196,5.2928924560546875e-05,1235,128,2
compas,4,iid_sage_permutation,63.9612033367157,5.2928924560546875e-05,1235,128,2
compas,0,cte_shap_kernel,96.1185851097107,0.012380838394165039,1235,256,3
compas,0,cte_shap_permutation,44.63001608848572,0.012380838394165039,1235,256,3
compas,0,cte_sage_kernel,106.75828623771667,0.012380838394165039,1235,256,3
compas,0,cte_sage_permutation,195.9982409477234,0.012380838394165039,1235,256,3
compas,0,cte_with_predictions_shap_kernel,96.67095971107483,0.01305699348449707,1235,256,3
compas,0,cte_with_predictions_shap_permutation,45.035234212875366,0.01305699348449707,1235,256,3
compas,0,cte_with_predictions_sage_kernel,138.75320887565613,0.01305699348449707,1235,256,3
compas,0,cte_with_predictions_sage_permutation,255.6726701259613,0.01305699348449707,1235,256,3
compas,0,cte_stratified_shap_kernel,73.72620987892151,0.0017559528350830078,1235,192,3
compas,0,cte_stratified_shap_permutation,36.67632699012756,0.0017559528350830078,1235,192,3
compas,0,cte_stratified_sage_kernel,63.63271117210388,0.0017559528350830078,1235,192,3
compas,0,cte_stratified_sage_permutation,137.651141166687,0.0017559528350830078,1235,192,3
compas,0,iid_shap_kernel,97.28787517547607,5.1975250244140625e-05,1235,256,3
compas,0,iid_shap_permutation,45.36341404914856,5.1975250244140625e-05,1235,256,3
compas,0,iid_sage_kernel,115.9228241443634,5.1975250244140625e-05,1235,256,3
compas,0,iid_sage_permutation,237.87121105194092,5.1975250244140625e-05,1235,256,3
compas,1,cte_shap_kernel,96.97749996185303,0.013133049011230469,1235,256,3
compas,1,cte_shap_permutation,44.269498109817505,0.013133049011230469,1235,256,3
compas,1,cte_sage_kernel,106.24248337745667,0.013133049011230469,1235,256,3
compas,1,cte_sage_permutation,184.0346131324768,0.013133049011230469,1235,256,3
compas,1,cte_with_predictions_shap_kernel,96.9209852218628,0.013234853744506836,1235,256,3
compas,1,cte_with_predictions_shap_permutation,44.46540188789368,0.013234853744506836,1235,256,3
compas,1,cte_with_predictions_sage_kernel,91.33687973022461,0.013234853744506836,1235,256,3
compas,1,cte_with_predictions_sage_permutation,167.06707882881165,0.013234853744506836,1235,256,3
compas,1,cte_stratified_shap_kernel,73.47184014320374,0.001886129379272461,1235,192,3
compas,1,cte_stratified_shap_permutation,35.65628695487976,0.001886129379272461,1235,192,3
compas,1,cte_stratified_sage_kernel,65.58674216270447,0.001886129379272461,1235,192,3
