mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.020206130877579935,0.6,2.400794506072998,8,0.09338636601512507,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,32.70006084442139,1
0.008760859978512918,0.8,1.6770226955413818,16,0.04554537687380572,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,32.90512824058533,1
0.0057876192467164024,0.8,2.127639055252075,32,0.027125443612020628,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,79.92895364761353,1
0.0045702625561612415,0.8,4.146959543228149,64,0.010578252840129199,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,33.132490396499634,1
0.009026366642510787,0.6,7.718255043029785,128,0.009850096470371328,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.57542586326599,1
0.00401498200312208,0.8,0.7621254920959473,8,0.09745673893080459,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,32.56941056251526,1
0.0031422876133403656,1.0,1.0726797580718994,16,0.04279959107593495,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,33.10532736778259,1
0.0072520822258147905,0.6,1.9762303829193115,32,0.03197819130574492,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,48.82970356941223,1
0.00896529789477673,0.8,3.944359302520752,64,0.010191619413644715,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,33.51151490211487,1
0.005779522223102154,0.8,8.652924537658691,128,0.008492973710166551,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,63.73957872390747,1
0.057346585812769746,0.6,0.6473877429962158,8,0.09354947733665803,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,33.93224096298218,1
0.012090453443938031,0.6,1.2368793487548828,16,0.05208127431698617,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,49.478230237960815,1
0.006290459671357817,0.6,2.0581846237182617,32,0.02153432689825957,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,48.70421743392944,1
0.007673660456602781,0.8,3.8417978286743164,64,0.01077808042556927,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,32.92866230010986,1
0.005637524694787478,0.8,7.721710920333862,128,0.00850450704350314,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,33.21770167350769,1
0.002132275956757074,0.8,0.6095964908599854,8,0.10775039348918675,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.70489716529846,1
0.014719544700398353,0.8,1.0300004482269287,16,0.054294688395856106,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,64.5619785785675,1
0.00950411136880412,0.8,1.9705588817596436,32,0.024302727060782847,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,32.903475284576416,1
0.008086464470537498,0.8,3.886474847793579,64,0.011439780490538898,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.53895163536072,1
0.006804873478369838,0.8,7.988119602203369,128,0.005457937131297497,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.42301154136658,1
0.15991356166052734,0.6,0.6909399032592773,8,0.11248964389818339,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.40205645561218,1
0.0037917190916474516,1.0,1.2755780220031738,16,0.0494315318280778,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,81.52015852928162,1
0.006698986751880318,0.8,2.1637234687805176,32,0.02282355952985332,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,49.457874059677124,1
0.012334640892884897,0.8,4.313586950302124,64,0.014551484543749826,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,49.140610218048096,1
0.006948145733020455,0.8,7.872507810592651,128,0.006492480276606927,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,49.09670948982239,1
0.010379504515093991,0.6,0.624100923538208,8,0.12118810850380857,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.51752686500549,1
0.0065267027593017835,1.0,1.147249460220337,16,0.057686048753796126,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,79.96167373657227,1
0.010589100750024555,0.6,2.0752596855163574,32,0.023963800206275976,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,48.49108004570007,1
0.0066051530558014675,0.8,3.839376926422119,64,0.014366592136334677,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,64.63017582893372,1
0.006158662776706635,0.6,7.968233346939087,128,0.00682349583979136,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,33.20833444595337,1
0.010301143652158824,0.8,0.6495072841644287,8,0.10332549676594371,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.62638521194458,1
0.019824746914399304,0.8,1.5291423797607422,16,0.09644978741242716,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,64.72493004798889,1
0.006140699875686401,1.0,2.383683204650879,32,0.02625841037755583,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,33.50170660018921,1
0.008638041035063805,0.6,4.270684719085693,64,0.013048467113337237,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,64.68230485916138,1
0.004860730677088264,0.8,8.506985187530518,128,0.008265837385194097,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.651817083358765,1
0.03441619576230224,0.6,0.6409580707550049,8,0.10816267045697064,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,49.300060510635376,1
0.010000338304531417,0.6,1.2887952327728271,16,0.046398861805518055,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,33.102826833724976,1
0.008078898963476997,0.8,2.2525415420532227,32,0.02884340064521501,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,64.79999732971191,1
0.006484320303174371,0.8,3.949972629547119,64,0.012029885745188595,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,64.54743647575378,1
0.007919227990372408,0.8,7.806668519973755,128,0.007303981513955171,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.72280216217041,1
0.01611931199259301,0.8,0.5982332229614258,8,0.09812683239500075,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.564759969711304,1
0.01147277671284176,0.6,1.1536078453063965,16,0.044928966135270365,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,48.8916871547699,1
0.007963994553322303,0.8,2.0670344829559326,32,0.03597197665174273,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,49.336859703063965,1
0.007750243084150195,0.8,3.94912052154541,64,0.012936822890163568,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.78117537498474,1
0.007573106840886261,0.8,7.8451080322265625,128,0.007253929767392198,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.53176736831665,1
0.003582406776984895,1.0,0.8214054107666016,8,0.11175935459493225,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,64.97155833244324,1
0.010220993810570239,0.8,1.2646913528442383,16,0.045017096995494055,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,49.52288746833801,1
0.005430265676277074,0.8,2.010664939880371,32,0.029697727344990488,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,49.0433783531189,1
0.007668755855496064,0.6,4.079099655151367,64,0.013885437245316046,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,32.75027823448181,1
0.0083397459828099,0.8,8.386208295822144,128,0.007063557438883095,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,49.24234485626221,1
