mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01749562683489875,0.7637907912382655,235.79959082603455,8,0.09338636601512507,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,33.545182943344116,1
0.01223553927540861,0.7244523915958873,367.60870933532715,16,0.04554537687380572,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,33.697590589523315,1
0.008825264255585337,0.7503799731783638,627.6771295070648,32,0.027125443612020628,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,82.27492165565491,1
0.008566528314768474,0.8004470272686633,1166.399962425232,64,0.010578252840129199,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,33.98988604545593,1
0.011730752105365092,0.7919535091640589,2245.814791917801,128,0.009850096470371328,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,49.69961762428284,1
0.009972535240956239,0.7426016987036208,235.2224578857422,8,0.09745673893080459,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,33.4419322013855,1
0.006733750279311435,0.8006258381761288,375.3034567832947,16,0.04279959107593495,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,34.057149171829224,1
0.011450950295880223,0.72954850245865,645.1539714336395,32,0.03197819130574492,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,50.28754425048828,1
0.011644602579082269,0.7684398748323648,1214.1832513809204,64,0.010191619413644715,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,34.44074869155884,1
0.01006116370777918,0.8011622708985248,2363.5275819301605,128,0.008492973710166551,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,65.81036067008972,1
0.017652621097267267,0.6680375502905678,245.3148069381714,8,0.09354947733665803,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,33.81693363189697,1
0.013769540825573568,0.6801966919982119,388.0474510192871,16,0.05208127431698617,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,50.09688091278076,1
0.010173918809194259,0.7840858292355832,657.5892536640167,32,0.02153432689825957,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,50.01171636581421,1
