mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0030982521694389,0.746982565936522,1617.9942154884338,8,0.09849652381203755,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.021379947662353516,8
0.002839157395073182,0.7856057219490388,2297.197936296463,16,0.040322049864643494,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03331875801086426,16
0.002546220381337269,0.7976754582029503,3652.168970823288,32,0.02483503840113721,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0593111515045166,32
0.0023680765124597563,0.8177022798390701,6371.669604063034,64,0.011214660741592886,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.12834858894348145,64
0.002245876652254308,0.8326329906124273,11812.005333900452,128,0.004743092956405792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2476344108581543,128
0.003099944077647494,0.7508270004470272,1617.4247868061066,8,0.09849652381203755,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.021687984466552734,8
0.0028412597616440612,0.7890925346446133,2291.308096885681,16,0.040322049864643494,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03027939796447754,16
0.0025455163896639867,0.8001788109074652,3640.222268342972,32,0.02483503840113721,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.06533026695251465,32
0.0023681958228607912,0.8162717925793473,6359.94448018074,64,0.011214660741592886,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1257929801940918,64
0.0022473544340928624,0.8326329906124273,11781.722602367401,128,0.004743092956405792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.27132153511047363,128
0.003095750144074283,0.7493965131873044,1613.4601204395294,8,0.09849652381203755,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.018783092498779297,8
0.0028389058256044044,0.7816718819848011,2291.728908061981,16,0.040322049864643494,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.03341174125671387,16
0.0025415198817900575,0.7961555654894947,3643.2049272060394,32,0.02483503840113721,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11878228187561035,32
0.002366609474565461,0.819132767098793,6356.892391204834,64,0.011214660741592886,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.19995498657226562,64
0.002241994519983889,0.8362092087617344,11757.009825468063,128,0.004743092956405792,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.24786686897277832,128
