mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0023260716876698268,0.80244140625,2649.2392194271088,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.05894207954406738,16
0.0018791229095594386,0.81904296875,4340.789249897003,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11282849311828613,32
0.001575747118408865,0.8232910156250002,7755.170616149902,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2213296890258789,64
0.001515652122664523,0.8186035156250002,14418.434375047684,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.43448734283447266,128
0.001412790867176723,0.8253417968750001,28030.8583881855,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8703415393829346,256
0.0023266670804753076,0.8022949218750001,2591.9333171844482,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06274557113647461,16
0.0018782164161365096,0.8188964843750001,4290.641663789749,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11342024803161621,32
0.0015754064401235245,0.8238769531250001,7706.0110375881195,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.22222661972045898,64
0.001517961899537375,0.8178710937500001,14465.36542892456,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4429771900177002,128
0.0014115475304704247,0.8258300781250001,28089.317536592484,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9106683731079102,256
0.0023269154011588858,0.802197265625,2593.2871799468994,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06301474571228027,16
0.001880043089918945,0.8201171875000002,4296.752395629883,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11157441139221191,32
0.001576137683343279,0.8233886718750001,7723.7897028923035,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.22245311737060547,64
0.0015164899483881742,0.8178710937500002,14473.93780040741,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4403696060180664,128
0.001413292940191334,0.8265625000000001,27979.242087841034,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8954362869262695,256
0.0023267759495359686,0.8045410156250001,2584.8097381591797,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.05996870994567871,16
0.0018798704041290755,0.8200683593750001,4274.063757658005,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.10849881172180176,32
0.0015746046081097742,0.824658203125,7694.574815034866,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.22080039978027344,64
0.0015164875030876676,0.81708984375,14519.160279512405,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4422147274017334,128
0.0014118929969028195,0.8262207031250002,28145.683389425278,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8907051086425781,256
0.002325418644930966,0.8031250000000001,2590.7556006908417,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06040382385253906,16
0.001882259635319049,0.8188476562500001,4289.400976896286,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11461544036865234,32
0.0015747790338348083,0.8240234375000002,7707.785069227219,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2165367603302002,64
0.0015172666776404246,0.8189453125000001,14461.335129976273,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.44768285751342773,128
0.001410608030637693,0.8257324218750002,28050.385187625885,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9108452796936035,256
0.002323392241417136,0.8020019531250001,2589.2216472625732,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.060068368911743164,16
0.001878840383252215,0.81904296875,4274.187762498856,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11306476593017578,32
0.0015739858681151522,0.8244140625,7670.594576835632,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.23268628120422363,64
0.0015151822799113694,0.8185058593750001,14403.987624406815,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.43792247772216797,128
0.0014109795567443138,0.8268066406250001,28008.52178812027,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9085626602172852,256
0.0023264373067908377,0.8030273437500002,2590.500198364258,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.062191009521484375,16
0.001879952014347794,0.8192382812500001,4295.509077072144,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11364459991455078,32
0.0015740050471474366,0.8235351562500002,7714.41693520546,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2236473560333252,64
0.0015161407244187036,0.8178710937500002,14469.95585680008,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.42851877212524414,128
0.0014114445104158639,0.8267089843750002,28019.372836112976,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.8769655227661133,256
0.0023267065767625834,0.8026367187500001,2600.5014419555664,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.061318397521972656,16
0.0018801154361694386,0.8185546875000002,4303.879161596298,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11060571670532227,32
0.0015745931952290178,0.8241210937500001,7736.354640960693,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2235400676727295,64
0.0015160593412483934,0.8185546875,14579.661007165909,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.45389819145202637,128
0.001411066044757343,0.8262207031250002,28295.04160809517,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9008147716522217,256
0.0023266093891596393,0.8032714843750001,2656.8036592006683,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.057000160217285156,16
0.0018827198815243647,0.8190917968750002,4381.941823005676,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11216497421264648,32
0.0015748763364199657,0.8240722656250001,7837.743040561676,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.2172098159790039,64
0.0015159272590125688,0.8166015625000002,14779.179939508438,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4565298557281494,128
0.001411309453142631,0.8262207031250001,28610.060014486313,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9257106781005859,256
0.002325361506531169,0.803466796875,2647.589880466461,16,0.0363395179748105,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.06110191345214844,16
0.001879787875598028,0.8199218750000001,4378.961569309235,32,0.02128630074815263,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.11483287811279297,32
0.0015749090208673328,0.8252929687500001,7868.120424032211,64,0.010304143256358589,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.22049689292907715,64
0.00151515090572826,0.8176757812500002,15011.260921239853,128,0.010080197463163076,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.4431180953979492,128
0.0014109686734341401,0.8272460937500001,29245.031752824783,256,0.01107404147338581,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.9365575313568115,256
