mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0042708334767288195,0.753564453125,363.80062460899353,16,0.05261727694046686,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,52.95852446556091,1
0.004097507319756547,0.7698242187500001,605.7365748882294,32,0.035689072830237145,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,53.18146777153015,1
0.0046456061966600425,0.870458984375,1244.8190877437592,64,0.020846531047546468,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,52.33975172042847,1
0.0032209776139621926,0.8310546875000001,2367.0475158691406,128,0.008997958108669268,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,51.751158237457275,1
0.0025186016294263566,0.9227050781250001,4627.001296758652,256,0.006064813369143884,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,51.38873219490051,1
0.00653382692644464,0.685791015625,355.7159080505371,16,0.047921979099306844,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,52.228373765945435,1
0.0056591536655536505,0.86201171875,613.5641322135925,32,0.022982324914634034,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,52.97665047645569,1
0.005294937073172651,0.8652343750000001,1253.8040888309479,64,0.02177653387203282,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,52.75695061683655,1
0.0036934779950342383,0.8514160156250001,2399.058235168457,128,0.012041043248925742,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,52.340492248535156,1
0.0025681684659755208,0.8780273437500001,4696.8392770290375,256,0.007029914975891283,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,51.86956167221069,1
0.005862565815004536,0.7384765625,351.69322419166565,16,0.037920703303151115,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,54.14041709899902,1
0.0037266625843303475,0.8253417968750001,629.4653453826904,32,0.026929045323480727,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,52.0721652507782,1
0.003936803791193205,0.8692871093750001,1248.4669377803802,64,0.013493705659347821,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,51.44320011138916,1
0.002276844256833249,0.9112792968750001,2383.498763561249,128,0.007704388066460788,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,52.40123677253723,1
0.0025743604009592393,0.9319824218750001,4635.300001382828,256,0.0046240719751818316,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,51.304681062698364,1
0.004870072170273482,0.7693847656250001,355.7340683937073,16,0.04909373762433239,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,51.177839279174805,1
0.005695347202496939,0.8268554687500002,643.2447409629822,32,0.033599727101547905,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,50.946664333343506,1
0.0033460022847911167,0.8919433593750001,1268.1469330787659,64,0.022310476393254564,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,51.58799362182617,1
0.004334934530741521,0.813232421875,2407.8898882865906,128,0.013719098420192644,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,52.34848594665527,1
0.003416710626718568,0.8575683593750001,4691.9357442855835,256,0.0053548627262330895,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,52.25131630897522,1
0.007735323332022361,0.8135742187500001,365.2973849773407,16,0.05720364910651238,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,52.24213218688965,1
0.0038171725129574714,0.8646484375000001,635.7728867530823,32,0.026853290952275344,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,51.38013672828674,1
0.004448457116705017,0.8669921875000001,1281.307822227478,64,0.012130776425960388,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,51.818214893341064,1
0.0026049906495832836,0.9019042968750002,2409.3918900489807,128,0.010027958122760083,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,52.258126974105835,1
0.0023918531088636514,0.9153808593750001,4669.72457575798,256,0.007748301197405383,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,52.2597279548645,1
0.008915143993675895,0.769775390625,354.3481020927429,16,0.04131623444610222,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,52.116095542907715,1
0.005432204771228317,0.7829101562500002,645.5813226699829,32,0.03812486628816686,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,52.94520878791809,1
0.0029107272549711823,0.8631835937500001,1252.0123851299286,64,0.015624125578199644,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,52.09527254104614,1
0.0030235139719981354,0.8214355468750001,2397.981814622879,128,0.006741274374608197,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,52.54656982421875,1
0.0023253809840788893,0.9102050781250001,4672.156458377838,256,0.007751901182488141,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,52.44429636001587,1
0.004708989162957304,0.7939453125,350.5070130825043,16,0.03943230355194488,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,52.53602933883667,1
0.0033073580022535934,0.8436035156250001,626.4943215847015,32,0.021937981648844418,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,51.78589701652527,1
