mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.002103165839818165,0.8677039848197342,82.55285406112671,8,0.012939788502759453,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.01078486442565918,8
0.0015309398992062173,0.9077039848197345,155.6222903728485,16,0.006044233269741683,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010065078735351562,16
0.001023676916736778,0.9378368121442124,300.6975829601288,32,0.002030012279014004,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.010252714157104492,31
0.0007417145733810885,0.9496015180265654,588.8867440223694,64,0.0012691494163955541,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010350704193115234,62
0.00047933216138304463,0.9707779886148008,1150.3899102210999,128,0.0008703420416974472,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.010634660720825195,125
0.0165669898689932,0.7475521821631878,85.82800436019897,8,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.022650718688964844,2
0.0165669898689932,0.7475521821631878,157.704336643219,16,0.9723747612771613,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.02242422103881836,2
0.01597130695029159,0.74853889943074,302.41896414756775,32,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.022716045379638672,2
0.01597130740479622,0.74853889943074,595.7500169277191,64,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.021081924438476562,2
0.01597130740479622,0.74853889943074,1167.0650758743286,128,0.9089432725668722,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.022845745086669922,2
0.0022216755226248507,0.8806072106261859,86.9716260433197,8,0.0149821767932391,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.009593009948730469,8
0.001361543636377928,0.9237950664136622,157.8151581287384,16,0.004205268711188759,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.009548664093017578,16
0.00107199112147739,0.937988614800759,301.51464772224426,32,0.0021797100338328823,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009342193603515625,31
0.0006798271963089209,0.9540037950664138,593.4258646965027,64,0.001185376743126132,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009441137313842773,64
0.00045992317505192277,0.9713092979127135,1165.7870123386383,128,0.0007699509981177188,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.009155750274658203,124
0.0023304126710122822,0.8771157495256167,86.45774555206299,8,0.015062052083625876,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.013538122177124023,8
0.0014105210693805437,0.9287286527514231,158.33434176445007,16,0.005433885222006829,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.013729333877563477,16
0.0010651504890933224,0.9402656546489565,306.06884765625,32,0.002991823888023215,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.013608932495117188,32
0.0007345457890916312,0.956280834914611,594.6094851493835,64,0.0014556259009499417,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.012764453887939453,64
0.00048521890861454953,0.9681973434535105,1170.0442907810211,128,0.0008174039992487891,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.02199697494506836,128
0.002103165839818165,0.8677039848197342,86.58328223228455,8,0.012939788502759453,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.010480165481567383,8
