mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0005330932772520024,1.0,27.89724087715149,8,0.1414958664083823,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,8.209360361099243,1
0.0016059746140313377,1.0,51.79049468040466,16,0.0739034262177789,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,7.883823394775391,1
0.004940054878803335,1.0,78.50625514984131,32,0.030663317508888732,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,7.891448259353638,1
0.0009438678650467032,1.0,218.53416800498962,64,0.009680724857197398,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,8.292957782745361,1
0.0005069820742744813,1.0,447.5117003917694,128,0.0036554214973190113,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,7.882385969161987,1
0.000870744291208924,0.8,24.42897343635559,8,0.08278069538743726,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,8.294122695922852,1
0.0022005924103582764,1.0,44.4730179309845,16,0.033214591585925435,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,8.25061583518982,1
0.006805765347755978,0.8,65.28350257873535,32,0.025735656480415425,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,8.306344032287598,1
0.0010235940541463496,1.0,212.5351164340973,64,0.013783319042012687,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,8.254822492599487,1
0.0007102604303421408,1.0,459.56973338127136,128,0.003708646331401111,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,7.88435435295105,1
0.002980788835393074,0.8,22.485823154449463,8,0.05655795917938722,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,8.289729595184326,1
0.00536794364880189,1.0,26.397406339645386,16,0.03315078711908159,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,8.467713832855225,1
0.003229131055429979,0.8,84.10636353492737,32,0.01887879852661911,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,7.944530963897705,1
0.0005486093587338705,1.0,208.41830348968506,64,0.008317813196317747,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,8.218820095062256,1
0.0005862568156177842,1.0,449.87005138397217,128,0.004391780692348579,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,8.151207208633423,1
0.001961437800544143,0.8,21.836260318756104,8,0.08308701288375164,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,7.989281892776489,1
0.0021688562575537026,1.0,41.296109199523926,16,0.0376025141672538,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,8.263046503067017,1
0.00043431750053929863,1.0,104.62652969360352,32,0.01535640068936861,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,8.538899183273315,1
0.0004898079905972685,1.0,215.29024863243103,64,0.011501710711265822,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,7.812756776809692,1
0.000568396069968421,1.0,456.46223068237305,128,0.004279889701229167,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,8.615779876708984,1
0.0027036935928421543,1.0,21.35572576522827,8,0.11397767064209385,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,7.803273439407349,1
0.001908982523994183,1.0,43.65349316596985,16,0.029230140103835622,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,7.919717073440552,1
