mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.012111309184537946,0.8330929791271346,32.077810287475586,8,0.1414958664083823,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.365927934646606,1
0.01920113810089344,0.8667931688804554,44.20500445365906,16,0.0739034262177789,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.078468561172485,1
0.024143689652717387,0.8180645161290321,83.16429686546326,32,0.030663317508888732,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.516000509262085,1
0.004386599940682279,0.9396584440227704,152.36111903190613,64,0.009680724857197398,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.200554847717285,1
0.0086424882303132,0.9267552182163188,287.4495141506195,128,0.0036554214973190113,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,8.307233095169067,1
0.011015116995569518,0.8255787476280834,31.321406364440918,8,0.08278069538743726,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,7.988004922866821,1
0.010689060302762177,0.8836432637571157,41.831833839416504,16,0.033214591585925435,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,7.987023830413818,1
0.02575679715202566,0.8900189753320682,69.88311576843262,32,0.025735656480415425,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.130324840545654,1
0.0075010762248385685,0.9076280834914613,136.18203806877136,64,0.013783319042012687,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.153868198394775,1
0.006955088726342979,0.9338899430740039,285.0771691799164,128,0.003708646331401111,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,7.908259868621826,1
0.02054713786941415,0.7922580645161288,32.68988347053528,8,0.05655795917938722,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.536738395690918,1
0.024648028118027167,0.9101328273244781,42.912877321243286,16,0.03315078711908159,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.63625192642212,1
0.01760819638319469,0.8625426944971538,73.57202434539795,32,0.01887879852661911,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.19394826889038,1
0.007106395260552723,0.9025426944971536,142.7666642665863,64,0.008317813196317747,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.376457452774048,1
0.006423746204393645,0.9501328273244781,283.7646028995514,128,0.004391780692348579,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,8.15560269355774,1
0.01460001628293605,0.7996204933586337,32.318248987197876,8,0.08308701288375164,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.15899920463562,1
0.015249865904478976,0.8594307400379505,43.176355838775635,16,0.0376025141672538,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.299476623535156,1
0.007139112318727267,0.909829222011385,72.54753494262695,32,0.01535640068936861,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.38947582244873,1
0.004314900245228265,0.9270588235294118,142.71001958847046,64,0.011501710711265822,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.376652717590332,1
0.005536363873996867,0.936774193548387,282.91154527664185,128,0.004279889701229167,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,8.484654188156128,1
0.01570414650275787,0.8274003795066412,31.55351972579956,8,0.11397767064209385,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,7.960352182388306,1
0.013927046501869194,0.8286148007590133,41.915496826171875,16,0.029230140103835622,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.328243732452393,1
0.008753207260133365,0.8898671726755218,71.18312239646912,32,0.01821036014563837,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,7.9586639404296875,1
0.009508957842182504,0.9171157495256167,138.45929956436157,64,0.006984396567641715,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.303109169006348,1
0.012551187162601517,0.9029981024667932,274.44697642326355,128,0.006975121886088065,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,7.992781162261963,1
0.016918122636237713,0.8252751423149904,30.332818508148193,8,0.04865734504477959,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.308036088943481,1
0.009226068449860672,0.8686148007590133,40.835609674453735,16,0.04043054908542143,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,7.792385816574097,1
0.004926600477924445,0.8993548387096775,69.16391515731812,32,0.021626527872530943,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.025638818740845,1
0.014523135639823834,0.9098292220113853,140.03329610824585,64,0.007315425950506271,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,7.818323373794556,1
0.010193646924007833,0.935787476280835,289.41261291503906,128,0.005678290599786084,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,8.21232795715332,1
0.009420054954630181,0.8835673624288425,32.03746318817139,8,0.08036694052790949,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.022331953048706,1
0.006658006173259918,0.9074762808349145,42.56485342979431,16,0.024703712332354022,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.425036668777466,1
0.007926945535874181,0.8325616698292221,72.99381613731384,32,0.022949222500437294,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,8.173285961151123,1
0.006515019562971895,0.9102846299810248,141.1479196548462,64,0.016739645432323758,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.568309307098389,1
0.0068612961919218346,0.9440607210626185,288.51133728027344,128,0.0038676451764266817,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,7.941483974456787,1
0.014143818405645301,0.8509297912713472,31.04804229736328,8,0.045924656473332104,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,8.251950740814209,1
0.0126184730866022,0.8501707779886147,42.19185543060303,16,0.06079190919266775,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,8.119884014129639,1
0.015883250065168254,0.8811385199240988,71.34077382087708,32,0.00871638637715999,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,7.852123260498047,1
0.01141091485224384,0.8689943074003795,145.4342668056488,64,0.01315360076711447,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,8.202906608581543,1
