mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.02624710845611932,0.8,6.33347749710083,16,0.04368930715238606,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,62.179832458496094,1
0.05056231968466954,1.0,1.5015442371368408,32,0.02117739777563432,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,62.07750082015991,1
0.07849974506949592,0.8,3.3747243881225586,64,0.012736452184830105,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,61.93831706047058,1
0.019226329021908673,1.0,6.684889316558838,128,0.013304146157814278,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,62.151734828948975,1
0.020392350182821442,0.8,15.040453910827637,256,0.004540102254967038,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,62.944453716278076,1
0.0561000710552242,0.8,0.641082763671875,16,0.05694242518085213,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,79.05648279190063,1
0.029070592964903753,1.0,1.9340424537658691,32,0.01740237528823929,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,78.19583678245544,1
0.04028996538845238,1.0,2.9515011310577393,64,0.0141149389564037,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,79.17298293113708,1
0.027868909071884336,1.0,7.998725652694702,128,0.006364612562946181,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,78.24903559684753,1
0.011429790012772986,0.8,15.404853105545044,256,0.005612211741456763,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,79.4255702495575,1
0.09015516898413346,0.8,1.3392469882965088,16,0.05639056104266105,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,78.88116502761841,1
0.04127858493854096,0.8,1.4348268508911133,32,0.028612429688031793,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,62.7234947681427,1
0.027455038896008796,1.0,3.3894546031951904,64,0.012384132900926548,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,63.204047441482544,1
0.011707683492479873,0.8,7.993948459625244,128,0.006356784893170153,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,95.33004426956177,1
0.019726057696550878,1.0,12.767426252365112,256,0.004454894900858708,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,79.14555072784424,1
0.07195335021719677,0.8,1.166038990020752,16,0.064922171708929,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,62.048805475234985,1
0.04256252803516235,0.6,1.9160468578338623,32,0.02064453661357979,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,80.03081822395325,1
0.037053848340811574,1.0,2.797624349594116,64,0.021377885267870766,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,78.33387327194214,1
0.03164188413747375,1.0,7.258235692977905,128,0.016015463285743214,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,62.35446643829346,1
0.011320397148830007,1.0,16.439453840255737,256,0.003386708844036579,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,78.36296677589417,1
0.024843421493842548,0.8,0.7095365524291992,16,0.04031589340331576,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,62.01192259788513,1
0.021866021068499105,1.0,1.1947643756866455,32,0.015502380017682116,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.832502126693726,1
0.028454145288342267,0.8,2.5998752117156982,64,0.011730638500687673,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,78.17263865470886,1
0.04212450049175463,1.0,5.072544574737549,128,0.008676685354360503,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,78.30618524551392,1
0.011937461103388091,0.8,14.93279504776001,256,0.0037442232067790293,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,63.00968861579895,1
0.14239759777206712,0.6,0.26839327812194824,16,0.04998605464521655,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,62.43280506134033,1
0.029634100178350845,1.0,1.5265662670135498,32,0.02329884335371646,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,78.3266613483429,1
0.030234810024842476,1.0,2.791705369949341,64,0.007517607760127332,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,62.099730253219604,1
0.027897532475907254,1.0,7.550719261169434,128,0.00549116045792164,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,45.509690284729004,1
0.03462958084941933,1.0,12.549346923828125,256,0.0044877808421445176,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,95.99810886383057,1
0.08931613245578625,1.0,0.5968356132507324,16,0.07391597495155855,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,63.02129650115967,1
0.02979011798019815,1.0,1.5599734783172607,32,0.01799818145962906,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.86615586280823,1
0.01601686859706382,0.8,4.182993412017822,64,0.008689601960870097,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,63.044474363327026,1
0.046104070599861796,1.0,5.37052583694458,128,0.007921705749973973,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,63.6425940990448,1
0.0177847005153408,1.0,15.755573272705078,256,0.0023774559936426964,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,95.36539387702942,1
0.034496348518055345,1.0,0.6939001083374023,16,0.03211213642017452,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,62.21456742286682,1
0.10770619342642604,1.0,1.0379834175109863,32,0.04400342715259886,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,62.02723407745361,1
0.04357887732794051,1.0,3.0735623836517334,64,0.014330853641785546,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,77.90241694450378,1
0.015030970055173523,0.8,6.990417718887329,128,0.006444928301743147,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,112.50810933113098,1
0.032333460796179284,0.8,15.380558490753174,256,0.005851949964183589,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,62.37686729431152,1
0.057269124136201596,1.0,0.9901041984558105,16,0.04176250835841644,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,46.73642826080322,1
0.07358339737305238,0.8,1.6955502033233643,32,0.028776521034127867,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,78.7033417224884,1
0.026695043871556308,0.8,3.7019715309143066,64,0.008170085672699945,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,95.02755904197693,1
0.028432389988792432,1.0,6.730522632598877,128,0.005719072558220684,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,94.70144963264465,1
0.017064487919859015,1.0,15.178116083145142,256,0.002723461180176745,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,78.31531381607056,1
0.040967513898682195,1.0,0.6266348361968994,16,0.04470052348019693,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,63.12622404098511,1
0.031203908134533675,1.0,1.8461034297943115,32,0.02376724792177276,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,62.10388660430908,1
0.02165682390556401,0.8,3.3988711833953857,64,0.00984271088369637,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,63.541056871414185,1
0.02774065323061827,1.0,8.854273557662964,128,0.006720961801133685,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,62.920252084732056,1
0.016205883726617736,1.0,14.210161685943604,256,0.002552500136340008,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,94.78821229934692,1
