mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.03150376430361544,0.81748046875,120.40343952178955,16,0.04368930715238606,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,62.33312129974365,1
0.03129853984219132,0.8115234375,234.3151512145996,32,0.02117739777563432,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,62.587920904159546,1
0.027290130313762314,0.8280273437500001,432.3151288032532,64,0.012736452184830105,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,62.690436363220215,1
0.02421126298841836,0.8507324218750001,858.7538325786591,128,0.013304146157814278,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,63.41854214668274,1
0.01420157104981442,0.9016113281250001,1675.7068030834198,256,0.004540102254967038,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,62.66355061531067,1
0.050371892737132856,0.755615234375,115.89113545417786,16,0.05694242518085213,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,79.60562229156494,1
0.025078748689453433,0.8528808593750001,221.0847203731537,32,0.01740237528823929,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,79.0143837928772,1
0.022172287527579423,0.8799316406250002,423.3890891075134,64,0.0141149389564037,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,80.34852981567383,1
0.019427200641821074,0.8724609375000001,838.8664529323578,128,0.006364612562946181,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,78.42202568054199,1
0.015301063382857381,0.9054199218750001,1687.4528143405914,256,0.005612211741456763,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,79.58448004722595,1
0.047651889503833256,0.6537109374999999,121.6670491695404,16,0.05639056104266105,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,79.51811003684998,1
0.03013589333667562,0.8488769531250001,227.83082842826843,32,0.028612429688031793,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,62.75058913230896,1
0.02002045194642829,0.8707031250000001,441.27825236320496,64,0.012384132900926548,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,62.62191963195801,1
0.016553623186469107,0.8904296875000001,869.7121059894562,128,0.006356784893170153,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,95.64990186691284,1
0.016243571013705348,0.8937011718750001,1676.0977792739868,256,0.004454894900858708,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,78.7672004699707,1
0.0422235037433891,0.7638671875,115.79191589355469,16,0.064922171708929,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,62.65499663352966,1
0.032503447638763464,0.778076171875,218.99426817893982,32,0.02064453661357979,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,79.10242819786072,1
