mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.013231486903660094,0.6622399999999999,117.90200853347778,8,0.10903850489585365,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,22.205369472503662,1
0.008931620222305248,0.696,187.12865161895752,16,0.06684725040684159,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,29.263876914978027,1
0.00813046534213369,0.6596799999999999,323.6849331855774,32,0.02476013899735391,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,15.72558307647705,1
0.00744314941394414,0.6153599999999999,586.3636264801025,64,0.015013700989368106,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,15.504507780075073,1
0.005059375942642338,0.80064,1125.9550468921661,128,0.009099145289463928,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,36.531559467315674,1
0.00854324409223767,0.6099199999999999,118.90807867050171,8,0.1254270567587183,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,22.02206039428711,1
0.008552832941655503,0.6552,182.2481565475464,16,0.05541667793804822,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,29.396854400634766,1
0.008681515214701395,0.65872,322.01390957832336,32,0.040428987881726,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,22.67597723007202,1
0.007091228144289561,0.70304,581.5567898750305,64,0.022809036468219412,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,14.887836217880249,1
0.006337964435018937,0.7180799999999999,1124.590401172638,128,0.009985500128734559,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,22.39003562927246,1
0.014338780068981453,0.68336,118.62129950523376,8,0.1104648506179493,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,15.755465030670166,1
0.009241051911367064,0.7292799999999999,184.87437987327576,16,0.05550963307674195,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,22.120492219924927,1
0.006881592761354483,0.6611199999999999,320.01657485961914,32,0.030129524560121412,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,15.233420848846436,1
0.007175031888855836,0.6683199999999999,603.6147289276123,64,0.014223674042872558,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,29.494924306869507,1
0.005668280677370853,0.74176,1177.3974678516388,128,0.010480848650442298,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,15.431230783462524,1
0.010074369062877566,0.4512,123.04257726669312,8,0.0944933632868083,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,22.31433916091919,1
0.008787305782261008,0.58416,193.03597474098206,16,0.05131958511561113,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,22.067676305770874,1
0.00747195555069544,0.64416,331.020494222641,32,0.025049281321857797,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,29.69752836227417,1
0.006335446438891899,0.7441599999999998,597.7167358398438,64,0.013541972470679231,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,29.21714162826538,1
0.006239196575082567,0.7409599999999998,1139.373131275177,128,0.007431741522535451,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,22.366360902786255,1
0.010173890149912901,0.54864,122.82099747657776,8,0.09591559585144938,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,15.366649627685547,1
0.010991703944915034,0.6272,193.73878049850464,16,0.055640102055322715,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,29.690174341201782,1
0.0070151482485078225,0.6244799999999999,337.2292683124542,32,0.03005754805037336,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,22.532356023788452,1
0.007207725540525923,0.7211199999999999,606.0496597290039,64,0.013888187316000833,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,15.520771503448486,1
0.0055631287997082056,0.7209599999999999,1139.919751882553,128,0.01202231858084507,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,37.150922536849976,1
0.009818812856569627,0.4552,123.50459551811218,8,0.08112276094225562,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,30.024229288101196,1
0.00804469011302347,0.7156799999999999,189.0451784133911,16,0.060770784465869254,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,36.977952003479004,1
0.007899712708819718,0.67904,318.2924003601074,32,0.026872746398556135,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,37.67516493797302,1
0.007193045442105713,0.616,595.38987159729,64,0.014810544221105282,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,31.969398736953735,1
0.007544612912924038,0.6456,1118.1078698635101,128,0.01031309895997351,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,29.790462732315063,1
0.009057096893425274,0.46848,117.34976005554199,8,0.1099382247805068,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,36.89943718910217,1
0.011195330236145749,0.6188799999999999,183.89101219177246,16,0.05384444786011988,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,29.71133589744568,1
0.008137645820985168,0.62032,317.7647099494934,32,0.023419790217124314,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,29.313783884048462,1
0.00663351593193795,0.6697599999999998,585.1093635559082,64,0.01556310422548457,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,15.327522277832031,1
0.006706756568556394,0.64176,1120.224740743637,128,0.00849660646927658,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,29.35448932647705,1
0.009676573590563821,0.45936000000000005,117.527268409729,8,0.10879416478910764,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,22.392876625061035,1
0.010136757588174734,0.5779199999999999,185.35610580444336,16,0.067251531101224,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,31.163707733154297,1
0.007884767390938841,0.6267199999999999,326.19541907310486,32,0.038292154570404136,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,37.77146005630493,1
0.0051114566364933774,0.76128,581.5494589805603,64,0.018202704188454488,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,23.9640212059021,1
0.007302054044862922,0.67936,1133.6048474311829,128,0.009918903333106355,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,29.90686297416687,1
0.0099288858195349,0.58992,117.50678253173828,8,0.11509231040534912,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,14.93497896194458,1
0.007990372445346292,0.60752,183.94714164733887,16,0.05005178397561488,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,29.438732147216797,1
0.011134247156510678,0.7582399999999999,324.9726915359497,32,0.03695447004552854,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,21.91114068031311,1
0.005823212820053825,0.8118399999999999,589.3577098846436,64,0.017925978632146622,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,15.350685358047485,1
0.00650893247094951,0.70304,1157.0312538146973,128,0.008603183809788861,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,22.232490062713623,1
0.0104527272634518,0.48832,118.02307605743408,8,0.11727103900413399,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,14.91598391532898,1
0.010586513291274361,0.63296,182.6588933467865,16,0.05347875423032511,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,22.330337524414062,1
0.01119384762733616,0.59872,318.73482966423035,32,0.03127996073937067,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,22.571929931640625,1
0.007164507566540749,0.6399999999999999,587.8767821788788,64,0.017826771640118533,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,15.11601972579956,1
