mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0038789315035542447,0.29072000000000003,639.0687704086304,8,0.10903850489585365,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,21.94655680656433,1
0.003089042228999873,0.39744000000000007,902.9700872898102,16,0.06684725040684159,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,28.932427644729614,1
0.0024852090372496356,0.4724800000000001,1461.890881538391,32,0.02476013899735391,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,15.913922786712646,1
0.0020287380760379363,0.5596800000000001,2637.0684406757355,64,0.015013700989368106,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,15.260499954223633,1
0.0018196425801634882,0.55216,4805.185559511185,128,0.009099145289463928,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,36.58046507835388,1
0.003936495616862141,0.3176,618.2860453128815,8,0.1254270567587183,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,22.118436813354492,1
0.0029956361817827185,0.3984,891.8039543628693,16,0.05541667793804822,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,29.22163486480713,1
0.002592443483783033,0.45936000000000005,1408.9631872177124,32,0.040428987881726,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,22.49720287322998,1
0.0019117623086651542,0.5614399999999999,2523.7131445407867,64,0.022809036468219412,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,15.59770131111145,1
0.0017823303225584098,0.58368,4712.962911128998,128,0.009985500128734559,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,22.378990650177002,1
0.0038106753155607628,0.34768000000000004,625.0047264099121,8,0.1104648506179493,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,15.164275169372559,1
0.003183130025681566,0.39088,908.0134160518646,16,0.05550963307674195,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,22.492996215820312,1
0.002414039041755853,0.43312,1425.5443596839905,32,0.030129524560121412,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,15.141620397567749,1
0.0020812438251829424,0.52512,2574.4448578357697,64,0.014223674042872558,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,28.941129446029663,1
0.0018425789631828417,0.58672,4645.247355461121,128,0.010480848650442298,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,15.141406059265137,1
0.0028625031481265325,0.4201599999999999,607.1931748390198,8,0.0944933632868083,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,22.28344178199768,1
