mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.003506657839128062,0.6,635.7278196811676,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010853290557861328,6
0.0029241177546181106,0.6553599999999999,896.3914132118225,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.014723777770996094,12
0.002021872746963176,0.7411199999999999,1442.7730219364166,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.02714991569519043,25
0.0017588810135582798,0.7611199999999999,2554.9916400909424,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.06388998031616211,50
0.0014155205709129681,0.82768,4745.379173278809,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.16686081886291504,101
0.0035100896687767615,0.60016,627.1709129810333,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.017632246017456055,6
0.0029255750746230613,0.6544,902.7543697357178,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.015156269073486328,12
0.00201779435930023,0.7390399999999999,1454.8087372779846,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03233480453491211,25
0.0017627175962116612,0.75584,2544.8056128025055,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05292630195617676,50
0.0014202168315333706,0.8296,4726.117039203644,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1065666675567627,101
0.003509323303757283,0.60064,635.9668428897858,8,0.22631154511892965,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008841514587402344,6
0.0029202751840672362,0.6580799999999999,895.5510151386261,16,0.10807514888661274,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04611825942993164,12
0.00202399132248621,0.7401599999999999,1454.1810603141785,32,0.045891286363120676,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03047466278076172,25
0.0017602213152517624,0.7603199999999999,2536.6299271583557,64,0.028777307208768865,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.059461355209350586,50
0.0014184332995873063,0.8292799999999999,4745.190006494522,128,0.013192736767479563,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.11821842193603516,101
