mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.0035404637707691054,0.98974609375,16.122430562973022,64,0.0009299560761579784,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,1.4629783630371094
0.002886872590689963,0.9908203125,4.3896191120147705,128,0.0005375802962923615,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-2.0,0.24465322494506836
0.0025349250788215274,0.99462890625,11.136840343475342,256,0.00029316024238434935,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.2901315689086914
0.2229519967431606,0.8240234375000002,2.8671491146087646,64,1.2734877560372115,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,1.5356874465942383
0.14636948789118573,0.8227050781250002,3.6667916774749756,128,0.8769236808085237,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-2.0,0.2510685920715332
0.20103239681268137,0.8429199218750001,10.167193174362183,256,0.804146011805976,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.3012056350708008
0.005004041181858016,0.989501953125,3.141679525375366,64,0.0007644795911939672,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,1.4665796756744385
0.003564623929308241,0.9910156250000001,4.973031044006348,128,0.00038801247286901486,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-2.0,0.2738490104675293
0.0022094041574388964,0.9937011718750001,10.840820789337158,256,0.0002535028928620786,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.27871155738830566
0.004500077417450203,0.984619140625,3.525825262069702,64,0.0010877500274267815,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,1.4676508903503418
0.003443741492897916,0.9904296875,4.779845714569092,128,0.0004829685141236606,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-2.0,0.2960774898529053
0.0028692558791066137,0.9917480468750001,10.77769422531128,256,0.00026637868385026575,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.29825711250305176
0.006484930542609586,0.97783203125,2.9325084686279297,64,0.0012128388685025415,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,1.2430710792541504
0.0034932313008136603,0.994091796875,4.325262069702148,128,0.00042440113906061505,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-2.0,0.25125765800476074
0.0026310914218939606,0.9940429687500001,8.943288326263428,256,0.0002793977590540564,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.258960485458374
0.004802834017321656,0.9788574218749999,2.9927029609680176,64,0.0010229360681673905,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,15.0,1.2294809818267822
0.004326489110898456,0.992822265625,5.008098602294922,128,0.0005273925901995158,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-2.0,0.29474568367004395
0.0023859361344731682,0.99130859375,10.46706247329712,256,0.0002811921764140912,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.2983283996582031
0.0043350258367601735,0.99072265625,3.111767292022705,64,0.0009576383871497951,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,1.4573948383331299
0.003551198557606758,0.990673828125,4.876688480377197,128,0.00047278878820700143,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-2.0,0.28020572662353516
0.0023314848428302756,0.994091796875,10.853058099746704,256,0.0002870554751900345,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.2876622676849365
0.2229519967431606,0.8240234375000002,2.8697683811187744,64,1.2734877560372115,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,1.496016263961792
0.20361556790459678,0.8190429687500003,3.5369811058044434,128,1.2623788511611866,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-2.0,0.2955141067504883
0.14636948789118573,0.8227050781250002,7.133481979370117,256,0.8769236808085235,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.2976686954498291
0.004795004824524121,0.979833984375,2.8097727298736572,64,0.0009018423073097193,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,1.1700806617736816
0.0018350949763682259,0.9955078125000001,5.014759063720703,128,0.00034405614601673573,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-2.0,0.2758297920227051
0.002542819140392835,0.9919921875000001,10.963684797286987,256,0.000257122283075617,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.28408074378967285
0.0026727610756266513,0.9815917968750001,3.1248996257781982,64,0.0008441452593450638,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,1.4982621669769287
0.00340984052223672,0.9880859375000002,4.885926008224487,128,0.00046026366859575063,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-2.0,0.2928476333618164
0.001803496375339791,0.9950195312500001,11.165816307067871,256,0.0002654727590660766,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.298053503036499
0.004262751968949415,0.9792968750000001,3.139660120010376,64,0.0008442894240190402,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,1.5033388137817383
0.002616355639357385,0.992529296875,4.9307732582092285,128,0.00043744430950942714,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-2.0,0.29207682609558105
0.002533101460071269,0.98896484375,10.14638614654541,256,0.00025675934573421433,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.29526710510253906
0.002592358090510467,0.981396484375,3.1940970420837402,64,0.0006765321433235272,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,15.0,1.2488665580749512
0.002474998290495477,0.9845214843750001,4.173953056335449,128,0.00043176931001709384,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-2.0,0.2550325393676758
0.0040024778908218156,0.9917480468750001,8.780752182006836,256,0.0003218539602235504,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.25783753395080566
0.0016758987582144787,0.992919921875,2.9311161041259766,64,0.0009087197299800787,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,1.198561191558838
0.002400532905429233,0.991943359375,5.0014214515686035,128,0.0005747285237825972,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-2.0,0.2410111427307129
0.0023372547659135574,0.993896484375,10.787986516952515,256,0.00027754068986818314,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.29372715950012207
0.2229519967431606,0.8240234375000002,2.904946804046631,64,1.2734877560372115,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,1.521735429763794
0.20361556790459678,0.8190429687500003,3.2084503173828125,128,1.2623788511611866,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-2.0,0.27579641342163086
0.20435844948601933,0.8484863281250001,9.100284814834595,256,0.8641150335170672,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.25360894203186035
0.0048730525924420235,0.9793945312500001,3.0734329223632812,64,0.0006421111702558102,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,1.4002432823181152
0.0019884812064530732,0.993896484375,4.239227533340454,128,0.00032826088035198264,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-2.0,0.23334312438964844
0.0015430958257179395,0.99384765625,10.777443885803223,256,0.00027337408566308063,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.23324251174926758
0.004864779947454838,0.98486328125,3.363790273666382,64,0.0010531763919443549,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,1.4942030906677246
0.0031001094313447605,0.9875,4.948256969451904,128,0.0004930365414291815,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-2.0,0.2916557788848877
0.001640652572796461,0.9927734375000001,11.154301404953003,256,0.00031588873671373197,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.2942988872528076
0.005362154506407558,0.979638671875,3.0091638565063477,64,0.0011424058603040077,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,1.4775011539459229
0.0036993596275535848,0.993505859375,5.088241338729858,128,0.0004896908701168545,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-2.0,0.2946500778198242
0.00237464698638206,0.9906250000000001,11.313101768493652,256,0.00027305656558573865,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.2949092388153076
0.0035860627902573328,0.993408203125,2.9331793785095215,64,0.0008019900985825057,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,15.0,1.2537977695465088
0.0025825896202869183,0.98994140625,4.24941611289978,128,0.00044046722655555204,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-2.0,0.25385093688964844
0.003406106965947363,0.990966796875,9.093247413635254,256,0.0003086277908029844,shap,kernel,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.25543642044067383
0.003721438703198508,0.986767578125,2.977372646331787,64,0.0008589013303036408,shap,kernel,kernel_thinning,gaussian,4.0,32.0,15.0,1.194864273071289
0.002832236458955972,0.9903808593750001,4.683605909347534,128,0.0005960667929398866,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-2.0,0.2899653911590576
0.0022215804431675555,0.993017578125,11.372548580169678,256,0.0002683428699125079,shap,kernel,kernel_thinning,gaussian,4.0,32.0,-3.0,0.2440493106842041
0.2229519967431606,0.8240234375000002,2.83992600440979,64,1.2734877560372115,shap,kernel,kernel_thinning,sobolev,4.0,32.0,15.0,1.5042753219604492
0.20361556790459678,0.8190429687500003,3.426844358444214,128,1.2623788511611866,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-2.0,0.2912631034851074
0.14636948789118573,0.8227050781250002,7.648465633392334,256,0.8769236808085235,shap,kernel,kernel_thinning,sobolev,4.0,32.0,-3.0,0.2928586006164551
0.0036861792860337465,0.9837402343750001,3.0039641857147217,64,0.0007419003859874262,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,1.4393088817596436
0.0023004484114084087,0.99443359375,5.073401212692261,128,0.0004101062560182278,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-2.0,0.2788350582122803
0.002538372378115592,0.9912109375,9.272022008895874,256,0.0002617554751491724,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.2798476219177246
0.0046990324314870385,0.97919921875,2.8044300079345703,64,0.0010418339242787011,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,15.0,1.2276263236999512
0.005309154016582141,0.99130859375,5.2131571769714355,128,0.0005237918515654805,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-2.0,0.29918622970581055
0.0027529459335394013,0.991943359375,11.821226119995117,256,0.00030050086109112417,shap,kernel,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.30431079864501953
0.0026691384481098853,0.9790527343750001,3.2549397945404053,64,0.0008258217927930023,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,15.0,1.516538381576538
0.0031178852585934023,0.988232421875,5.15119481086731,128,0.0005050722896242643,shap,kernel,kernel_thinning,matern_1.5,4.0,32.0,-2.0,0.29418015480041504
