mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.07584888270181052,0.9121582031250002,33.43020963668823,16,0.03953588852652401,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,20.629854917526245,1
0.03966563313287692,0.9036621093750001,49.55721926689148,32,0.010640897204279853,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,20.100460052490234,1
0.02150805869877376,0.9212890625000001,85.09857249259949,64,0.007446721575682491,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.89683485031128,1
0.019807177056887174,0.96435546875,165.31251049041748,128,0.00352719386512812,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.63350510597229,1
0.024699063800568005,0.9277832031250001,311.5918118953705,256,0.002646552287000281,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.330589771270752,1
0.04870756370379431,0.9105468750000001,33.86838936805725,16,0.021229898367085553,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,20.568619966506958,1
0.03372020421095422,0.8984375000000002,53.43134021759033,32,0.018931972302992373,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,20.74020218849182,1
0.032160296716129216,0.9397460937500001,84.92121243476868,64,0.016690724559777048,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,20.197118043899536,1
0.02246133418130064,0.9493652343750001,145.51372480392456,128,0.004829192253232861,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.077072143554688,1
0.025333942208921528,0.9084960937500002,288.02282190322876,256,0.0030320800889628297,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,19.112510442733765,1
0.033004413325189864,0.9010742187500002,32.030672788619995,16,0.03333200423143934,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,19.571228981018066,1
0.034018477049145686,0.9136718750000001,52.92550468444824,32,0.013479194736205291,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.43951153755188,1
0.03810009669754209,0.92939453125,85.58802652359009,64,0.00838905295393133,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,20.800498723983765,1
0.019990635648533966,0.9025390625,156.46556210517883,128,0.005644779166189773,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.103129148483276,1
0.01577732733531582,0.95234375,292.38820219039917,256,0.002202536780568476,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,19.15621542930603,1
0.03686728140434404,0.8629882812500002,33.007625579833984,16,0.04271516345515347,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,19.391556978225708,1
0.02352909506970317,0.9357421875,46.32303214073181,32,0.015343692127767428,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.55985975265503,1
0.022036638750704832,0.9277832031250002,79.68522882461548,64,0.007759819943530477,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.149295568466187,1
0.0234616750793869,0.9353027343750001,155.66906762123108,128,0.007039497209045953,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.031360149383545,1
0.018752167012040532,0.9575195312500001,307.5264148712158,256,0.003282080286162059,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.081019401550293,1
0.04618972222082094,0.902099609375,33.9826774597168,16,0.03084011537913517,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,20.341593980789185,1
0.03308128369439755,0.9196777343750001,49.79835247993469,32,0.02103888550507782,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.600733757019043,1
0.05086564244743077,0.9082519531250001,85.2543933391571,64,0.008142031957827145,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.173912048339844,1
0.035002909442111374,0.9154296875000001,155.0804169178009,128,0.007032482675576768,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.058112859725952,1
0.025811924939347936,0.9135253906250002,310.18907833099365,256,0.0027426240767355337,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.06388020515442,1
0.0436318223081234,0.8232421875000002,22.10077667236328,16,0.03363378979329312,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,20.281989812850952,1
0.03711602306614681,0.915966796875,53.27206110954285,32,0.023931483662567477,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,20.557294607162476,1
0.03120374327754343,0.9387695312500001,90.83830833435059,64,0.017548656015452357,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,20.342511653900146,1
0.020503039139081043,0.9444824218750001,158.4942307472229,128,0.0037504787379865068,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,20.382846117019653,1
0.018601043234582476,0.9421875000000001,293.1554934978485,256,0.002425935404464674,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,19.09929585456848,1
0.03745216205198057,0.91865234375,31.46438503265381,16,0.0353888844830994,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,19.942871809005737,1
0.034948271197173524,0.935791015625,49.11884546279907,32,0.015460292763953443,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.064281702041626,1
0.02839101102772369,0.936474609375,89.96398854255676,64,0.011579880461356162,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.70665740966797,1
0.039087122069855616,0.9128906250000001,163.3778853416443,128,0.009344425410301005,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.83196997642517,1
0.024713170459151456,0.9404785156250001,307.76199674606323,256,0.0017961471435617993,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.022253036499023,1
0.05306896242030589,0.8216308593750001,33.16762638092041,16,0.10544035561514387,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,20.217171907424927,1
0.0238095625048126,0.9380371093750001,52.38034629821777,32,0.015043200809420232,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,20.117945671081543,1
0.026195462510653734,0.9357910156250001,89.76831007003784,64,0.02140017838254682,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,20.231895446777344,1
0.02690172709255396,0.94013671875,163.775799036026,128,0.004154447271095152,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.99346947669983,1
0.02846605514402069,0.9230957031250001,293.8978109359741,256,0.004370252160544652,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,19.7199125289917,1
0.07855385884662469,0.8156738281250002,31.806361436843872,16,0.027224546089737345,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,19.226592540740967,1
0.030979257342367356,0.93671875,53.15404653549194,32,0.01667226601774552,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.758753061294556,1
0.03816758255640281,0.9200683593750001,87.56626725196838,64,0.008134371501187787,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.809815645217896,1
0.0285322311203634,0.927978515625,157.69532990455627,128,0.003921068207656142,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.591349840164185,1
0.0326001232028853,0.925,311.92736649513245,256,0.003122630046787922,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.113873720169067,1
0.061140156478386665,0.8775878906250001,32.590824127197266,16,0.04136894591430851,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,19.808597803115845,1
0.026933058594587358,0.9451171875000001,51.074602127075195,32,0.015507672611791867,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,19.3806791305542,1
0.028337967486035082,0.8866210937500001,87.19616365432739,64,0.007162317397110929,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,19.15479564666748,1
0.036152108820128946,0.9390625000000001,164.177640914917,128,0.007485202322592754,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,19.819639921188354,1
0.025247885372883926,0.9095214843750001,315.5307457447052,256,0.004037449250551495,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,20.301087617874146,1
