mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.027589663366367416,0.686474609375,74.07714366912842,16,0.03953588852652401,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,20.069854021072388,1
0.019344899076841664,0.7328125000000001,136.67007160186768,32,0.010640897204279853,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,19.699162006378174,1
0.012394333795826239,0.7600585937500001,253.59584951400757,64,0.007446721575682491,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,20.844976663589478,1
0.011807556390138854,0.790478515625,489.9684007167816,128,0.00352719386512812,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,19.55101227760315,1
0.009297669802950586,0.8323242187500002,997.4435648918152,256,0.002646552287000281,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,19.6531662940979,1
0.02863599425093355,0.6561523437500001,70.61263799667358,16,0.021229898367085553,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,19.850946187973022,1
0.023396139915528906,0.662646484375,128.81441640853882,32,0.018931972302992373,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,19.3151798248291,1
0.014213381332089273,0.755322265625,248.06894707679749,64,0.016690724559777048,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,19.539955854415894,1
0.011572236367848206,0.7755859375,484.5362548828125,128,0.004829192253232861,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,19.191439151763916,1
0.011185307942146557,0.790478515625,971.5144455432892,256,0.0030320800889628297,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,19.25247049331665,1
0.021311283864727505,0.688525390625,69.68011617660522,16,0.03333200423143934,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,19.23371124267578,1
0.014388087237758104,0.740478515625,129.15344524383545,32,0.013479194736205291,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,19.624511003494263,1
0.015667655152011996,0.754150390625,255.94225764274597,64,0.00838905295393133,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,19.077757835388184,1
0.012849978483539642,0.7557617187500001,495.49561190605164,128,0.005644779166189773,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,19.423283100128174,1
0.00937711661455632,0.8139160156250002,1006.077162027359,256,0.002202536780568476,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,19.116211891174316,1
0.021139400284897088,0.6521484375,74.2122368812561,16,0.04271516345515347,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,19.464932918548584,1
0.016011158863949063,0.754443359375,136.9477825164795,32,0.015343692127767428,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,20.1103732585907,1
0.012720405453654186,0.7408203125,266.88182306289673,64,0.007759819943530477,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,19.696422338485718,1
0.010779072926665592,0.798583984375,516.259773015976,128,0.007039497209045953,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,19.718496322631836,1
