mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.014788391681967182,0.7651367187500001,27.776181936264038,8,0.024644576189624345,shap,kernel,kernel_thinning,gaussian,4.0,32.0,8.0,0.010547399520874023,8
0.009993195358765725,0.90009765625,25.94109797477722,16,0.010842172886901813,shap,kernel,kernel_thinning,gaussian,4.0,32.0,16.0,0.01624131202697754,16
0.005474739634493238,0.92255859375,45.44721817970276,32,0.004101797274882246,shap,kernel,kernel_thinning,gaussian,4.0,32.0,32.0,0.04463505744934082,32
0.004152062534770998,0.9476562500000001,85.42566251754761,64,0.0025706555782235574,shap,kernel,kernel_thinning,gaussian,4.0,32.0,64.0,0.0158083438873291,64
0.003365001894194227,0.964453125,164.66442584991455,128,0.0017802280020604577,shap,kernel,kernel_thinning,gaussian,4.0,32.0,128.0,0.011509418487548828,125
0.12663756993427594,0.66171875,16.15680432319641,8,0.9056603221747059,shap,kernel,kernel_thinning,sobolev,4.0,32.0,8.0,0.09415411949157715,2
0.1170877068041516,0.66171875,25.71282410621643,16,0.9452197918324935,shap,kernel,kernel_thinning,sobolev,4.0,32.0,16.0,0.08113479614257812,2
0.23026273524361376,0.5625976562499999,44.41578531265259,32,1.3766378538387423,shap,kernel,kernel_thinning,sobolev,4.0,32.0,32.0,0.19163751602172852,1
0.11944946846952506,0.6608398437499999,86.1396734714508,64,0.9338650806680465,shap,kernel,kernel_thinning,sobolev,4.0,32.0,64.0,0.09076571464538574,2
0.11947612725147064,0.66103515625,166.1126594543457,128,0.9338650806680465,shap,kernel,kernel_thinning,sobolev,4.0,32.0,128.0,0.048163414001464844,2
0.014065578627970862,0.7729492187500001,15.509630918502808,8,0.02535604589457574,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,8.0,0.01889514923095703,8
0.009968040696120888,0.9045898437500002,26.260388612747192,16,0.012535418488208494,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,16.0,0.00954747200012207,16
0.004244116195026119,0.9413085937500001,46.38430690765381,32,0.004588804117055978,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,32.0,0.038995981216430664,32
0.004051572221405394,0.9591796875,84.68377304077148,64,0.0029473385485638826,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,64.0,0.010530471801757812,64
0.004073690179270452,0.9583984375000001,168.18446040153503,128,0.0018839751602867105,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,128.0,0.034403085708618164,126
0.014198648120284438,0.7718750000000001,15.742215394973755,8,0.02536009997160904,shap,kernel,kernel_thinning,matern,4.0,32.0,8.0,0.014646768569946289,8
0.010219191415624329,0.8990234375000001,26.575007915496826,16,0.011543369040693974,shap,kernel,kernel_thinning,matern,4.0,32.0,16.0,0.01395416259765625,16
0.008014016570232697,0.9453125,46.640785217285156,32,0.004879491739311792,shap,kernel,kernel_thinning,matern,4.0,32.0,32.0,0.0533292293548584,32
0.0038752170876006405,0.96357421875,86.28945851325989,64,0.0030184061894550362,shap,kernel,kernel_thinning,matern,4.0,32.0,64.0,0.014851808547973633,64
0.002139412226046564,0.9666015625,168.42544889450073,128,0.0017423274625294471,shap,kernel,kernel_thinning,matern,4.0,32.0,128.0,0.02901291847229004,128
0.01477179567395566,0.7651367187500001,15.608489513397217,8,0.024644576189624345,shap,kernel,kernel_thinning,gaussian,4.0,32.0,8.0,0.012037277221679688,8
0.010036526936677453,0.8981445312500002,26.367851972579956,16,0.010842172886901813,shap,kernel,kernel_thinning,gaussian,4.0,32.0,16.0,0.08934640884399414,16
0.0051511464198472235,0.9310546875000001,46.59400773048401,32,0.003891293676006935,shap,kernel,kernel_thinning,gaussian,4.0,32.0,32.0,0.046051979064941406,32
0.0037594917060921706,0.9649414062500001,83.49233198165894,64,0.002821890320312881,shap,kernel,kernel_thinning,gaussian,4.0,32.0,64.0,0.010996818542480469,63
0.0034070483853965725,0.9640625,167.1949269771576,128,0.0017186926245111867,shap,kernel,kernel_thinning,gaussian,4.0,32.0,128.0,0.033586740493774414,126
0.12662539902902953,0.65966796875,16.133293867111206,8,0.9056603221747059,shap,kernel,kernel_thinning,sobolev,4.0,32.0,8.0,0.05371356010437012,2
0.11710030899455681,0.662109375,26.501989603042603,16,0.9452197918324935,shap,kernel,kernel_thinning,sobolev,4.0,32.0,16.0,0.058855533599853516,2
0.2302374990444133,0.562890625,45.122379302978516,32,1.3766378538387423,shap,kernel,kernel_thinning,sobolev,4.0,32.0,32.0,0.20486164093017578,1
0.11946657489739054,0.660546875,86.4389579296112,64,0.9338650806680465,shap,kernel,kernel_thinning,sobolev,4.0,32.0,64.0,0.04540753364562988,2
0.11951117550512755,0.6607421875,167.02595901489258,128,0.9338650806680465,shap,kernel,kernel_thinning,sobolev,4.0,32.0,128.0,0.04963231086730957,2
0.014094413003280409,0.77216796875,16.334866285324097,8,0.02535604589457574,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,8.0,0.015879392623901367,8
0.00997197884995675,0.9042968750000001,26.40788507461548,16,0.012535418488208494,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,16.0,0.010468244552612305,16
0.0038929231996374805,0.9541015625,46.35019063949585,32,0.004319151473297422,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,32.0,0.037454843521118164,32
0.004326325888387007,0.9478515625,87.80526423454285,64,0.002978382364583254,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,64.0,0.010619878768920898,64
