mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0026852719012275686,0.7935546875000001,1007.6461169719696,8,0.024644576189624345,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.010393142700195312,8
0.002111825742097357,0.8456054687500001,1450.6419396400452,16,0.010842172886901813,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010592460632324219,16
0.0016378857955467146,0.8875976562500001,2275.2756764888763,32,0.005711716289999558,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.01094675064086914,32
0.0013945765225858357,0.91279296875,3944.453272819519,64,0.0025706555782235574,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.01060032844543457,64
0.0013616972412645986,0.9103515625,7342.963666915894,128,0.0017802280020604577,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.016016721725463867,125
0.03038592866838746,0.29951171875000004,1015.9566473960876,8,0.9056603221747059,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.09846806526184082,2
0.03181576271744679,0.259765625,1427.8334741592407,16,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.04513740539550781,2
0.031818108633970714,0.2603515625,2268.843355178833,32,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.045412540435791016,2
0.0314621947333051,0.27158203125,3969.506094455719,64,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.04530048370361328,2
0.031449867195322265,0.2705078125,7317.24315071106,128,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.07400035858154297,2
0.0027001784912467947,0.7869140625000001,1026.2814536094666,8,0.02535604589457574,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.010912895202636719,8
0.002184193784813734,0.8298828125000001,1451.9697103500366,16,0.012535418488208494,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.00969243049621582,16
0.0016954453018523108,0.8749023437500001,2281.2654418945312,32,0.005727992967521689,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009875059127807617,32
0.0014383488150928763,0.912890625,3970.868432044983,64,0.0029473385485638826,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.009931087493896484,64
0.0014036963088466762,0.9045898437500002,7351.007129907608,128,0.0018839751602867105,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.014460563659667969,126
0.002711955349519095,0.78779296875,1042.2530417442322,8,0.02536009997160904,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.015128374099731445,8
0.00193254984611616,0.8420898437500002,1454.006553888321,16,0.011543369040693974,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.013401269912719727,16
0.0016112168887321616,0.8755859375000001,2325.73491358757,32,0.004675366549993565,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.016872882843017578,32
0.0014019579713822278,0.9125000000000001,4049.457053422928,64,0.0030184061894550362,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.014078378677368164,64
0.0013206547321869876,0.9167968750000002,7343.966904878616,128,0.0017423274625294471,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.04071664810180664,128
0.0026902736543408996,0.7943359375000001,1012.2902247905731,8,0.024644576189624345,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.013561725616455078,8
0.0021066747290886165,0.8440429687500002,1436.6035752296448,16,0.010842172886901813,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010794878005981445,16
0.0015453771658251443,0.9044921875000002,2283.017720222473,32,0.005393333486871654,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.011078119277954102,32
0.0014045054081520852,0.90546875,3983.3881828784943,64,0.002821890320312881,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.011114358901977539,63
0.001306077094062401,0.9273437500000001,7376.788845777512,128,0.0017186926245111867,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.012114524841308594,126
0.030403653587430177,0.29970703125000003,1012.2740564346313,8,0.9056603221747059,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.04839348793029785,2
0.03179737067214422,0.25859375,1435.171733379364,16,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.04839634895324707,2
0.03180939273133587,0.2603515625,2281.412964105606,32,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.0771474838256836,2
0.03146679735943959,0.27167968750000004,3987.913164615631,64,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.04688262939453125,2
0.03145801595449719,0.27167968750000004,7344.762691259384,128,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.046491146087646484,2
0.0027018459675567062,0.7889648437500001,1011.2426671981812,8,0.02535604589457574,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.01774883270263672,8
0.002184724303215127,0.82880859375,1433.259860277176,16,0.012535418488208494,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.009868621826171875,16
0.0016216937523953368,0.8882812500000001,2294.661302804947,32,0.005982274043632607,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.010031461715698242,32
0.001377521414179034,0.91044921875,3965.4154937267303,64,0.002978382364583254,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.010057687759399414,64
0.0013410224678961048,0.9215820312500002,7343.563573598862,128,0.0017842120409866657,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.010885238647460938,125
0.0027072112470919387,0.7886718750000001,1004.7494964599609,8,0.02536009997160904,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.018445968627929688,8
0.001928825731215526,0.8404296875000001,1430.1820430755615,16,0.011543369040693974,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.013305902481079102,16
0.0015206885883274452,0.9077148437500001,2261.963593006134,32,0.00503997328451411,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.028506040573120117,32
0.0016992702576532244,0.841015625,3961.3923485279083,64,0.002860954121352677,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.013586044311523438,64
0.0013203798482867494,0.9153320312500002,7339.925799369812,128,0.001866996368283691,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.016116619110107422,128
0.002689204102210943,0.7958007812500001,1002.8528385162354,8,0.024644576189624345,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.012331962585449219,8
0.002106081228739264,0.84296875,1428.0974445343018,16,0.010842172886901813,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010836601257324219,16
0.0016980417097758362,0.88232421875,2324.3643703460693,32,0.005765371169348721,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.01298213005065918,32
0.0014111953260235724,0.9100585937500001,3961.5976843833923,64,0.0028539594489477293,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.011043787002563477,63
0.0013654807473167507,0.9144531250000001,7341.89453125,128,0.0016471193671554474,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.031450510025024414,123
0.03039001660216121,0.30087890625,1038.40665102005,8,0.9056603221747059,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.045728206634521484,2
0.031807215600202894,0.25859375000000007,1480.9144368171692,16,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.04611372947692871,2
0.03182949436091243,0.26005859375000007,2282.816901445389,32,0.9452197918324935,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.046311140060424805,2
0.03145256741752762,0.26972656250000004,3961.1818840503693,64,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.046184539794921875,2
0.03148014263146958,0.27099609375,7340.6095662117,128,0.9338650806680465,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.04654073715209961,2
0.0027017931921792257,0.7873046875,1002.408741235733,8,0.02535604589457574,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.020718097686767578,8
0.0021820256431354518,0.83125,1424.523796081543,16,0.012535418488208494,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.009819746017456055,16
0.0015674317328823143,0.88349609375,2273.812595844269,32,0.004936233943957813,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009850502014160156,32
