mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0026557809282961287,0.7869140625000002,1307.0815179347992,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.021508455276489258,8
0.00209285193191987,0.8262695312500001,2002.0820543766022,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.033319950103759766,16
0.0016925551155018662,0.8729492187500001,3393.4607050418854,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03565239906311035,32
0.0016269723867754662,0.8691406250000001,6183.027059555054,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.08916401863098145,64
0.0015676779443075132,0.8696289062500001,11596.600590467453,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.16164684295654297,128
0.0026539764140130987,0.78974609375,1244.9570062160492,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.011124134063720703,8
0.002094797902735209,0.8280273437500001,1909.1163532733917,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01977992057800293,16
0.0016915729964438484,0.8734375000000001,3275.78533244133,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03809356689453125,32
0.0016267202296328654,0.8749023437500001,5876.8067717552185,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07073307037353516,64
0.0015688999510252977,0.8715820312500002,10904.209562778473,128,0.02596753665885465,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1512143611907959,128
0.002657141483981056,0.7874023437500001,1231.649966955185,8,0.056289397069352654,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009814262390136719,8
0.0020932711091723776,0.8274414062500001,1906.0302889347076,16,0.02846506897542711,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.021283626556396484,16
0.0016902783229048681,0.8716796875000001,3298.1963691711426,32,0.0200171376342152,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03888988494873047,32
0.0016254264954792188,0.8706054687500001,6035.012156963348,64,0.02466625625523955,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07280445098876953,64
