mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.03132965264085523,0.8,4.877440452575684,16,0.07182401523495241,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,202.391047000885,1
0.006961095438853631,1.0,0.32021284103393555,32,0.014538453256996986,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,156.32956504821777,1
0.010841006882933595,1.0,0.5965349674224854,64,0.015187695247764643,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,202.3693106174469,1
0.004548982612542081,1.0,1.166294813156128,128,0.006644912705833728,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,156.70878338813782,1
0.009570255612574357,0.8,4.38374137878418,256,0.0021566290749935324,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,157.0564045906067,1
0.017305981246491506,0.8,0.17974233627319336,16,0.07327339580395148,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,161.1732256412506,1
0.02691138332525148,0.8,0.3033945560455322,32,0.015473700227931764,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,109.29128313064575,1
0.00726605962650211,0.8,0.6549661159515381,64,0.010394765058538757,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,157.72074103355408,1
0.004995676752025651,1.0,1.201385736465454,128,0.005353487790178357,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,157.7974247932434,1
0.010952057579014358,1.0,2.4386050701141357,256,0.0023276601382825057,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,110.67719650268555,1
0.013620422536648679,0.8,0.15339946746826172,16,0.06788259027299082,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,157.16951251029968,1
0.005307390665286822,1.0,0.3141167163848877,32,0.022428445199355718,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,201.30643963813782,1
0.005475203190974868,0.8,0.659113883972168,64,0.00933790947310531,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,110.3246328830719,1
0.008303798488506193,1.0,1.350475549697876,128,0.005381408851001246,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,201.59518480300903,1
0.01012811473319307,0.8,2.7147274017333984,256,0.00321023703241341,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,155.33075785636902,1
0.012565772839689756,1.0,0.17034196853637695,16,0.054392779578555484,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,206.46737504005432,1
0.015609284794290459,1.0,0.282153844833374,32,0.03051661403991157,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,159.01726818084717,1
0.007365218267773466,1.0,1.3276853561401367,64,0.009689063739674264,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,111.6921558380127,1
0.00874825485812041,1.0,1.3541853427886963,128,0.006189480048625795,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,159.22642970085144,1
0.010327115539685747,0.8,12.85884165763855,256,0.002668968816195383,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,298.32526302337646,1
0.006176047487012978,1.0,2.868770122528076,16,0.024026017665123245,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,156.40705966949463,1
