mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.026634529289384687,0.8727050781250001,108.22728514671326,16,0.027550865693874993,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.392772912979126,1
0.028102555772786496,0.88544921875,181.45113468170166,32,0.02339066675470136,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,61.46872353553772,1
0.012000392949563819,0.8749023437500002,328.1326816082001,64,0.009274891975513233,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,58.73599123954773,1
0.01225774273589738,0.9296875000000001,603.9140694141388,128,0.0028190012691358124,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,59.47621989250183,1
0.010639732520854697,0.9305664062500001,1122.3653464317322,256,0.0017226068586114751,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,58.3052864074707,1
0.026579492235650502,0.8326660156250001,100.68026304244995,16,0.0829991744298837,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,57.25590705871582,1
0.020942639764996537,0.8884277343750001,175.09246182441711,32,0.02435162203940644,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.45558953285217,1
0.013910240101761997,0.8930664062500002,308.7522509098053,64,0.007374904791820569,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,58.08419752120972,1
0.010449260100606473,0.9409667968750001,598.1823902130127,128,0.005604736314878789,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,59.49444627761841,1
0.008894127116527855,0.9342285156250001,1113.818326473236,256,0.0021391519775109114,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,59.264286279678345,1
0.020358282515284133,0.8654296875,105.13774752616882,16,0.0490714381613685,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.8978066444397,1
0.01560973453945738,0.90791015625,174.2183575630188,32,0.018052578954777965,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.656960010528564,1
0.012256591871506375,0.9329101562500001,312.2958405017853,64,0.012156716297531567,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,58.71576738357544,1
0.012397000622478829,0.9344726562500001,584.109785079956,128,0.004812166062933332,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,58.50258207321167,1
0.015615568483787803,0.940283203125,1099.5308094024658,256,0.0030966239106552385,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,58.889089822769165,1
0.03165611349351119,0.8196289062500002,105.06843543052673,16,0.045831630662628076,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,58.05111575126648,1
0.031209717366073805,0.8880371093750001,175.94995880126953,32,0.03895065456675162,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.935054540634155,1
0.01675139196228656,0.9262695312500001,311.13757133483887,64,0.016917769307540298,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,58.61564540863037,1
0.012727352289810536,0.9034667968750001,576.1863732337952,128,0.005105477538788095,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,57.695641040802,1
0.010037367017806123,0.9330078125000001,1128.4257640838623,256,0.0018501983553426138,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,58.62495183944702,1
0.044746251079114244,0.8271972656250001,104.74087476730347,16,0.043779335110195494,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,58.417205572128296,1
0.02730232099901865,0.868359375,174.53566312789917,32,0.020060383926276626,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.02300024032593,1
0.01355147178402644,0.916748046875,311.99741101264954,64,0.009432580821641556,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,59.511215686798096,1
0.012337239520912435,0.9280761718750001,578.3942823410034,128,0.005461079680702086,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,58.2826931476593,1
0.011825829494607268,0.930126953125,1113.0300788879395,256,0.0013700203233514285,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,58.808438777923584,1
0.019894368701676532,0.8630371093750001,104.28679919242859,16,0.025062299523797016,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,57.845688581466675,1
0.029160041014697997,0.8990722656250001,172.55465006828308,32,0.022867856706026535,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.549118995666504,1
0.010490764866713551,0.8895507812500001,289.7112135887146,64,0.014758648005309016,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,57.995163917541504,1
0.008242659911487742,0.9458984375,573.3964686393738,128,0.00510262322714472,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,58.3071072101593,1
0.013666595064280264,0.93603515625,1093.9008643627167,256,0.0036732051650809616,shap,kernel,arfpy,Not needed,Not needed,Not needed,256,58.83537817001343,1
0.01663919843276939,0.8329101562500001,99.46736693382263,16,0.032461014311993774,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,56.84497332572937,1
0.01646224259260619,0.917431640625,175.01072096824646,32,0.02003157809168843,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,59.0027289390564,1
0.00929766930112194,0.9310058593750001,312.061829328537,64,0.00572230014460573,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,59.11088728904724,1
0.014162218372048941,0.9376953125,581.90607213974,128,0.005929611022692072,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,57.95506739616394,1
