mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.010908604302547677,0.58837890625,123.94796347618103,16,0.027550865693874993,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,58.279762268066406,1
0.006911820963562476,0.701123046875,241.49460339546204,32,0.02339066675470136,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,59.336172342300415,1
0.004675148754671438,0.771630859375,463.8728106021881,64,0.009274891975513233,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,58.2992947101593,1
0.003747710357060013,0.8045898437500001,917.0783686637878,128,0.0028190012691358124,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,58.657761573791504,1
0.003029266410530572,0.8382324218750001,1807.5026590824127,256,0.0017226068586114751,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,58.634512186050415,1
0.011407329986526604,0.54599609375,125.8647711277008,16,0.0829991744298837,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,57.76020622253418,1
0.006789128184949687,0.6856933593750001,238.1705560684204,32,0.02435162203940644,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,58.35749936103821,1
0.004875804818772242,0.7562011718750001,457.34341645240784,64,0.007374904791820569,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,58.48531126976013,1
0.003827317166964379,0.8036132812500001,900.4382219314575,128,0.005604736314878789,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,58.876304149627686,1
0.0030473241114266905,0.841748046875,1790.4588754177094,256,0.0021391519775109114,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,58.4250123500824,1
0.009320353152472902,0.609033203125,126.1062879562378,16,0.0490714381613685,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,58.85654067993164,1
0.006492723353005512,0.6895019531250001,237.4118881225586,32,0.018052578954777965,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,58.80399823188782,1
0.004894751066036607,0.7651855468750001,460.94208216667175,64,0.012156716297531567,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,59.21431231498718,1
0.003826977018630241,0.801611328125,914.0373334884644,128,0.004812166062933332,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,58.40832710266113,1
0.003284005405012171,0.8270019531250001,1769.0692961215973,256,0.0030966239106552385,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,58.51345777511597,1
