mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0032419973318141737,1.0,22.7115159034729,16,0.03776647565538882,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,128.80533266067505,1
0.002227410258978736,0.8,40.87453842163086,32,0.017489954852278444,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,167.03864407539368,1
0.002417547342915095,1.0,76.36545658111572,64,0.013269558472493226,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,127.41696691513062,1
0.0013149636572631,1.0,129.92879104614258,128,0.006852283608276055,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,161.71550011634827,1
0.0008936284168184784,0.8,280.98154878616333,256,0.004781588565101025,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,88.48707556724548,1
0.014288308492514949,0.4,10.1067636013031,16,0.0495410309645663,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,126.38390302658081,1
0.002024423857417925,0.8,41.299574851989746,32,0.022248236580425074,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,129.38575959205627,1
0.0013507315742051214,0.8,88.6220531463623,64,0.009026685609431206,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,91.7953953742981,1
0.0019400239630855208,1.0,151.32661938667297,128,0.007768261500310181,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,92.17486548423767,1
0.0012754808038558459,0.8,315.3991506099701,256,0.0031034604246632513,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,159.77333307266235,1
0.004302965349138605,0.8,18.566166162490845,16,0.0521694463398763,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,93.86610054969788,1
0.00233421310713668,0.8,40.99756217002869,32,0.0596869464933969,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,201.6845440864563,1
0.002105125281727515,1.0,75.1431622505188,64,0.01288785721711716,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,92.86460900306702,1
0.002770274759714015,0.8,126.09137868881226,128,0.00728953315366665,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,91.0848388671875,1
0.0012601713306143333,1.0,310.15019249916077,256,0.00600764505244844,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,198.7428262233734,1
0.002980446813135245,0.6,19.879783868789673,16,0.03724440651040073,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,93.86630749702454,1
0.003791336884423773,0.8,31.595348358154297,32,0.02383551715481813,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,126.47307467460632,1
0.0011430085926291283,0.8,73.82472014427185,64,0.0142979980457274,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,123.48127365112305,1
0.0009543862243432546,1.0,156.4746334552765,128,0.00687766164883874,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,197.90199971199036,1
0.0019221144457683226,1.0,288.52123260498047,256,0.003969761173193365,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,159.38447999954224,1
0.0043013776257867726,0.8,19.92303705215454,16,0.05047002891697394,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,125.92289781570435,1
0.002589363822696166,0.8,36.28781771659851,32,0.030018529733035426,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,92.38793611526489,1
0.0020954349564040946,0.8,72.53926157951355,64,0.008513400680070893,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,158.1494164466858,1
0.002421785123867271,0.8,162.49594736099243,128,0.007413271743369254,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,159.6782464981079,1
0.0014461043972777917,0.8,289.66106629371643,256,0.005136570406897967,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,89.49795961380005,1
0.003515785974926036,1.0,21.613199472427368,16,0.03345589092543699,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,91.21908140182495,1
0.002874204006830247,0.8,32.9488000869751,32,0.018754272527935267,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,125.98443961143494,1
0.0012578528597024885,0.8,63.357579469680786,64,0.013523712752408046,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,160.2179615497589,1
0.00139097282251107,1.0,161.1673882007599,128,0.007566185527901448,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,161.50467443466187,1
0.0018854781594280228,1.0,270.4485652446747,256,0.004238725254582576,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,166.31597471237183,1
0.00477840586028735,0.8,16.48397183418274,16,0.051088886508146025,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,127.53052854537964,1
0.0017036581505206305,0.8,39.787354469299316,32,0.01891994838916622,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,91.50767159461975,1
0.0020621437141819885,1.0,75.61452388763428,64,0.01685907181168589,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,200.55758333206177,1
0.0016760473095850934,1.0,139.1871292591095,128,0.006934128465967082,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,130.07270216941833,1
0.002164621579833088,0.8,275.81222462654114,256,0.0040341004039773365,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,158.97022104263306,1
0.0015165831938385198,0.8,23.012275457382202,16,0.0362057743310632,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,91.79255270957947,1
0.008609233036868915,1.0,26.551002979278564,32,0.047542328755173835,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,129.2932586669922,1
0.0013342968737360703,0.8,84.09781336784363,64,0.009942835447661502,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,163.89770913124084,1
0.0012413467177768182,1.0,146.5098204612732,128,0.00838016099620742,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,92.99318838119507,1
0.0012567391621596956,0.8,294.4247131347656,256,0.005348762347412328,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,128.32366561889648,1
0.005704839836717291,0.8,16.318795919418335,16,0.033229642909528345,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,128.80880498886108,1
0.00268435094708868,0.8,38.77153158187866,32,0.03031699562794976,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,127.91776967048645,1
0.002698149599323818,0.8,70.2349305152893,64,0.011058445967048636,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,92.73517775535583,1
0.001686663442593274,0.8,151.72640752792358,128,0.005773207897384225,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,128.92163395881653,1
0.0017279630422127623,1.0,295.2345097064972,256,0.004126230185906632,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,128.96731686592102,1
0.0027820365564567473,1.0,20.033088207244873,16,0.0432360128324234,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,164.32235717773438,1
0.003201989659552804,0.8,38.632917165756226,32,0.04349972698364657,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,163.14198875427246,1
0.002022461491109246,0.8,66.08171963691711,64,0.01648863849822546,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,196.45434951782227,1
0.0026692588412336746,1.0,133.60922503471375,128,0.005704593713414141,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,126.139395236969,1
0.0018120599007891952,1.0,278.8573799133301,256,0.004802233496024377,sage,permutation,arfpy,Not needed,Not needed,Not needed,256,161.30108952522278,1
