mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.001995146439034967,1.0,4.753386735916138,32,0.009297199249513888,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.03647327423095703
0.0018268438965111623,1.0,5.6196558475494385,64,0.004281731786749565,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008974075317382812
0.0021580268754037694,1.0,11.03885555267334,128,0.0021668542807248836,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.0095062255859375
0.012791268674275673,0.8,8.75739336013794,32,0.5228200639894341,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.05261731147766113
0.008204164206562359,0.8,7.453047752380371,64,0.45470226279591364,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.013083934783935547
0.014484196414877804,0.6,25.80985975265503,128,0.5011541865292604,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.01368093490600586
0.00173424115232488,1.0,3.0336153507232666,32,0.008784348608760761,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03202652931213379
0.0015505108746043487,1.0,5.638557434082031,64,0.004196728618158285,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.00815892219543457
0.001916462767149923,1.0,11.200063943862915,128,0.0019570109218011167,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.00862264633178711
0.002708837459463511,1.0,2.9882171154022217,32,0.009445475928536284,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.03964114189147949
0.0012552620903056287,1.0,5.544189929962158,64,0.004201162587128382,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.009987115859985352
0.002054999808108487,1.0,10.932960271835327,128,0.002136838802187624,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.010416746139526367
0.004904241949850965,1.0,3.01135516166687,32,0.011072048306844329,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.038422346115112305
0.001810230780497969,1.0,5.582251787185669,64,0.004570822961807275,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.009784460067749023
0.002360419801610649,1.0,14.762756824493408,128,0.0019439386109378343,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.010220050811767578
0.005006828664119614,1.0,3.053114414215088,32,0.010663023117573667,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.03907442092895508
0.0018511457836617392,1.0,7.490499496459961,64,0.00442305583471847,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.009750843048095703
0.0016740890345547696,1.0,11.135165691375732,128,0.0021338041827954624,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.010285139083862305
0.0018335167875862728,1.0,3.043337821960449,32,0.009330721473725379,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.03565359115600586
0.0021569910953611183,1.0,5.648158073425293,64,0.004669534997925162,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.009023189544677734
0.0017027016999302215,1.0,11.159059762954712,128,0.0023615621151258925,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.009533405303955078
0.011836739174964991,0.8,8.79976201057434,32,0.5228200639894341,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.051914215087890625
0.007148284427517692,0.8,7.469462871551514,64,0.45470226279591364,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.013121366500854492
0.014727536290489026,0.6,25.863133907318115,128,0.5011541865292604,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.01366877555847168
0.0025826673620552537,1.0,3.0328099727630615,32,0.008737713664329183,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03207755088806152
0.0016146161405545716,1.0,5.658312797546387,64,0.004196947158741138,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.008064031600952148
0.0018048377806619165,1.0,11.15424656867981,128,0.0020736296864451997,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.008702993392944336
0.006074303146867583,1.0,3.0394599437713623,32,0.010236008400784313,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.03950166702270508
0.001791633586714707,1.0,7.444655418395996,64,0.0040188051697798155,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.010057449340820312
0.002392842959420226,1.0,10.914490699768066,128,0.0019519067750324859,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.010383844375610352
0.0027360692396512973,1.0,3.9027931690216064,32,0.010197357889581204,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.038725852966308594
