mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.032060206846963056,0.9012,31.30886197090149,8,0.05372350306767387,shap,kernel,kernel_thinning,gaussian,4.0,32.0,8.0,0.011729001998901367,8
0.02059987239582803,0.93368,30.810478687286377,16,0.023684477347903965,shap,kernel,kernel_thinning,gaussian,4.0,32.0,16.0,0.010659217834472656,16
0.011944797896143763,0.9649600000000003,54.58482027053833,32,0.01009220908302011,shap,kernel,kernel_thinning,gaussian,4.0,32.0,32.0,0.04057645797729492,32
0.009046275941629434,0.96752,100.17150354385376,64,0.004256416709036481,shap,kernel,kernel_thinning,gaussian,4.0,32.0,64.0,0.010181188583374023,64
0.0059734747733074965,0.9799200000000001,193.68308353424072,128,0.00231299131660212,shap,kernel,kernel_thinning,gaussian,4.0,32.0,128.0,0.01067352294921875,127
0.12954504686237206,0.7170399999999999,18.792903661727905,8,0.5366997949166917,shap,kernel,kernel_thinning,sobolev,4.0,32.0,8.0,0.034296274185180664,2
0.12173723985594778,0.7303999999999999,30.34481167793274,16,0.5105369936938629,shap,kernel,kernel_thinning,sobolev,4.0,32.0,16.0,0.03661036491394043,2
0.1447371728840502,0.7209599999999999,53.61671543121338,32,0.5647457229911338,shap,kernel,kernel_thinning,sobolev,4.0,32.0,32.0,0.13121461868286133,2
0.12327729819191609,0.72688,100.10735630989075,64,0.5156149377492103,shap,kernel,kernel_thinning,sobolev,4.0,32.0,64.0,0.033918142318725586,2
0.1241193222567976,0.72544,192.78154230117798,128,0.518519598839474,shap,kernel,kernel_thinning,sobolev,4.0,32.0,128.0,0.03445935249328613,2
0.02889103755390908,0.90384,18.513871431350708,8,0.05448934946880368,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,8.0,0.014752388000488281,8
0.029197117903502847,0.9093599999999998,29.956949949264526,16,0.026104108443896934,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,16.0,0.009486198425292969,16
0.01467501145433663,0.95088,53.10404992103577,32,0.010080441312652955,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,32.0,0.035363197326660156,32
0.007651264161648125,0.9752,100.46558713912964,64,0.004287940262639622,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,64.0,0.009329080581665039,64
0.006177375504064948,0.9797599999999999,193.81847739219666,128,0.002446804854521034,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,128.0,0.009465456008911133,128
0.028841817913103075,0.904,18.76219344139099,8,0.05448934946880368,shap,kernel,kernel_thinning,matern,4.0,32.0,8.0,0.012366533279418945,8
0.01988457279164131,0.9373599999999999,30.475865602493286,16,0.02593554933983322,shap,kernel,kernel_thinning,matern,4.0,32.0,16.0,0.013331890106201172,16
0.017406439976823878,0.9445600000000001,54.077807664871216,32,0.009470104010108171,shap,kernel,kernel_thinning,matern,4.0,32.0,32.0,0.051961660385131836,32
0.008507849361515708,0.97472,99.93909454345703,64,0.004105034987480327,shap,kernel,kernel_thinning,matern,4.0,32.0,64.0,0.013355493545532227,64
0.0072063142675784725,0.9776,193.2352991104126,128,0.0021568959833945245,shap,kernel,kernel_thinning,matern,4.0,32.0,128.0,0.020451068878173828,128
0.03207897402627074,0.9009599999999999,18.4968318939209,8,0.05372350306767387,shap,kernel,kernel_thinning,gaussian,4.0,32.0,8.0,0.010421991348266602,8
0.020604525791065323,0.93368,30.449666023254395,16,0.023684477347903965,shap,kernel,kernel_thinning,gaussian,4.0,32.0,16.0,0.009227991104125977,16
0.014031965701979102,0.9532,53.79767394065857,32,0.00937408238991927,shap,kernel,kernel_thinning,gaussian,4.0,32.0,32.0,0.039769887924194336,32
0.008762411591187437,0.97336,100.7435371875763,64,0.0046905963997020406,shap,kernel,kernel_thinning,gaussian,4.0,32.0,64.0,0.01740574836730957,64
0.006193455444526356,0.9796,193.46315145492554,128,0.0023135691319420837,shap,kernel,kernel_thinning,gaussian,4.0,32.0,128.0,0.010209798812866211,127
0.12949453414890724,0.7171199999999999,18.357393503189087,8,0.5366997949166917,shap,kernel,kernel_thinning,sobolev,4.0,32.0,8.0,0.045455217361450195,2
0.12174474822771716,0.73088,30.188551664352417,16,0.5105369936938629,shap,kernel,kernel_thinning,sobolev,4.0,32.0,16.0,0.05585932731628418,2
0.1447122297624095,0.72144,52.993441104888916,32,0.5647457229911338,shap,kernel,kernel_thinning,sobolev,4.0,32.0,32.0,0.12904596328735352,2
0.12325926515909785,0.72656,100.6423773765564,64,0.5156149377492103,shap,kernel,kernel_thinning,sobolev,4.0,32.0,64.0,0.0376429557800293,2
0.12411729024742256,0.7256,193.12825727462769,128,0.518519598839474,shap,kernel,kernel_thinning,sobolev,4.0,32.0,128.0,0.05592918395996094,2
0.028859349826326222,0.9043199999999999,18.783829927444458,8,0.05448934946880368,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,8.0,0.00898289680480957,8
0.029210601720777055,0.9101599999999999,30.80141568183899,16,0.026104108443896934,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,16.0,0.009110689163208008,16
0.013238852334196156,0.9561599999999999,54.06240510940552,32,0.010035830441216642,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,32.0,0.035720109939575195,32
0.012249302090961827,0.9592799999999999,98.29629802703857,64,0.004484227738726976,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,64.0,0.009567737579345703,64
0.004273189155231534,0.9874400000000001,191.81587934494019,128,0.002122346476970849,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,128.0,0.009226322174072266,127
0.028844785217658965,0.90464,18.797159433364868,8,0.05448934946880368,shap,kernel,kernel_thinning,matern,4.0,32.0,8.0,0.013452768325805664,8
