mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.015320948708226886,0.8192,862.1862607002258,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012580394744873047,8
0.012189421734061838,0.85136,1629.5746974945068,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.023960590362548828,16
0.009462369730839769,0.8724799999999999,3163.1815328598022,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.026744365692138672,32
0.007338152528173799,0.89984,6219.734709024429,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.04889726638793945,64
0.0049531696278095495,0.92496,12338.438100099564,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.10647773742675781,128
0.015320948708226886,0.8192,855.9828848838806,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010320901870727539,8
0.012189421734061838,0.85136,1625.7332558631897,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01306605339050293,16
0.009462369730839769,0.8724799999999999,3157.92715215683,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.028833866119384766,32
0.007338152528173799,0.89984,6246.6381895542145,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.050631046295166016,64
0.0049531696278095495,0.92496,12310.640945672989,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.18351078033447266,128
0.015320948708226886,0.8192,848.8887465000153,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.007472991943359375,8
0.012189421734061838,0.85136,1612.9807822704315,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013578414916992188,16
0.009462369730839769,0.8724799999999999,3143.4839191436768,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.051419973373413086,32
0.007338152528173799,0.89984,6189.091924667358,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05155181884765625,64
0.0049531696278095495,0.92496,12308.464108467102,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.10404276847839355,128
0.015320948708226886,0.8192,848.3451194763184,8,0.1179792899363612,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008021831512451172,8
0.012189421734061838,0.85136,1616.742637872696,16,0.0763495692059003,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.013505220413208008,16
0.009462369730839769,0.8724799999999999,3140.033723592758,32,0.05458962817920843,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03915238380432129,32
0.007338152528173799,0.89984,6195.928296804428,64,0.02951686791948971,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07287240028381348,64
0.0049531696278095495,0.92496,12310.138620615005,128,0.012112222282815943,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.10552692413330078,128
