mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0165246134367429,0.8074218750000002,1524.8106961250305,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.028573989868164062,16
0.012131772435735778,0.8421386718750001,2929.371530532837,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.13774514198303223,32
0.007927521141675914,0.8946289062500001,5773.167243480682,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10260772705078125,64
0.005922185635926444,0.9180664062500001,11428.487584114075,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21083855628967285,128
0.00488419135504412,0.9334472656250001,22721.56191587448,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.4537074565887451,256
0.0165246134367429,0.8074218750000002,1510.2265465259552,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.028864622116088867,16
0.012131772435735778,0.8421386718750001,2924.5571842193604,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.05612778663635254,32
0.007927521141675914,0.8946289062500001,5747.264915466309,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1132655143737793,64
0.005922185635926444,0.9180664062500001,11427.11658668518,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.21357345581054688,128
0.00488419135504412,0.9334472656250001,22730.22441458702,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.4338405132293701,256
0.0165246134367429,0.8074218750000002,1508.7922904491425,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.028134822845458984,16
0.012131772435735778,0.8421386718750001,2917.6431341171265,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.10856151580810547,32
0.007927521141675914,0.8946289062500001,5758.045468330383,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10425925254821777,64
0.005922185635926444,0.9180664062500001,11383.924627065659,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.20262575149536133,128
0.00488419135504412,0.9334472656250001,22698.678480625153,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.4113004207611084,256
0.0165246134367429,0.8074218750000002,1507.608698606491,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.028098106384277344,16
0.012131772435735778,0.8421386718750001,2923.0920691490173,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.05262494087219238,32
0.007927521141675914,0.8946289062500001,5734.466320991516,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10819530487060547,64
0.005922185635926444,0.9180664062500001,11067.053373336792,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.20968008041381836,128
0.00488419135504412,0.9334472656250001,21469.604738473892,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.40739965438842773,256
0.0165246134367429,0.8074218750000002,1428.1638040542603,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.027818679809570312,16
0.012131772435735778,0.8421386718750001,2761.3293223381042,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04959702491760254,32
0.007927521141675914,0.8946289062500001,5046.975740194321,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10116386413574219,64
0.005922185635926444,0.9180664062500001,9997.506104946136,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1885225772857666,128
0.00488419135504412,0.9334472656250001,19888.445798397064,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.38859033584594727,256
0.0165246134367429,0.8074218750000002,1321.462949514389,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.024286508560180664,16
0.012131772435735778,0.8421386718750001,2559.993666410446,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04859733581542969,32
0.007927521141675914,0.8946289062500001,5052.497898101807,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09475827217102051,64
0.005922185635926444,0.9180664062500001,9979.67556476593,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.19469666481018066,128
0.00488419135504412,0.9334472656250001,19840.382021188736,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.3809812068939209,256
0.0165246134367429,0.8074218750000002,1322.165515422821,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.027539730072021484,16
0.012131772435735778,0.8421386718750001,2558.5174486637115,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04915738105773926,32
0.007927521141675914,0.8946289062500001,5035.649056434631,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09299087524414062,64
0.005922185635926444,0.9180664062500001,9971.92840886116,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.18676304817199707,128
0.00488419135504412,0.9334472656250001,19904.522888422012,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.38634371757507324,256
0.0165246134367429,0.8074218750000002,1323.7106957435608,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.04700016975402832,16
0.012131772435735778,0.8421386718750001,2567.946282148361,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.0472261905670166,32
0.007927521141675914,0.8946289062500001,5045.526502370834,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10122847557067871,64
0.005922185635926444,0.9180664062500001,9999.088997840881,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.19086146354675293,128
0.00488419135504412,0.9334472656250001,19864.56983566284,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.3831002712249756,256
0.0165246134367429,0.8074218750000002,1324.259711265564,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.027284860610961914,16
0.012131772435735778,0.8421386718750001,2558.208891391754,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.04836916923522949,32
0.007927521141675914,0.8946289062500001,5037.75049996376,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0935831069946289,64
0.005922185635926444,0.9180664062500001,9965.270073413849,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.19124245643615723,128
0.00488419135504412,0.9334472656250001,19883.736169099808,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.3804035186767578,256
0.0165246134367429,0.8074218750000002,1330.7803874015808,16,0.03869520978107621,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.025628089904785156,16
0.012131772435735778,0.8421386718750001,2579.182640314102,32,0.019602539404522057,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.050871849060058594,32
0.007927521141675914,0.8946289062500001,5081.597573518753,64,0.006954594577088302,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09322500228881836,64
0.005922185635926444,0.9180664062500001,10015.460723876953,128,0.004614082096002781,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.18706560134887695,128
0.00488419135504412,0.9334472656250001,19831.092611312866,256,0.006177356676740409,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,256,0.5300610065460205,256
