mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.00109391837903768,0.8300826446280991,1273.7290406227112,8,0.010932194950092233,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.011267423629760742,8
0.0010685510419990718,0.8512396694214877,1823.4694561958313,16,0.0062117898302498364,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010875701904296875,16
0.0009872887951514002,0.8773553719008264,2901.720346212387,32,0.0034855700998173145,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.011423349380493164,32
0.0008390274424537818,0.9052066115702478,5080.811198472977,64,0.0016941945119459678,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.011099576950073242,61
0.0007566943952275906,0.9139669421487602,9318.027064561844,128,0.001074887119510315,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.015184402465820312,123
0.028703060762188565,0.17644628099173554,1282.5928497314453,8,1.6056376040783087,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.03472447395324707,1
0.02868868303726086,0.1761157024793388,1826.5732307434082,16,1.6056376040782654,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.0882561206817627,1
0.02872950930420257,0.18016528925619835,2882.3715603351593,32,1.6056376040782436,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.0340731143951416,1
0.028707339487290345,0.17892561983471075,5050.483680486679,64,1.605637604078233,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.03458356857299805,1
0.028706296697910576,0.17644628099173554,9385.793635606766,128,1.6056376040782276,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.031842947006225586,1
0.0010583969092880176,0.846694214876033,1272.3176469802856,8,0.00657837909014769,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.0142059326171875,8
0.0010137162926211628,0.8594214876033057,1810.9476108551025,16,0.0039361729406606205,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.010051250457763672,16
0.0008746793653099903,0.8975206611570248,2913.204927444458,32,0.0019303696524495262,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009912729263305664,32
0.0008096865836725074,0.9096694214876031,5073.247698545456,64,0.0013038204205297887,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.010439634323120117,63
0.0008091689867911439,0.907272727272727,9355.587132692337,128,0.0009707823514628622,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.010133981704711914,124
0.0010391297468803555,0.8467768595041322,1256.4390592575073,8,0.009289775515223253,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.017600059509277344,8
0.0010527744006924172,0.8535537190082643,1796.7197761535645,16,0.0052804770183843,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.01370096206665039,16
0.0009278031791958517,0.8729752066115702,2907.4081008434296,32,0.002391309608236414,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.013972043991088867,32
0.0008159688539383191,0.91099173553719,5063.008979320526,64,0.001418307872979696,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.013915300369262695,64
0.0007449517869312112,0.923305785123967,9509.458662748337,128,0.0008275715649108673,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.014925241470336914,128
0.0010911526845174156,0.8291735537190082,1268.5288002490997,8,0.010932194950092233,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.011235237121582031,8
0.001070132086537526,0.8514876033057849,1824.9779195785522,16,0.0062117898302498364,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.011061429977416992,16
0.0009825570919210862,0.8790082644628099,2891.6132004261017,32,0.0034883055124399487,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.010986089706420898,32
0.000762645634973829,0.9228099173553719,5025.8749215602875,64,0.0012211364881922204,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010735511779785156,64
0.0007706364826758668,0.9201652892561984,9413.261891126633,128,0.0009887066409828282,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.011249065399169922,117
0.028709317224731093,0.1793388429752066,1280.4315736293793,8,1.6056376040783087,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.08726787567138672,1
0.028719179739294835,0.18107438016528926,1823.8780183792114,16,1.6056376040782654,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.033469200134277344,1
0.028706430175681624,0.18165289256198347,2881.9314436912537,32,1.6056376040782436,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.03364300727844238,1
0.028717372473913417,0.18016528925619835,5088.282119512558,64,1.605637604078233,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.03452563285827637,1
