mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.004849086986968659,0.7356198347107438,1399.6422715187073,8,0.010932194950092233,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.010422706604003906,8
0.0038522149036765443,0.7919834710743802,2136.7723784446716,16,0.0062117898302498364,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.010578632354736328,16
0.003335773901599556,0.8218181818181818,3615.902275085449,32,0.0034855700998173145,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.025067567825317383,32
0.0030900865201197985,0.8399173553719008,6577.475695133209,64,0.0016941945119459678,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.010761260986328125,61
0.0028668324945985524,0.8658677685950412,12514.95581817627,128,0.001074887119510315,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.010758638381958008,123
0.014977484052065192,0.27884297520661155,1404.387949705124,8,1.6056376040783087,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.03202176094055176,1
0.014998996177758342,0.28033057851239673,2140.430774450302,16,1.6056376040782654,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.031434059143066406,1
0.014994479331224397,0.2801652892561983,3591.049392223358,32,1.6056376040782436,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.0316469669342041,1
0.014994059866653673,0.2818181818181818,6562.268033981323,64,1.605637604078233,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.031709909439086914,1
0.014990260758913855,0.27785123966942155,12432.233288526535,128,1.6056376040782276,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.031829833984375,1
0.004719583738482413,0.7621487603305783,1405.042958021164,8,0.00657837909014769,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.009814262390136719,8
0.00381722013186639,0.8039669421487603,2138.207460165024,16,0.0039361729406606205,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.019780397415161133,16
0.00332546617457865,0.8350413223140496,3589.440194606781,32,0.0019303696524495262,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.009411334991455078,32
0.003101231746633357,0.8495867768595041,6528.447579622269,64,0.0013038204205297887,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.011515378952026367,63
0.0028641713912820996,0.8622314049586777,12412.550679206848,128,0.0009707823514628622,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.00977778434753418,124
0.004350042008074488,0.7660330578512397,1407.4191949367523,8,0.009289775515223253,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.013347625732421875,8
