mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.005710425702803849,0.7019008264462809,161.90304374694824,8,0.029433646257961854,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,72.92707777023315,1
0.006879298575865738,0.6654545454545453,258.15144062042236,16,0.04739683184343402,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.11864948272705,1
0.0019750825207857365,0.872479338842975,473.8406627178192,32,0.0075671730972848295,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.816147327423096,1
0.002105186299946024,0.8802479338842975,957.9617297649384,64,0.003075029596234513,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,59.863985538482666,1
0.0015881962066118353,0.9190909090909091,1872.4580645561218,128,0.002199163793526804,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,58.78319954872131,1
0.008455222645669681,0.5851239669421487,152.29370737075806,8,0.06156857041380359,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,58.71280574798584,1
0.004126349121053583,0.7757851239669421,260.36131477355957,16,0.012815569823207529,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.23509335517883,1
0.0030210450054838247,0.8211570247933884,475.70146441459656,32,0.01433784794709303,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,86.44619369506836,1
0.0028759868522897397,0.8404958677685951,961.5832839012146,64,0.011730022590325184,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,58.72551250457764,1
0.0013748755574228184,0.9295867768595041,1880.0774841308594,128,0.003813139171329194,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,58.88199019432068,1
0.005063304482995532,0.7010743801652892,150.60378623008728,8,0.02243201396148975,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,58.726099729537964,1
0.0035909266331703056,0.7930578512396693,255.38360714912415,16,0.026008830393310367,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,72.08365559577942,1
0.0032091851339141617,0.7860330578512396,479.9471106529236,32,0.009120677100623364,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,58.32449269294739,1
0.002951031261680848,0.8571900826446279,964.2371392250061,64,0.007894157339310315,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,44.909762144088745,1
0.0017159547522532267,0.884793388429752,1878.5648527145386,128,0.0018888830124643707,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,45.49640202522278,1
0.0032521494103521877,0.8038842975206612,152.19317436218262,8,0.026852970944579946,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,45.90363645553589,1
0.006985496643600356,0.6363636363636364,254.61791944503784,16,0.06362601958908332,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.00407600402832,1
0.00411620014384325,0.7844628099173553,475.60499835014343,32,0.020904802928261468,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,45.91548728942871,1
0.002123403416129921,0.8625619834710743,962.6257750988007,64,0.005268872746640119,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,73.49608993530273,1
0.0015987455712315084,0.895702479338843,1881.8146467208862,128,0.002528693295359652,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,72.1107850074768,1
0.005037631315761009,0.7408264462809916,153.0706329345703,8,0.0782396970263124,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,44.81315541267395,1
0.004712172592392838,0.740495867768595,257.2663474082947,16,0.026960207595750463,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,45.58887338638306,1
0.0030146372000655628,0.8051239669421486,473.2144105434418,32,0.017568043739687234,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,44.7066924571991,1
0.0027521370679324435,0.867190082644628,969.2154574394226,64,0.013987793659339776,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,73.43114376068115,1
0.0021831187117798824,0.8585950413223141,1870.448725938797,128,0.002347956679147112,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,46.11800408363342,1
0.005717587483514258,0.8039669421487603,151.40210676193237,8,0.04517617335787549,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,72.75622844696045,1
0.0065262576577766905,0.6781818181818181,252.98779678344727,16,0.031192086324673962,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,58.68722891807556,1
0.002137815277571191,0.8666115702479338,468.40251994132996,32,0.015482861874434262,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,72.26569843292236,1
0.002544426880271072,0.8508264462809917,952.5641150474548,64,0.0045468061441693575,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,59.85259199142456,1
0.0019464782884303666,0.8838842975206611,1846.8286929130554,128,0.004863977563144051,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,59.42808961868286,1
0.005059905835220471,0.7329752066115701,149.8953378200531,8,0.03161553747480417,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,59.44931888580322,1
0.004649603133853339,0.7101652892561983,250.75545191764832,16,0.04629341785425001,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,59.08639979362488,1
0.0032382232397930484,0.7943801652892561,467.4938073158264,32,0.03092546247350869,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,71.50612187385559,1
0.0026905378608365355,0.8399999999999999,949.4002141952515,64,0.007610271178928318,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,46.12366056442261,1
