mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.011190968591208085,0.672314453125,42.39812731742859,16,0.049290292258039825,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,31.47269606590271,1
0.009232893170382528,0.7027343749999999,77.27108836174011,32,0.0199322927588394,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.811882734298706,1
0.006755725576211764,0.7660156250000001,153.1314890384674,64,0.012229885257917017,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,31.617483377456665,1
0.005057564094488852,0.8134765625000001,297.335156917572,128,0.0043414903500402224,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,32.03528809547424,1
0.004210612861134586,0.8496582031250002,578.7022986412048,256,0.0031310233612176774,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,32.20993661880493,1
0.013561993719458744,0.634521484375,41.89539337158203,16,0.05250301604601987,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,32.24756669998169,1
0.010318604114499873,0.6826171875,78.34099555015564,32,0.019598890245312084,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.847236394882202,1
0.007163820177874516,0.7544433593750001,152.69637203216553,64,0.019087738013594757,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,32.03664469718933,1
0.00568805838074618,0.8092285156250001,298.75292897224426,128,0.007405442249836192,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,32.360650300979614,1
0.004053768773101536,0.852001953125,579.0034582614899,256,0.004642136300236355,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,31.904964208602905,1
0.013583238114317699,0.614306640625,41.87831783294678,16,0.038142376261959654,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,32.18700957298279,1
0.008597373841299235,0.7207519531250001,79.390953540802,32,0.019094744553985188,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.9045627117157,1
0.005802421431144217,0.797119140625,152.10439038276672,64,0.010957463740891904,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,32.1262891292572,1
0.005070034226036896,0.8255371093750001,297.261846780777,128,0.007929165737241117,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,32.059627294540405,1
0.004127904829220344,0.8504882812500001,581.1761074066162,256,0.003451864423545614,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,31.706764459609985,1
0.012926165105495319,0.624072265625,42.00762701034546,16,0.03674671863828932,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,31.959348678588867,1
0.008644704169087953,0.715087890625,78.31778645515442,32,0.028643381454674988,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.59354043006897,1
0.007490475306795992,0.7462890625,150.74822640419006,64,0.010925215538467647,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,32.01390767097473,1
0.005447063426646303,0.8149902343750002,295.9281282424927,128,0.005822787918695171,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,31.67041802406311,1
0.004866671085284286,0.8284667968750001,578.4091608524323,256,0.004087197748281424,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,31.88057231903076,1
0.0125445691247153,0.6568359374999999,42.33252000808716,16,0.05415364905611575,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,31.70303964614868,1
0.009832948727497393,0.6783691406249999,78.35734224319458,32,0.019187163024888154,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.632930994033813,1
0.006621129571171642,0.7666015625,150.6059467792511,64,0.017337364865996352,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,31.772802114486694,1
0.005267883159697954,0.818310546875,297.03505301475525,128,0.006677441941534135,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,31.791393995285034,1
0.003927567694006994,0.8500488281250002,577.77800989151,256,0.0027409856276958133,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,256,31.771307706832886,1
0.013445907776871956,0.6413574218749999,41.4530074596405,16,0.05098480247917375,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,31.968618631362915,1
0.009891868239816288,0.68310546875,77.64676070213318,32,0.024840683096030047,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,31.915515899658203,1
