mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.01007115029291911,1.0,5.490532398223877,32,0.007956538345773256,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.034381866455078125
0.005579383409599049,1.0,1.8977410793304443,64,0.004047033528159161,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008491754531860352
0.008379668948194523,1.0,3.742769956588745,128,0.002232143302769496,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.008913993835449219
0.27260555273394177,0.8,0.5378830432891846,32,0.9919370500980949,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.040578365325927734
0.3366753086192902,0.8,0.9787404537200928,64,1.0031750251534257,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.010365962982177734
0.3355926613626581,0.8,1.9213981628417969,128,1.0031750251534257,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.010846853256225586
0.0037501437928943947,1.0,0.9715006351470947,32,0.006140523271805032,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.0296323299407959
0.005354499788692838,1.0,1.8675179481506348,64,0.003178973730201484,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.007564544677734375
0.004519143931036092,1.0,3.7195825576782227,128,0.0017051564968901811,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.007952213287353516
0.004048331249239947,1.0,0.9832124710083008,32,0.006106877646300357,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.03689241409301758
0.004446008229181169,1.0,1.8568224906921387,64,0.003475473835914067,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.009391546249389648
0.004259054315708721,1.0,3.729785919189453,128,0.0019118400169761962,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.009804725646972656
0.004312036176149141,1.0,0.9727134704589844,32,0.007712862000336107,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.03621101379394531
0.005973947131290362,1.0,1.8685202598571777,64,0.003566783341825419,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.009189844131469727
0.0037281113088536285,1.0,3.730271577835083,128,0.0018352946322071628,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.00958395004272461
0.005326259959890425,1.0,0.9706246852874756,32,0.007319171575194516,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.03661942481994629
0.003891098357669483,1.0,1.8549871444702148,64,0.004146577008047436,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.009261608123779297
0.002021661913401195,1.0,3.754647970199585,128,0.0018933554755023452,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.00965738296508789
0.004217249330590891,1.0,0.9717452526092529,32,0.008005760685317276,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.03313279151916504
0.006509452122775864,1.0,2.7524054050445557,64,0.003852332082361243,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008427858352661133
0.006190734957691018,1.0,3.731562376022339,128,0.0020762279874277922,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.008819818496704102
0.27951807918964844,0.8,0.5384707450866699,32,0.9919370500980949,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.04046201705932617
0.3355926887782508,0.8,0.9791591167449951,64,1.0031750251534257,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.010369062423706055
0.3326875974320594,0.8,3.7295749187469482,128,1.0031750251534257,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.010785102844238281
0.003885595873157709,1.0,0.9788751602172852,32,0.005962479655938546,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.02954840660095215
0.0047253035276519344,1.0,1.8680789470672607,64,0.003178973730201484,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.007574796676635742
0.005206480332797369,1.0,3.728040933609009,128,0.0019736548785159735,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.00798177719116211
0.004843003355460986,1.0,0.9825420379638672,32,0.006363226193988214,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.03735470771789551
0.005083702092516499,1.0,1.868870496749878,64,0.0035360931349374125,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.009393930435180664
0.004186242047142052,1.0,3.723231315612793,128,0.0016262706867398724,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.009913206100463867
0.005042381366946362,1.0,0.9786376953125,32,0.00781795190113932,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.03617119789123535
0.00385022755941942,1.0,1.8625962734222412,64,0.003680734378664341,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.009237289428710938
0.0044849280879419254,1.0,3.7407190799713135,128,0.0019262957143361126,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.009607315063476562
0.007536144273457247,1.0,0.967435359954834,32,0.009381536380858813,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.036673784255981445
0.0029342159612572123,1.0,1.8718783855438232,64,0.004161532642057542,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.009271621704101562
0.005850798937890153,1.0,3.731476306915283,128,0.002144027442703922,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.009658575057983398
0.003686918176183669,1.0,0.9910807609558105,32,0.007096516584209178,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.033135414123535156
0.006274013982733964,1.0,1.8704557418823242,64,0.0037305163356029514,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.008463382720947266
0.004627815683987424,1.0,3.7526135444641113,128,0.0022167781582144164,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.008858203887939453
0.2724322808074525,0.8,0.5435760021209717,32,0.9919370500980949,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.04034280776977539
