mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.042346723278857815,0.8765625000000001,33.95185708999634,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004579067230224609,8
0.038206977678129646,0.8810546875,59.93779444694519,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008074760437011719,16
0.026502207795737618,0.91357421875,117.50477719306946,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.014486074447631836,32
0.019358927662227954,0.9271484375000001,233.17949318885803,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.029962778091430664,64
0.013190754013600462,0.94345703125,462.88748598098755,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.058306217193603516,128
0.042346723278857815,0.8765625000000001,34.088818311691284,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004531145095825195,8
0.038206977678129646,0.8810546875,63.516746044158936,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008373498916625977,16
0.026502207795737618,0.91357421875,122.08483982086182,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.01628565788269043,32
0.019358927662227954,0.9271484375000001,234.49108266830444,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.02935194969177246,64
0.013190754013600462,0.94345703125,463.13395500183105,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.05716109275817871,128
0.042346723278857815,0.8765625000000001,34.1433310508728,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01128697395324707,8
0.038206977678129646,0.8810546875,63.46969771385193,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008250951766967773,16
0.026502207795737618,0.91357421875,120.85973787307739,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015111684799194336,32
0.019358927662227954,0.9271484375000001,231.0244119167328,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.02966928482055664,64
0.013190754013600462,0.94345703125,461.0224905014038,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.062430381774902344,128
0.042346723278857815,0.8765625000000001,35.37465262413025,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004747629165649414,8
0.038206977678129646,0.8810546875,64.3585376739502,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008797645568847656,16
0.026502207795737618,0.91357421875,120.92059469223022,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015598058700561523,32
0.019358927662227954,0.9271484375000001,233.28002405166626,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.034757137298583984,64
0.013190754013600462,0.94345703125,454.8862085342407,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.05860114097595215,128
0.042346723278857815,0.8765625000000001,34.39203357696533,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0045871734619140625,8
0.038206977678129646,0.8810546875,62.99912643432617,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.009006977081298828,16
0.026502207795737618,0.91357421875,119.36811637878418,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015303611755371094,32
0.019358927662227954,0.9271484375000001,230.00375652313232,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.029794692993164062,64
0.013190754013600462,0.94345703125,458.8967139720917,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.05520772933959961,128
0.042346723278857815,0.8765625000000001,33.93150997161865,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004530668258666992,8
0.038206977678129646,0.8810546875,63.15027093887329,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008504629135131836,16
0.026502207795737618,0.91357421875,118.59314680099487,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.01609039306640625,32
0.019358927662227954,0.9271484375000001,233.23326873779297,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.03538393974304199,64
0.013190754013600462,0.94345703125,459.18763756752014,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.058213233947753906,128
0.042346723278857815,0.8765625000000001,34.46889281272888,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.005091190338134766,8
0.038206977678129646,0.8810546875,61.53219985961914,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.010997295379638672,16
0.026502207795737618,0.91357421875,119.35748720169067,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.015474081039428711,32
0.019358927662227954,0.9271484375000001,232.50805354118347,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0316922664642334,64
0.013190754013600462,0.94345703125,455.0185887813568,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.061836957931518555,128
0.042346723278857815,0.8765625000000001,34.36918544769287,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004599809646606445,8
0.038206977678129646,0.8810546875,61.79329800605774,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.025652170181274414,16
0.026502207795737618,0.91357421875,118.59589982032776,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.014939308166503906,32
0.019358927662227954,0.9271484375000001,231.64670729637146,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.028255224227905273,64
0.013190754013600462,0.94345703125,455.3908863067627,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.05696558952331543,128
0.042346723278857815,0.8765625000000001,33.627718687057495,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.005092620849609375,8
0.038206977678129646,0.8810546875,62.15991401672363,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008237361907958984,16
0.026502207795737618,0.91357421875,120.50943231582642,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.016423702239990234,32
0.019358927662227954,0.9271484375000001,229.29193210601807,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.03401970863342285,64
0.013190754013600462,0.94345703125,456.55934476852417,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.058454275131225586,128
0.042346723278857815,0.8765625000000001,34.791332960128784,8,0.11684205614722687,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.004717350006103516,8
0.038206977678129646,0.8810546875,62.54316282272339,16,0.07600882949339427,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.008582830429077148,16
0.026502207795737618,0.91357421875,119.1934642791748,32,0.043906562121912907,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.01570916175842285,32
0.019358927662227954,0.9271484375000001,229.70512890815735,64,0.021661807541743516,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.031029224395751953,64
0.013190754013600462,0.94345703125,460.3444039821625,128,0.010112242976460295,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.05841350555419922,128
