mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.043006632277912495,0.8342233706574793,223.53622579574585,8,0.0786766291714967,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,59.79418587684631,1
0.021374263207683868,0.907206431237439,354.061509847641,16,0.043409155718429404,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,76.85007357597351,1
0.03324199723442504,0.8635658914728682,643.5778071880341,32,0.03681303906474698,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,60.18951749801636,1
0.017729549864881438,0.9138099339649728,1307.4706451892853,64,0.014317279497592483,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,59.73137664794922,1
0.010977654083929554,0.9463106517370083,2533.836220264435,128,0.006761112417562165,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,93.06999182701111,1
0.06811627107171658,0.6919896640826873,206.1014745235443,8,0.1201356312147348,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,44.480637311935425,1
0.034242594623930665,0.8368647717484927,342.332364320755,16,0.04597940805044071,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,61.01678657531738,1
0.025075169416779935,0.8684467413149585,644.0144619941711,32,0.02004899201709931,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,93.25065088272095,1
0.021082958876218652,0.8992822279643985,1298.1340420246124,64,0.01667956360168049,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,60.778555154800415,1
0.013149115828233188,0.9324720068906116,2554.2633094787598,128,0.006299132445442113,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,60.76531958580017,1
0.07051191129302257,0.7812805053115132,213.68410968780518,8,0.12749540710532337,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,93.04776525497437,1
0.0755900245429352,0.7738156761412575,351.36112451553345,16,0.07976387641561744,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,76.4207067489624,1
0.019251303974641015,0.8989376973873098,648.1695630550385,32,0.01594589035456362,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,60.774505615234375,1
0.02351886298665126,0.8898076370944588,1320.0221202373505,64,0.02429775407638851,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,75.95345616340637,1
0.015471171402633823,0.9306919322423198,2570.4770987033844,128,0.010245832807109667,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,44.24998497962952,1
0.05785452203105341,0.7121447028423772,205.29286432266235,8,0.1245182794069778,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,60.494338512420654,1
