mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.044024826882877274,0.8837131367292225,36.343644857406616,8,0.002984411148025612,shap,kernel,kernel_thinning,gaussian,4.0,32.0,8.0,0.010352849960327148,8
0.017877420092301914,0.939343163538874,38.34183478355408,16,0.0013098600305080366,shap,kernel,kernel_thinning,gaussian,4.0,32.0,16.0,0.010780811309814453,14
0.01632777863083664,0.9320375335120644,67.25404262542725,32,0.0008723500857177324,shap,kernel,kernel_thinning,gaussian,4.0,32.0,32.0,0.08162498474121094,27
0.0107180526125836,0.9522117962466489,124.42262673377991,64,0.0007642663318476739,shap,kernel,kernel_thinning,gaussian,4.0,32.0,64.0,0.02181386947631836,58
0.008664274751804767,0.9609919571045578,240.07509422302246,128,0.0006288689941026382,shap,kernel,kernel_thinning,gaussian,4.0,32.0,128.0,0.012494802474975586,99
0.499717976464267,0.7735924932975871,22.956863403320312,8,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4.0,32.0,8.0,0.02096104621887207,1
0.4996799973313363,0.7736595174262735,37.030460834503174,16,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4.0,32.0,16.0,0.020443439483642578,1
0.4996464306817965,0.7734584450402144,65.34299373626709,32,0.6511594336452742,shap,kernel,kernel_thinning,sobolev,4.0,32.0,32.0,0.08136701583862305,1
0.4996867254528741,0.7736595174262733,119.53728556632996,64,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4.0,32.0,64.0,0.027081966400146484,1
0.4997549683836805,0.7734584450402144,233.98130583763123,128,0.6511594336452741,shap,kernel,kernel_thinning,sobolev,4.0,32.0,128.0,0.017868757247924805,1
0.043439086188723726,0.8935656836461127,23.556869745254517,8,0.002982937230869287,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,8.0,0.010103225708007812,7
0.017698987174681664,0.9370643431635388,37.0595383644104,16,0.0013884233298823156,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,16.0,0.009177684783935547,15
0.018234890447739516,0.9315013404825737,65.94575190544128,32,0.0008112914209887911,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,32.0,0.035327911376953125,29
0.01497984095124296,0.9579088471849866,124.24958777427673,64,0.0008481916139855272,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,64.0,0.009985208511352539,51
0.010392350134962425,0.9561662198391421,239.76292514801025,128,0.0006734051823639176,shap,kernel,kernel_thinning,inverse_multiquadric,4.0,32.0,128.0,0.03251075744628906,99
