mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.014241478150808696,1.0,5.386980056762695,8,0.03149282800937825,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.4817373752594,1
0.016495532234026337,1.0,12.993417978286743,16,0.01281654895583162,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.49046492576599,1
0.023397326508508953,0.8,27.17750835418701,32,0.005662110307436907,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,26.866447925567627,1
0.006924461426372071,1.0,36.800119400024414,64,0.002096980867559717,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.800044536590576,1
0.006728397274890875,1.0,61.695911169052124,128,0.004636415242733061,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.91823387145996,1
0.025916953233048164,1.0,6.712376356124878,8,0.0089238909422783,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.800323724746704,1
0.008747871729331712,1.0,14.26877212524414,16,0.047266592920473416,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,28.097201108932495,1
0.023077410766323497,1.0,15.923423051834106,32,0.010782889874073165,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.606398344039917,1
0.008055865242177291,1.0,41.86736798286438,64,0.016705922728923794,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.68162250518799,1
0.006841432168247354,1.0,55.02530360221863,128,0.0018053030242305423,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.81122660636902,1
0.05100710327465039,0.8,1.6108577251434326,8,0.06969796629572222,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,28.202595949172974,1
0.017872193344131655,1.0,8.913589000701904,16,0.021738576155938993,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.71288561820984,1
0.010596680419645914,1.0,19.13542103767395,32,0.0201142432393403,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,26.965509176254272,1
0.006296840276160188,1.0,28.74065661430359,64,0.004682772152443837,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.299920082092285,1
0.0034086309978845286,1.0,67.45140385627747,128,0.0016680513782081352,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,28.40342926979065,1
0.08011128481447774,0.6,1.673154592514038,8,0.10861511765352239,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,28.020361185073853,1
0.004715845048646823,1.0,8.892951488494873,16,0.004679853890752317,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.812811374664307,1
0.011201561788377137,1.0,20.573899030685425,32,0.015375168195117861,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.839139699935913,1
0.00459130627409886,1.0,31.99330449104309,64,0.003677113248373942,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,28.225640773773193,1
0.0028181995510987703,1.0,71.41208815574646,128,0.005422965315435069,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.774625301361084,1
0.05248312611162015,1.0,3.362077236175537,8,0.046690520401782454,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.23373293876648,1
0.01992639784276218,1.0,5.941150188446045,16,0.053257912794142825,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.681455612182617,1
0.005191356378063531,1.0,18.030365228652954,32,0.01137467114190771,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.845109224319458,1
0.006053615852368155,1.0,27.027742862701416,64,0.004553314664582864,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.647977352142334,1
0.009950052671433592,1.0,53.63424611091614,128,0.0021387461650494988,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,26.78505849838257,1
0.01713891487296296,1.0,8.392787218093872,8,0.1296744516628635,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.546438932418823,1
0.014151479783092624,1.0,16.98321032524109,16,0.01216645850250797,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.388936042785645,1
0.009651750660488293,1.0,28.380367040634155,32,0.016996262120006267,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.230047464370728,1
0.014552432779219195,1.0,30.72952938079834,64,0.011964950433602572,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,28.027945041656494,1
0.009997873861543197,1.0,48.119303464889526,128,0.0018149549949061372,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.634264945983887,1
0.03071502128803767,1.0,4.948737859725952,8,0.016531319339326278,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.58977723121643,1
0.021102695225855162,1.0,5.829541444778442,16,0.024836049264954863,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.56421208381653,1
0.010820816957594116,1.0,25.311927795410156,32,0.04797020294475762,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.687199115753174,1
0.007413799520467791,1.0,35.92927622795105,64,0.00685882535458493,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.2562153339386,1
0.008415151493993175,1.0,57.95239019393921,128,0.006874731974222725,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.306841373443604,1
0.009000247759118162,1.0,5.241950273513794,8,0.030842343124305005,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.922508478164673,1
0.017750898347430755,1.0,14.065613508224487,16,0.07559317891735129,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.555339336395264,1
0.007436758665268764,1.0,15.785913467407227,32,0.010311092598593086,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.379554271697998,1
0.007854523775012954,1.0,28.59249234199524,64,0.003099508415603913,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.27279496192932,1
0.00534146536889706,1.0,62.392738580703735,128,0.004495599194971445,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.205220222473145,1
0.030507490180954742,0.8,8.020744562149048,8,0.038756115672480385,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.26864194869995,1
0.016587422180800383,1.0,16.844313859939575,16,0.03347922040757767,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.97558307647705,1
0.03103506001343141,1.0,14.048784255981445,32,0.010917944933305113,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.663713693618774,1
0.012268091966915948,1.0,29.487302780151367,64,0.012449264858741316,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,28.128355264663696,1
0.007621480971463008,1.0,57.76527667045593,128,0.004622566303267628,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.492825746536255,1
0.02464853401744448,1.0,2.9806230068206787,8,0.0254398387014958,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,27.482640743255615,1
0.020874618198010033,1.0,6.333872079849243,16,0.01913166852522974,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,27.673893451690674,1
0.011040145583584527,1.0,14.141605377197266,32,0.010442711135053573,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,27.96543049812317,1
0.0041484510401334305,1.0,30.044570446014404,64,0.007261442640816185,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,27.404040575027466,1
0.0080527122936863,1.0,69.03408622741699,128,0.0016966049528317484,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,27.070574045181274,1
