mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.397024478557672,0.6,5.43708610534668,8,0.06729581969486415,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,61.50232768058777,1
0.24934374407213947,0.8,0.440842866897583,16,0.050278522340283516,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,61.142191886901855,1
0.1996506782264415,0.8,0.8676111698150635,32,0.025349782199321047,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,48.608004093170166,1
0.1255144985390793,1.0,1.678626537322998,64,0.010455542837873755,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.98125863075256,1
0.08048667461542469,1.0,3.0187525749206543,128,0.00565077809556952,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,61.6320321559906,1
0.3697399210677397,0.6,0.2434980869293213,8,0.0743604233302621,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.640448331832886,1
0.22028412539132358,0.8,0.3488461971282959,16,0.046436619482175145,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,74.45033264160156,1
0.15292711549049773,1.0,0.862663745880127,32,0.034681734101760286,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.548691272735596,1
0.1258377862434702,1.0,1.6241426467895508,64,0.01813472582561404,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,61.48928427696228,1
0.06488210087574008,1.0,5.985395431518555,128,0.005737682175886549,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,35.39351749420166,1
0.44217740899294866,0.8,0.16541481018066406,8,0.09354097803275818,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,61.50268483161926,1
0.2048015595426188,0.8,0.46259546279907227,16,0.04046362207588239,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,50.3204300403595,1
0.1973675261121463,1.0,0.7588179111480713,32,0.02279567735505883,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.75053143501282,1
0.11173046093053773,1.0,1.4601657390594482,64,0.010103558745268415,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.6257483959198,1
0.0751697907788736,1.0,3.2372655868530273,128,0.007552851138296568,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,61.09916543960571,1
0.4272322973734813,0.6,0.2409195899963379,8,0.07412436063705713,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,62.22730755805969,1
0.2107918496879721,0.8,0.40567636489868164,16,0.03996882253933248,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,48.557642221450806,1
0.16646714284348035,0.8,0.7873375415802002,32,0.021039145859006014,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,62.51618194580078,1
0.1139560452152667,1.0,1.5628504753112793,64,0.011815484644522922,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,61.58238768577576,1
0.07286059398697962,1.0,5.857294797897339,128,0.004914413046870181,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.35713481903076,1
0.29967051170757325,0.8,0.23667049407958984,8,0.15071984469483102,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.28895545005798,1
0.21545185971622413,0.8,0.39661622047424316,16,0.05806953761810735,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,35.23169493675232,1
0.42568312042617684,0.6,1.5442488193511963,32,0.02506884654255398,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,75.05441617965698,1
0.15485320366002772,1.0,1.5599322319030762,64,0.01350942766211849,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,61.89165210723877,1
0.11405049702957179,1.0,3.0513863563537598,128,0.008491529497440808,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,62.2336003780365,1
0.20845342575913584,0.8,0.24831295013427734,8,0.13244680186786922,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,62.253406047821045,1
0.21494122126798218,1.0,0.4111781120300293,16,0.04020477784053844,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,75.00764155387878,1
0.19312796012920652,0.8,0.791649580001831,32,0.029198708618194957,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.96970844268799,1
0.09325188219181509,1.0,1.5222015380859375,64,0.016670313982688867,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,74.63554406166077,1
0.07856998368277701,1.0,2.9764010906219482,128,0.00578254741516232,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.66557598114014,1
0.40951059049057337,0.8,0.26317620277404785,8,0.08620617473562597,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,47.96766185760498,1
0.21885032094593782,0.8,0.7194981575012207,16,0.051728947848193985,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,88.2978904247284,1
0.09648827077966629,0.8,1.5511398315429688,32,0.02898909602730798,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,61.95774960517883,1
0.09932235375676068,1.0,1.5789780616760254,64,0.011044820863454097,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.413870334625244,1
0.07789645730700687,1.0,2.9884939193725586,128,0.006421504630090502,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,48.4407799243927,1
0.24598709596295737,0.8,0.2403855323791504,8,0.07949011734824307,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,48.608946800231934,1
0.1535108757669961,1.0,0.37342309951782227,16,0.050084063440826165,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,61.890522956848145,1
0.10574628073832565,1.0,0.816910982131958,32,0.024139660414530306,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,74.95336771011353,1
0.07687579215906408,1.0,1.5650115013122559,64,0.009855759542808207,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,75.61813545227051,1
0.08350479600118497,1.0,3.019589900970459,128,0.008112597537439536,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,61.79146194458008,1
0.22291283551865662,0.8,0.20314335823059082,8,0.0999993598481374,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,75.35514545440674,1
0.24089231094466396,0.8,0.40441060066223145,16,0.04908107479972368,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,48.232478857040405,1
0.10926916340328566,1.0,0.8277153968811035,32,0.019474417502708563,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,74.93701386451721,1
0.10880222728670313,0.8,1.5584194660186768,64,0.011364042998070423,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,35.20757746696472,1
0.07792418294896536,1.0,2.9364891052246094,128,0.006209176490029722,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,74.48814940452576,1
0.2880677315186697,0.6,0.22516655921936035,8,0.09029470630272957,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,75.11692309379578,1
0.2944007642195149,0.8,0.3960416316986084,16,0.07129504942128595,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,61.916871309280396,1
0.14120022592993392,1.0,0.7897636890411377,32,0.02553323837166599,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,48.230058431625366,1
0.10542769024031759,1.0,1.4820592403411865,64,0.012916229365711074,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,48.590676069259644,1
0.0907872387008653,1.0,5.777912855148315,128,0.008450244822104325,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,62.21799349784851,1
