mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.01565230969162516,0.8465793304221251,942.9274501800537,8,0.06729581969486415,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,61.941593408584595,1
0.016701178851907635,0.8516011644832605,1665.079683303833,16,0.050278522340283516,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,61.735182762145996,1
0.012420631614548467,0.8872634643377001,3099.9887397289276,32,0.025349782199321047,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,48.850329875946045,1
0.007746191092328937,0.9223435225618634,6044.826039075851,64,0.010455542837873755,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,48.82497596740723,1
0.007093434635445622,0.9270014556040755,11852.60602235794,128,0.00565077809556952,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,61.956637144088745,1
0.013949269468069528,0.8626637554585153,933.6768114566803,8,0.0743604233302621,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,48.78942275047302,1
0.013743121832152087,0.8890829694323144,1640.577748298645,16,0.046436619482175145,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,74.61181163787842,1
0.013772889444516314,0.8751819505094615,3118.2491977214813,32,0.034681734101760286,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,61.398372650146484,1
0.009213106009016885,0.9236535662299854,5999.755284786224,64,0.01813472582561404,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,61.39384341239929,1
0.006599354021474944,0.9347889374090248,11856.197245836258,128,0.005737682175886549,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,35.22300314903259,1
0.019141012910031646,0.8196506550218339,938.3876793384552,8,0.09354097803275818,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,61.190128326416016,1
0.012385155351205308,0.8775836972343523,1633.2769567966461,16,0.04046362207588239,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,49.016767263412476,1
0.008574843827848197,0.9157205240174671,3091.318059682846,32,0.02279567735505883,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,61.33501386642456,1
0.008562370132867191,0.9141193595342066,6049.886662483215,64,0.010103558745268415,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,48.6611864566803,1
0.007503422168892512,0.9312227074235808,11801.310144662857,128,0.007552851138296568,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,61.48871159553528,1
0.01786352902355466,0.8460698689956332,934.1035602092743,8,0.07412436063705713,shap,kernel,arfpy,Not needed,Not needed,Not needed,8,61.95443367958069,1
0.012746824380790679,0.8799126637554585,1686.4875347614288,16,0.03996882253933248,shap,kernel,arfpy,Not needed,Not needed,Not needed,16,48.766335248947144,1
0.008993010475248142,0.9304221251819506,3047.7283561229706,32,0.021039145859006014,shap,kernel,arfpy,Not needed,Not needed,Not needed,32,62.25338363647461,1
0.009464485885048304,0.9028384279475983,6265.8212723731995,64,0.011815484644522922,shap,kernel,arfpy,Not needed,Not needed,Not needed,64,61.636117696762085,1
0.005248724936115346,0.9477438136826783,11882.528098344803,128,0.004914413046870181,shap,kernel,arfpy,Not needed,Not needed,Not needed,128,49.243263959884644,1
