mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.008507956203808793,0.5418486171761281,2943.524791240692,8,0.06729581969486415,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,62.74323010444641,1
0.0064865755988244836,0.6030567685589519,4897.167774200439,16,0.050278522340283516,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,61.34788417816162,1
0.004964968314839207,0.6798398835516739,8936.961582183838,32,0.025349782199321047,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,48.44370889663696,1
0.00407368152009317,0.7749636098981076,17106.86727786064,64,0.010455542837873755,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,48.49262809753418,1
0.0035854164132633043,0.7909752547307132,32904.56519937515,128,0.00565077809556952,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,61.78424382209778,1
0.008035442664564824,0.5858806404657934,2818.7868843078613,8,0.0743604233302621,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,48.67913770675659,1
0.006418949035135911,0.6208879184861716,4840.65527009964,16,0.046436619482175145,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,75.00027894973755,1
0.0052972739767923665,0.6558951965065501,8838.033770561218,32,0.034681734101760286,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,62.77317190170288,1
0.003987202598679376,0.7784570596797671,16833.01131296158,64,0.01813472582561404,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,62.208985567092896,1
0.003594383223014626,0.7909024745269285,33264.18654990196,128,0.005737682175886549,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,34.99869418144226,1
0.008881262752839923,0.5127365356622999,2820.749532222748,8,0.09354097803275818,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,61.425275802612305,1
0.007109775851671278,0.6351528384279477,4739.96537899971,16,0.04046362207588239,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,48.57941389083862,1
0.004729858498259469,0.7331877729257641,8841.03443145752,32,0.02279567735505883,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,61.412073612213135,1
0.004304341478216404,0.7565502183406113,16821.00939822197,64,0.010103558745268415,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,48.809648275375366,1
0.0035354962696436576,0.7993449781659389,34159.89439225197,128,0.007552851138296568,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,62.43778872489929,1
0.008662832248696092,0.5668850072780205,2991.9995844364166,8,0.07412436063705713,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,62.08017539978027,1
0.006286937939411259,0.6414119359534206,4990.5127329826355,16,0.03996882253933248,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,51.06133198738098,1
0.004596519388305544,0.7188500727802036,9157.120564222336,32,0.021039145859006014,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,61.62871050834656,1
0.004485638589449086,0.7065502183406113,17597.878787994385,64,0.011815484644522922,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,64.40753030776978,1
0.00330421947898157,0.8219796215429402,34241.6303255558,128,0.004914413046870181,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,50.092015981674194,1
0.010035398986637068,0.4256186317321689,3006.5962913036346,8,0.15071984469483102,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,50.56438732147217,1
0.006857204406924737,0.604730713245997,4961.555922269821,16,0.05806953761810735,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,37.41015100479126,1
0.004896367882936167,0.6990538573508006,9223.60742354393,32,0.02506884654255398,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,32,77.0881655216217,1
0.004229935984600513,0.7459970887918487,17803.174572229385,64,0.01350942766211849,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,64,62.718445777893066,1
0.0034475363953159945,0.8111353711790393,34530.14736032486,128,0.008491529497440808,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,128,62.546247720718384,1
0.00850975664986441,0.47278020378457064,2967.3972885608673,8,0.13244680186786922,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,8,64.62998080253601,1
0.006461921938499288,0.6395196506550218,5005.16376209259,16,0.04020477784053844,shapiq,kernel,arfpy,Not needed,Not needed,Not needed,16,74.91172933578491,1
