mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.007526010694616851,0.7756914119359534,3028.645829439163,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.011246919631958008,8
0.005947967394240696,0.8267103347889375,5190.462918519974,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019603967666625977,16
0.0043853161558795005,0.8811499272197961,9468.639043807983,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03940224647521973,32
0.0035508730993188253,0.9029112081513827,18091.036556243896,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07467865943908691,64
0.00321875597742641,0.912227074235808,35264.42539811134,128,0.005043838215636864,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.15062475204467773,128
0.007505109552111686,0.7762008733624454,3032.112356901169,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012650012969970703,8
0.005949620426301726,0.8256914119359533,5183.890466451645,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01882004737854004,16
0.004388771724077066,0.879839883551674,9484.914739608765,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03715085983276367,32
0.0035552712316246063,0.8991266375545852,18035.121244430542,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07290768623352051,64
0.003220198894613715,0.9079330422125182,35254.515805244446,128,0.005043838215636864,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14642691612243652,128
0.007515278451370862,0.7740902474526928,3041.270272254944,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.012492179870605469,8
0.005944536787701722,0.8272197962154293,5194.610150814056,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.018642902374267578,16
0.004392876678666644,0.8796943231441047,9522.095794916153,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03751802444458008,32
0.003546055694959704,0.9017467248908297,18169.544359445572,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07461261749267578,64
0.003218757222383863,0.9087336244541484,34024.38405632973,128,0.005043838215636864,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14361834526062012,128
0.00752203400907721,0.7747452692867538,2911.9570825099945,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010085821151733398,8
0.005948832424633677,0.8270742358078603,4989.285653114319,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.019216060638427734,16
0.004382749439029834,0.8794759825327512,9154.808167934418,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03587651252746582,32
0.003547090754480504,0.899490538573508,17679.043719291687,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07137823104858398,64
0.0032161485922966174,0.909679767103348,35279.06780743599,128,0.005043838215636864,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14870357513427734,128
0.007517468899028874,0.7719796215429402,3044.9006893634796,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010430335998535156,8
0.0059430837279874985,0.8274381368267831,5180.535778284073,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.0198822021484375,16
0.004386854919138715,0.8815138282387192,9496.579195976257,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07248210906982422,32
0.0035508174257256396,0.9002183406113536,18070.122132062912,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07546806335449219,64
0.0032252463294986373,0.9090975254730714,35438.82675361633,128,0.005043838215636864,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14863109588623047,128
0.007510889140481181,0.7729985443959242,3053.584377527237,8,0.08578252811921533,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010707855224609375,8
0.005947139088413937,0.8248180494905385,5217.988847017288,16,0.03649964912544623,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.020871639251708984,16
0.00438532978185637,0.8783842794759826,9518.025630235672,32,0.016216127379869993,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03851795196533203,32
0.0035459930313504607,0.9002183406113538,18128.946955919266,64,0.006158082878078619,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0718231201171875,64
