mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.018824829438420634,1.0,5.528361797332764,8,0.09859677956987511,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002898693084716797,8
0.015005881147525208,1.0,9.489168643951416,16,0.05892619215183226,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.005110979080200195,16
0.010046164458046793,1.0,17.421607732772827,32,0.030049792706230094,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009330987930297852,32
0.007624421797416405,1.0,32.92442083358765,64,0.01854176292964327,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018303871154785156,64
0.006061052048823227,1.0,64.55165958404541,128,0.011455336693196205,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03578329086303711,128
0.018824829438420634,1.0,5.322408676147461,8,0.09859677956987511,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.0030312538146972656,8
0.015005881147525208,1.0,9.364777088165283,16,0.05892619215183226,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.005091667175292969,16
0.010046164458046793,1.0,17.3741557598114,32,0.030049792706230094,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009463787078857422,32
0.007624421797416405,1.0,32.94806122779846,64,0.01854176292964327,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018464326858520508,64
0.006061052048823227,1.0,63.951019525527954,128,0.011455336693196205,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03621864318847656,128
0.018824829438420634,1.0,5.395984411239624,8,0.09859677956987511,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002915620803833008,8
0.015005881147525208,1.0,9.324583053588867,16,0.05892619215183226,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.005102634429931641,16
0.010046164458046793,1.0,17.165984630584717,32,0.030049792706230094,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009685039520263672,32
0.007624421797416405,1.0,32.85923647880554,64,0.01854176292964327,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018848180770874023,64
0.006061052048823227,1.0,64.14329051971436,128,0.011455336693196205,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.03595781326293945,128
0.018824829438420634,1.0,5.375061988830566,8,0.09859677956987511,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.002835988998413086,8
0.015005881147525208,1.0,9.309800863265991,16,0.05892619215183226,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.005057811737060547,16
0.010046164458046793,1.0,17.326139211654663,32,0.030049792706230094,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.009313821792602539,32
0.007624421797416405,1.0,32.7605562210083,64,0.01854176292964327,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.018150806427001953,64
0.006061052048823227,1.0,64.24364376068115,128,0.011455336693196205,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.0359196662902832,128
0.018824829438420634,1.0,5.377370595932007,8,0.09859677956987511,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009445667266845703,8
