mae,top_k,explanation_time,size,mmd,explainer,strategy,method,data_modification_method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.007410942486113415,0.637646484375,6446.310327291489,32,0.01656546777329193,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,261.7231242656708,1
0.005991097349763871,0.7351562500000001,11555.287009239197,64,0.012943593998488878,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,350.2674720287323,1
0.004779096333630741,0.800146484375,22056.899072408676,128,0.006894052491597691,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,262.4683210849762,1
0.004372354492205765,0.8367187500000001,42913.1048886776,256,0.0034967165704553604,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,352.60652256011963,1
0.004311513715940633,0.8403808593750001,82452.98281049728,512,0.0015382529440861603,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,427.4154829978943,1
0.007206431179144472,0.659765625,6158.544676065445,32,0.022005272980575086,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,263.46581625938416,1
0.005535662343159834,0.7911132812500001,11398.287028074265,64,0.010058454809210304,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,343.92940378189087,1
0.004819372911506782,0.794921875,22148.438985824585,128,0.0053627747323997665,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,344.9610507488251,1
0.004958240578725931,0.7725585937500001,41382.65716814995,256,0.002840005605490248,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,342.43136048316956,1
0.004929896896420272,0.782421875,81864.78987264633,512,0.0017831065485072184,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,425.13345980644226,1
0.006063888112988881,0.780224609375,6074.83553147316,32,0.01824974912049826,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,266.237841129303,1
0.004960535846572599,0.8128906250000001,11528.605612754822,64,0.009565632041665939,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,428.4842755794525,1
0.005112781397035315,0.8035644531250001,21269.49715256691,128,0.007845271799597264,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,348.8751702308655,1
0.005274492505982955,0.7606445312500001,41663.0302336216,256,0.006098523156294111,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,507.9524619579315,1
0.00462142584552161,0.793408203125,81802.38282895088,512,0.0011062323878872071,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,344.72759222984314,1
0.006688574586327153,0.728759765625,6130.80771446228,32,0.013864820443681314,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,348.42653036117554,1
0.006578886260414309,0.68798828125,11405.10631275177,64,0.010841413802058275,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,350.65287256240845,1
0.005285291399943011,0.740185546875,21495.056827306747,128,0.005040094677939977,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,264.4566812515259,1
0.00493975510476361,0.792333984375,44160.914981126785,256,0.003229992130063253,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,351.1612410545349,1
0.005204398717114003,0.75322265625,87321.13132691383,512,0.0025733111068867442,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,267.0175726413727,1
0.007067398278970783,0.708447265625,6643.356640577316,32,0.02443102441254108,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,351.6811697483063,1
0.005977850339532277,0.7625,12136.088050365448,64,0.016613983097426732,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,269.70484352111816,1
0.004309499872476269,0.8365234375,22900.357339143753,128,0.0055473262263110446,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,430.55253982543945,1
0.005213353432043083,0.7491699218750001,45773.776607751846,256,0.00358846924412326,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,357.43894600868225,1
0.004368626848319836,0.8213867187500001,91169.35771894455,512,0.0018517393930783665,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,355.3714647293091,1
0.007890057594661552,0.676904296875,6676.663387775421,32,0.060153675044337884,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,357.1527488231659,1
0.0059351665823918045,0.7435546875000001,11858.837737083435,64,0.008404979881714736,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,443.7248923778534,1
0.004879643728999476,0.8044433593750001,22824.415256023407,128,0.00365531815929121,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,358.45553970336914,1
0.004617491570429945,0.78857421875,44498.87598490715,256,0.004023093067125005,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,358.53529500961304,1
0.004801718403258532,0.788916015625,88471.62865114212,512,0.0016103777603753144,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,360.099392414093,1
0.006089064244334743,0.725927734375,6444.755457401276,32,0.023300849541460056,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,434.1962876319885,1
0.005536337670031461,0.784130859375,12120.863643169403,64,0.01274685004067766,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,356.4971034526825,1
0.005062556934190523,0.7678710937500001,22940.68396615982,128,0.004322380689267935,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,354.3206253051758,1
0.004690888355948161,0.792431640625,45195.91829538345,256,0.00229099340938943,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,363.7472131252289,1
0.004363743360326149,0.834716796875,90630.69627380371,512,0.0019981026610691455,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,271.3518133163452,1
0.0064850040617130894,0.72587890625,6952.644068956375,32,0.025611564088996563,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,525.6037216186523,1
0.0060397057565829745,0.7763671875,12427.131504774094,64,0.01025756486571483,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,282.6603467464447,1
0.005027112932749823,0.7751953125000001,23670.87039899826,128,0.0063655383354052075,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,448.418879032135,1
0.004257872775831038,0.8304199218750001,46447.319823265076,256,0.002723172669542251,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,446.9172306060791,1
0.004494285042017717,0.8154296875000001,90562.21413946152,512,0.001602943754804631,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,362.353884935379,1
0.006880969121434238,0.691357421875,6870.298298597336,32,0.02530430750695989,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,451.0019967556,1
0.0044234198750416846,0.8452636718750002,12436.234155416489,64,0.013336518212792137,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,364.08397030830383,1
0.0053477368594860315,0.7753906250000001,23752.67307448387,128,0.010887107304576538,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,363.9829726219177,1
0.005235383682515054,0.7619140625,46366.09296584129,256,0.0035237010263857726,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,277.7736232280731,1
0.0047789597114315276,0.7872558593750001,91252.58991217613,512,0.002544076433120601,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,282.0351915359497,1
0.006171698147684527,0.7596679687500001,6920.710866451263,32,0.017522967343217233,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,32,452.57159519195557,1
0.006361402012347923,0.693603515625,12145.878762245178,64,0.011125041878670694,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,64,278.8411889076233,1
0.005393609047229191,0.7762695312500001,23709.8598279953,128,0.007260405101878753,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,128,358.2770404815674,1
0.004832972242239636,0.810791015625,46278.93409585953,256,0.0026440179888475024,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,256,279.8281559944153,1
0.004758947219843499,0.78583984375,90787.79281187057,512,0.0010160763312174748,shapiq,kernel,arfpy,none,Not needed,Not needed,Not needed,512,280.69023036956787,1
