mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,m,compression_time
0.004199903796404888,1.0,7.140142917633057,32,0.008568294941552923,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.04206252098083496
0.003919003081623321,0.8,9.874919414520264,64,0.004217586891280989,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010384321212768555
0.0025590414681000285,1.0,13.13102650642395,128,0.002449750359674485,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.011902093887329102
0.07399849024647324,0.2,8.021241426467896,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07556033134460449
0.1482199927542268,0.2,16.105997562408447,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.01839470863342285
0.14465444353846812,0.4,32.33613872528076,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.019047975540161133
0.005249500078704286,1.0,3.2832412719726562,32,0.008089261492795097,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.040380239486694336
0.004828511701242257,1.0,6.490275621414185,64,0.0039762582137573,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009446382522583008
0.003945320640863765,0.8,13.019888877868652,128,0.0024727851922259347,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.010432958602905273
0.0058520460559491755,0.8,3.27872371673584,32,0.010873812247464532,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.045551300048828125
0.005017039616321142,0.8,6.393840074539185,64,0.005579623320238314,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011389732360839844
0.004862089138180947,0.8,12.920274019241333,128,0.002850564515069154,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.011748075485229492
0.007295038760262461,0.8,3.2699685096740723,32,0.014581917376434994,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.04399228096008301
0.006899488027498328,0.6,6.499262571334839,64,0.007083754675173193,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.011138200759887695
0.00462668188082611,0.8,19.45598554611206,128,0.003486270864537677,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.011718988418579102
0.008106123419165279,0.8,3.301608085632324,32,0.01665087959950412,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.043947696685791016
0.006121849623807202,0.8,6.480460166931152,64,0.00732823440809105,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.011162757873535156
0.005601563965047934,0.8,12.950435638427734,128,0.003873397696575409,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.012690544128417969
0.003962298413214401,0.8,3.2950310707092285,32,0.00830622630907707,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.04164457321166992
0.0024702760893266502,1.0,6.527965784072876,64,0.004478845969407008,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010444879531860352
0.004449356956850492,0.8,13.069474458694458,128,0.0023874596777769264,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.010719776153564453
0.07636356988877142,0.2,8.019390344619751,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07654380798339844
0.14465444686601184,0.4,16.173063278198242,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.018393278121948242
0.14184304280998258,0.4,32.20700240135193,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.01991105079650879
0.008118753221296331,0.4,3.2620084285736084,32,0.008127799471859598,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03691411018371582
0.005102333993240989,0.8,6.481759071350098,64,0.004256165798272149,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009437322616577148
0.0038181184124073154,0.8,13.038523435592651,128,0.0023073503981221877,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.010737895965576172
0.0061806068662325145,1.0,4.882048606872559,32,0.011215080125944132,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.04574418067932129
0.006402042868173821,0.6,6.512811183929443,64,0.005540400875891749,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011307239532470703
0.004395170583044382,1.0,12.979832410812378,128,0.003216387197043258,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.011842966079711914
0.006932488792381685,0.6,3.25724458694458,32,0.015036036321146862,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.04801654815673828
0.0049596184886307425,0.8,9.697192192077637,64,0.006712180406816148,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.01119375228881836
0.005977186932342621,0.8,12.936228513717651,128,0.003998564928701986,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.011828899383544922
0.007847980858026902,0.8,3.2814419269561768,32,0.014406290349280149,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.045061588287353516
0.0067908023157155425,0.6,6.441541433334351,64,0.007210616388136193,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.011250972747802734
0.005983460325809964,0.8,13.158594369888306,128,0.003873397696575409,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.0114288330078125
0.005509174685732236,0.8,3.3278470039367676,32,0.008021285877193085,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.040766239166259766
0.0039601665066768404,1.0,6.489790678024292,64,0.004394697401836289,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010357141494750977
0.00437678025342397,0.8,12.895111322402954,128,0.00213851931847997,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.010782241821289062
0.07336245463327433,0.2,8.136788845062256,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07791948318481445
0.14184305250139526,0.4,16.209938049316406,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.018380403518676758
0.14531739120682166,0.4,32.22742509841919,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.01884603500366211
0.0042861070633985745,1.0,3.3238918781280518,32,0.008053273047144816,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03713202476501465
0.003998851230860888,0.8,6.484832525253296,64,0.004335141741988624,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009519100189208984
0.0031433692957104093,0.8,13.114843606948853,128,0.002515374247420432,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.009948492050170898
0.0063244914183105995,1.0,3.292706251144409,32,0.011260889801748553,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.048168182373046875
0.00622380406940487,0.8,6.450231313705444,64,0.005341654376425031,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011319160461425781
0.004193084251328815,0.8,12.94018030166626,128,0.002913521843938227,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.011609554290771484
0.007945487639093233,0.8,3.320941925048828,32,0.016578017304720027,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.04352712631225586
0.0067160419470786254,0.8,6.499077320098877,64,0.007177581580267378,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.011108160018920898
0.005079791727720528,1.0,13.038210391998291,128,0.003998564928701986,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.012253761291503906
0.007792843095164125,0.8,4.857292890548706,32,0.017853423868240237,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.044732093811035156
0.00683336464151207,0.6,6.45437479019165,64,0.007193351847240681,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.01119542121887207
0.004334402363559771,0.8,13.011699438095093,128,0.0037779611930133794,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.011608600616455078
0.005103959442092301,0.8,3.2893431186676025,32,0.007920084512404835,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.04402351379394531
0.003753629098692222,1.0,6.504005432128906,64,0.004833160591916963,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010394096374511719
0.004573315525107201,0.8,13.060425043106079,128,0.0023353245039770543,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.011255502700805664
0.07465567267729649,0.0,6.426912784576416,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07340192794799805
0.1453173969811065,0.4,16.281163454055786,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.018364429473876953
0.14351748449329801,0.4,32.304882287979126,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.019140243530273438
0.005068285612900153,1.0,3.296053647994995,32,0.00739715600407187,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.040136098861694336
0.004845946350266546,0.8,6.485452175140381,64,0.003957839535505714,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009475231170654297
0.0028745509382434,1.0,12.96128511428833,128,0.0021915275372925147,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.010523080825805664
0.005584468497461446,0.8,3.291459560394287,32,0.010975591149218644,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.04522967338562012
0.00596029163246727,0.8,6.550538539886475,64,0.00552233588434442,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011341571807861328
0.004642031164197554,1.0,13.093208074569702,128,0.003216387197043258,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.01288294792175293
0.007152806924103841,0.8,3.2899370193481445,32,0.013622313819055265,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.048131704330444336
0.005559347504297943,0.8,6.503439664840698,64,0.007158510361737425,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.011159420013427734
0.0033771755524119353,1.0,12.992776155471802,128,0.003998564928701986,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.012204647064208984
0.007320288145780773,0.8,4.864144802093506,32,0.013839472404940545,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.04399442672729492
0.0062478843591503306,0.6,6.503337144851685,64,0.006920995569080934,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.01120138168334961
0.005339622486277726,0.8,13.183875322341919,128,0.004069237528619318,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.011749982833862305
0.004630050252187518,0.8,4.926809787750244,32,0.007800039178150198,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.04154491424560547
0.006091211617332985,0.8,6.529973983764648,64,0.005132408857077442,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010352849960327148
0.004559493190390942,1.0,12.994029521942139,128,0.0025331874485839956,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.011448860168457031
0.0743601682410557,0.2,8.073276042938232,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07387876510620117
0.14351749111074966,0.4,16.186002731323242,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.01843094825744629
0.1433940539243668,0.4,32.2531943321228,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.02065563201904297
0.005000995317640081,0.6,3.3087737560272217,32,0.007906314375019041,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03693366050720215
0.0041976970586384025,0.8,6.506881952285767,64,0.0039162956694897555,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009467601776123047
0.004359194325423533,1.0,13.034465551376343,128,0.002344145715176993,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.009924173355102539
0.007097413837419241,0.8,3.317800521850586,32,0.011256934654483242,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.04803299903869629
0.005807978062271212,0.8,6.4740376472473145,64,0.005267579394004851,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011275291442871094
0.0034670284710430137,1.0,12.975194215774536,128,0.003216387197043258,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.012219905853271484
0.006933803474904182,0.8,4.89184308052063,32,0.015026926185030265,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.04715847969055176
0.005854205290608844,0.8,6.5182576179504395,64,0.007361043618556662,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.011129617691040039
0.004129593540280377,0.8,13.139901399612427,128,0.003998564928701986,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.011806964874267578
0.008192463217283175,0.8,3.2589728832244873,32,0.017254089017793295,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.0458829402923584
0.005801075757601112,0.8,6.522693395614624,64,0.006702977126169962,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.011222600936889648
0.00489581899165084,0.8,13.058104276657104,128,0.003873397696575409,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.011874198913574219
0.005995293870239285,0.8,3.3217742443084717,32,0.009261995628334962,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.04140973091125488
0.005103517833613504,0.8,6.559432506561279,64,0.004405772307344347,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010341167449951172
0.004324580660005148,0.8,13.006686925888062,128,0.0025510913727361806,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-4.0,0.01066732406616211
0.07495259426937283,0.2,8.05460524559021,32,0.6003838462453747,sage,permutation,kernel_thinning,sobolev,4.0,32.0,15.0,0.07212591171264648
0.1433940602980094,0.4,16.177367687225342,64,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-3.0,0.018530607223510742
0.14792464857405224,0.4,32.53744196891785,128,1.0764153437965431,sage,permutation,kernel_thinning,sobolev,4.0,32.0,-4.0,0.019045114517211914
0.0053093793589786805,1.0,3.2678208351135254,32,0.007971830966756688,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,15.0,0.03740191459655762
0.0051522026716085976,0.8,6.516921520233154,64,0.004151500363078597,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-3.0,0.009421825408935547
0.003692101590015571,1.0,19.63132095336914,128,0.002355298203709333,sage,permutation,kernel_thinning,inverse_multiquadric,4.0,32.0,-4.0,0.009889602661132812
0.006421467054558805,0.8,3.316525936126709,32,0.010406911626293591,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,15.0,0.04633021354675293
0.005490218197305544,0.8,6.530176162719727,64,0.005607121830979278,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-3.0,0.011527776718139648
0.004368786721342999,0.8,13.021898984909058,128,0.0029867478054084184,sage,permutation,kernel_thinning,matern_0.5,4.0,32.0,-4.0,0.011631965637207031
0.007161054053640898,1.0,3.259286880493164,32,0.013077008336062457,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,15.0,0.04355335235595703
0.005234187489966968,0.8,6.4994752407073975,64,0.0066122936505707,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-3.0,0.011080026626586914
0.004165269976207808,0.8,13.12892198562622,128,0.003998564928701986,sage,permutation,kernel_thinning,matern_1.5,4.0,32.0,-4.0,0.011647224426269531
0.00745504326977169,0.8,4.904506206512451,32,0.018892455179595036,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,15.0,0.0441896915435791
0.006008399161281479,0.6,6.522761821746826,64,0.007331306852358277,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-3.0,0.011130094528198242
0.005142504133347457,0.8,13.157072067260742,128,0.003751398260293193,sage,permutation,kernel_thinning,matern_2.5,4.0,32.0,-4.0,0.013293743133544922
0.008967904971266169,0.8,3.2937138080596924,32,0.00899474518497645,sage,permutation,kernel_thinning,gaussian,4.0,32.0,15.0,0.043868303298950195
0.004307271597040605,0.8,6.509147644042969,64,0.004262918027211571,sage,permutation,kernel_thinning,gaussian,4.0,32.0,-3.0,0.010387182235717773
