mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.019456496217065442,0.8,5.795360326766968,8,0.11376015329769484,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,34.6149787902832,1
0.02229049447865804,0.4,1.3486390113830566,16,0.06248105410959981,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,52.87818932533264,1
0.00881834620518064,0.6,2.138188600540161,32,0.026524065848980427,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,44.40190768241882,1
0.008092239746363463,0.8,4.093960523605347,64,0.016849059668152422,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,35.696303606033325,1
0.006910497844311188,1.0,7.743792772293091,128,0.010042820458039337,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,43.597890853881836,1
0.016205575358311162,0.8,0.7178289890289307,8,0.08971658402307925,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,43.9718234539032,1
0.014407469363847236,0.6,1.1546316146850586,16,0.06136423189306456,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,35.58249545097351,1
0.010286222539590127,0.8,0.9987235069274902,32,0.02474094307007102,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,44.031418561935425,1
0.007667098449093072,1.0,3.7398571968078613,64,0.013766387795888069,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,62.573071241378784,1
0.005694185875412754,0.6,8.052866220474243,128,0.010388563288608599,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,61.75978899002075,1
0.011759560567965626,0.8,0.7518355846405029,8,0.10335844470010885,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,34.81287097930908,1
0.014898309464707618,0.8,1.11979341506958,16,0.06970295450347719,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,44.52268052101135,1
0.011369971009249344,0.8,2.1348073482513428,32,0.026544364649501828,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,53.185405015945435,1
0.008311718545876548,0.8,4.030585050582886,64,0.019383733274306203,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,43.351256132125854,1
0.0051994150241694605,0.8,8.009089708328247,128,0.0076458955642688675,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,63.287988901138306,1
0.02850275924831761,0.4,0.550748348236084,8,0.12354441387060178,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,44.867117166519165,1
0.014352912601273735,0.8,1.6773016452789307,16,0.06564906533205145,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,53.40734076499939,1
0.006848526436848184,1.0,2.1633293628692627,32,0.02231556703106513,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,43.629075050354004,1
0.00825764204018685,0.8,4.224605560302734,64,0.01438871518543211,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,34.89031982421875,1
0.006225498555662498,0.8,7.605153322219849,128,0.007694393664126997,sage,permutation,arfpy,Not needed,Not needed,Not needed,128,43.82765984535217,1
0.03912598803620706,0.4,0.22681832313537598,8,0.08555446190618926,sage,permutation,arfpy,Not needed,Not needed,Not needed,8,43.64472007751465,1
0.010961277828941055,0.8,0.9460577964782715,16,0.05845423380118292,sage,permutation,arfpy,Not needed,Not needed,Not needed,16,34.95459508895874,1
0.009654657558122096,0.8,1.9420866966247559,32,0.02933801727569668,sage,permutation,arfpy,Not needed,Not needed,Not needed,32,35.04267716407776,1
0.006870443733609374,0.6,3.712261438369751,64,0.0185550088122855,sage,permutation,arfpy,Not needed,Not needed,Not needed,64,34.288877725601196,1
