mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.0019479709350089308,0.7461876832844574,947.0565340518951,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.01530003547668457,8
0.0019720256912325877,0.722873900293255,1452.0503311157227,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.051573991775512695,16
0.0014774511014034543,0.7561583577712611,2469.8228163719177,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03261685371398926,32
0.001126188098753423,0.8222873900293255,4478.7788071632385,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0625298023223877,64
0.0010452879408456796,0.8524926686217008,8566.196271181107,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.2105085849761963,128
0.001949823614122708,0.746774193548387,934.4030773639679,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008927106857299805,8
0.0019690597673601845,0.7234604105571847,1448.1810777187347,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01608109474182129,16
0.0014772093963961097,0.7560117302052785,2455.9283933639526,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03557896614074707,32
0.0011279900898409985,0.8211143695014663,4534.592559576035,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.10965561866760254,64
0.0010428724605497848,0.8555718475073314,8595.909782409668,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12259030342102051,128
0.0019501216500756125,0.7435483870967741,936.8736543655396,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008934497833251953,8
0.0019696836296504037,0.7217008797653958,1451.2229659557343,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017358064651489258,16
0.001475960404966029,0.7558651026392962,2460.193144798279,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.035765647888183594,32
0.0011280210105117836,0.8233137829912024,4502.113110780716,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.08729743957519531,64
0.0010457303462801024,0.8554252199413489,8594.227150678635,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1407942771911621,128
0.0019461718368679974,0.7464809384164222,952.7986145019531,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.010451555252075195,8
0.001969882732027411,0.7239002932551318,1469.9005329608917,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.018053293228149414,16
0.0014755938913946236,0.7523460410557183,2450.68829202652,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.029168367385864258,32
0.0011262170329674943,0.8187683284457478,4326.1335616111755,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.08657050132751465,64
0.0010437912701081462,0.8549853372434016,8421.580297231674,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1235663890838623,128
0.0019488608596571102,0.744574780058651,915.4028398990631,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.008438587188720703,8
0.0019707624111371105,0.7230205278592374,1420.292510509491,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.02024102210998535,16
0.0014768885501329826,0.7570381231671554,2451.102965116501,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.050702571868896484,32
0.0011288113748970706,0.8205278592375367,4547.9748249053955,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.0646505355834961,64
0.001042572938495948,0.8548387096774194,8648.309887170792,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.25287914276123047,128
0.0019490309869109935,0.7454545454545454,941.8291463851929,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.017666101455688477,8
0.001970731306210611,0.7233137829912023,1456.6024405956268,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.016177892684936523,16
0.0014782522774039212,0.7549853372434016,2482.288737297058,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03193020820617676,32
0.0011278157964326394,0.8230205278592375,4542.339166402817,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.07145309448242188,64
0.0010461176998551119,0.8552785923753665,8630.191480398178,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.20610284805297852,128
0.0019509660337675783,0.7454545454545454,948.8994534015656,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.017839670181274414,8
0.0019709164481600404,0.7228739002932549,1461.0236160755157,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.05812811851501465,16
0.0014753367096909894,0.7561583577712611,2484.408448457718,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.031679391860961914,32
0.0011253225099060109,0.8255131964809385,4587.467171430588,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.1534276008605957,64
0.0010438834661606032,0.8563049853372434,8701.969112873077,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12247753143310547,128
0.001948414678997761,0.7470674486803517,937.8766491413116,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.019639968872070312,8
0.0019718236535009818,0.7217008797653958,1451.6070456504822,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01621222496032715,16
0.0014759185088819376,0.7605571847507331,2458.451236486435,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03931856155395508,32
0.001130493458535792,0.8218475073313783,4537.339637994766,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.11435270309448242,64
0.001045878346528728,0.8536656891495602,8627.679034948349,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.14587879180908203,128
0.0019502313748339254,0.7479472140762462,943.5269966125488,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.009989738464355469,8
0.0019732921657075477,0.7240469208211143,1465.367006778717,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.017830371856689453,16
0.0014798912223119192,0.7523460410557183,2476.5291333198547,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.07868313789367676,32
0.001126823866126176,0.8190615835777126,4551.121541976929,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.05625104904174805,64
0.0010448335538040213,0.8554252199413489,8595.310634613037,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.1791234016418457,128
0.0019472747865865133,0.746041055718475,940.8116500377655,8,0.11222241072277495,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,8,0.011448144912719727,8
0.001972923231023288,0.7231671554252198,1443.456957101822,16,0.06915355309062388,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,16,0.01894998550415039,16
0.001476527531413532,0.7567448680351905,2463.3640308380127,32,0.03155172687079377,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,32,0.03987526893615723,32
0.0011250152482468773,0.8219941348973606,4533.1256675720215,64,0.014145206346902417,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,64,0.09261798858642578,64
0.0010426684649515237,0.8585043988269795,8645.079958677292,128,0.008167451229893652,shapiq,kernel,stein_thinning,Not needed,Not needed,Not needed,128,0.12478470802307129,128
