mae,top_k,explanation_time,size,mmd,explainer,strategy,method,kernel,g,num_bins,target_size,compression_time,unique_samples
0.005638239116109435,1.0,7.53359055519104,8,0.009626161107137765,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.009281158447265625,8
0.005482827875921879,1.0,13.550158500671387,16,0.004353621568408017,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.0092620849609375,16
0.0038326771315004395,1.0,25.38623070716858,32,0.0019738041149830465,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.00923609733581543,31
0.0029371532395840927,1.0,49.50118541717529,64,0.0008875789317623894,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.009397268295288086,64
0.001536861469908403,1.0,97.24726128578186,128,0.0003731011593167688,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.009478092193603516,122
0.010826501231342692,1.0,7.324980735778809,8,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.01357126235961914,1
0.014322227649744907,1.0,13.468343734741211,16,1.3861164833234911,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.01413583755493164,1
0.010826501231342692,1.0,25.218263626098633,32,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.013659477233886719,1
0.010826501231342692,1.0,49.11338949203491,64,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.013614892959594727,1
0.010826498228906882,1.0,97.17711448669434,128,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.01385354995727539,1
0.006193436358733895,1.0,7.437663555145264,8,0.008204877532731358,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,8.0,0.00855708122253418,8
0.005194694056198743,1.0,13.393770694732666,16,0.0035573561144731647,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,16.0,0.008350372314453125,16
0.0037001512817338477,1.0,25.384703397750854,32,0.0016065151394869526,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,32.0,0.00833749771118164,32
0.0027429120769208028,1.0,49.257407665252686,64,0.0008691498421471433,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,64.0,0.008744239807128906,60
0.0017394072028045254,1.0,97.02034878730774,128,0.000402598044801028,shapiq,kernel,kernel_thinning,inverse_multiquadric,4,32,128.0,0.008530139923095703,125
0.005937471778691826,1.0,7.388170480728149,8,0.012332130652003781,shapiq,kernel,kernel_thinning,matern,4,32,8.0,0.012863874435424805,8
0.004941157781373447,1.0,13.342548370361328,16,0.005376092555004597,shapiq,kernel,kernel_thinning,matern,4,32,16.0,0.012313127517700195,16
0.0034405410309926556,1.0,25.42436146736145,32,0.0022492834354288505,shapiq,kernel,kernel_thinning,matern,4,32,32.0,0.01217508316040039,32
0.002432582733118512,1.0,49.32309079170227,64,0.0009216946087029498,shapiq,kernel,kernel_thinning,matern,4,32,64.0,0.012321949005126953,64
0.0016379566977178792,1.0,97.22984027862549,128,0.00042734514547471125,shapiq,kernel,kernel_thinning,matern,4,32,128.0,0.012789726257324219,128
0.005638239116109435,1.0,7.429088830947876,8,0.009626161107137765,shapiq,kernel,kernel_thinning,gaussian,4,32,8.0,0.009360074996948242,8
0.005482827875921879,1.0,13.486149787902832,16,0.004353621568408017,shapiq,kernel,kernel_thinning,gaussian,4,32,16.0,0.009336709976196289,16
0.003582075838365918,1.0,25.55898141860962,32,0.0017472653326867649,shapiq,kernel,kernel_thinning,gaussian,4,32,32.0,0.009169816970825195,32
0.0023873907206412408,1.0,50.020092725753784,64,0.0007804244441528274,shapiq,kernel,kernel_thinning,gaussian,4,32,64.0,0.00945281982421875,64
0.0018182452779938077,1.0,97.9253523349762,128,0.00037561478754044586,shapiq,kernel,kernel_thinning,gaussian,4,32,128.0,0.009521722793579102,120
0.010826501231342692,1.0,7.46690821647644,8,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,8.0,0.013479232788085938,1
0.014322227649744907,1.0,13.515961647033691,16,1.3861164833234911,shapiq,kernel,kernel_thinning,sobolev,4,32,16.0,0.013897418975830078,1
0.010826501231342692,1.0,25.62176537513733,32,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,32.0,0.013685226440429688,1
0.010826501231342692,1.0,50.07755446434021,64,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,64.0,0.013788700103759766,1
0.010826498228906882,1.0,97.71979856491089,128,1.3865434801012837,shapiq,kernel,kernel_thinning,sobolev,4,32,128.0,0.013706684112548828,1
